 satnik FRANE (Antin) BUBLE
924. satnik DALIBOR (Krstin) BUČIĆ
925. satnik ANTE (Antin) BUDIĆ
926. satnik DRAGAN (Matin) BUDIMIR
927. satnik IVICA (Marijanov) BUDIMIR
928. satnik DALIBOR (Mirkov) BUDIMLIĆ
929. satnik DAMIR (Markov) BULJAN
930. satnik IVICA (Dinkov) BUŠKULIĆ
931. satnik BORIS (Blažev) BUTERIN
932. satnik GORAN (Vladimirov) CEROVEČKI
933. satnik ŽELJKO (Jurajev) CETIN
934. satnik VLATKO (Vlahin) CRNIĆ
935. satnik ANTE (Rokov) CUKROV
936. satnik ROBERT (Draganov) CVETKOVIĆ
937. satnik PETER (Vinkov) ČAĐAVČAN
938. satnik TONIO (Vladimirov) ČAGALJ
939. satnik IVAN (Tomislavov) ČEKO
940. satnik ZORAN (Vinkov) ČOLAK
941. satnik DRAŽEN (Petrov) ČULIG
942. satnik RISTO (Kirilov) ĆAMILOV
943. satnik ANDRIJA (Bonin) ĆUK
944. satnik ADAM (Ivanov) DAKIĆ
945. satnik FRANO (Miroslavov) DELIĆ
946. satnik ROBERT (Josipov) DRŽAJIĆ
947. satnik MARIJAN (Slavkov) DUBRAVAC
948. satnik BRANKO (Mijin) DUJMIĆ
949. satnik VLADO (Nikolin) DŽALTO
950. satnik IVICA(Ivanov) ĐURETKOVIĆ
951. satnik ŽELJKO (Antunov) FABČIĆ
952. satnik BRANKO (Jerin) FAKČEVIĆ
953. satnik GORAN (Vladin) FEGER
954. satnik DARKO (Josipov) FERDERBAR
955. satnik SAMIR (Ivanov) FLORIJAN
956. satnik PREDRAG (Augustinov) FRANIĆ
957. satnik MARINKO (Vidov) GADŽIĆ
958. satnik ZORAN (Valentinov) GAŠI
959. satnik ROBERT (Željkov) GLAVINA
960. satnik GORAN (Antin) GRABIĆ
961. satnik MILE (Stjepanov) GRDIĆ
962. satnik SILVIJE (Antin) GRGIĆ
963. satnik KREŠO (Josipov) GRUDIČEK
964. satnik ANTE (Antin) GUZOBAD
965. satnik MIJO (Brankov) HALAR
966. satnik SLAVKO (Stjepanov) HAVAIĆ
967. satnik DRAŽEN (Zdenkov) HENC
968. satnik STEVO (Franjin) HERCEG
969. satnik IVAN (Antunov) HORVAT
970. satnik ŽELJKO (Draganov) HORVATIĆ
971. satnik TOMISLAV (Markov) HORVATIĆ
972. satnik EVGENIJ (Đurin) HOTI
973. satnik DAMIR (Rudolfov) HRUŠKAR
974. satnik ANTE (Antin) HRVOJ
975. satnik IGOR (Vladimirov) IVIĆ
976. satnik IVICA (Mijin) JAGATIĆ
977. satnik MARIO (Stjepanov) JAKOVAC
978. satnik DRAŽEN (Stjepanov) JAKŠIĆ
979. satnik DAVOR (Šimunov) JAŽO
980. satnik MILAN (Paškov) JOKIĆ
981. satnik JOSIP (Ivin) JOLIĆ
982. satnik VEDRAN (Mladenov) JONJIĆ
983. satnik DARIO (Pavlov) JUG
984. satnik IVO (Nikolin) JURIĆ
985. satnik DJURO (Ivanov) KANDRAĆ
986. satnik TIHOMIR (Antonov) KASUNIĆ
987. satnik IVAN (Šimin) KATALINIĆ
988. satnik ANTE (Vladimirov) KATAVIĆ
989. satnik MILJENKO (Miljenkov) KEKEZ
990. satnik DAMIR (Josipov) KIRIN
991. satnik ANTE (Markov) KOJIĆ
992. satnik DAMIR (Grgin) KOLČEG
993. satnik TIHOMIR (Dragin) KORICA
994. satnik DRAŽEN (Mihovilov) KOSTELAC
995. satnik MIROSLAV (Martinov) KOŠČAK
996. satnik SAMIR (Vjekoslavov) KOVAČ
997. satnik MIROSLAV (Petrov) KOVAČEVIĆ
998. satnik MARIN (Vladimirov) KOVAČIĆ
999. satnik ALOJZ (Stjepanov) KOVAČIĆ
1000. satnik MARIO (Vinkov) KRAJAČIĆ
1001. satnik IVAN (Jozin) KRIVIĆ
1002. satnik DAMIR (Martinov) KROBOT
1003. satnik MILAN (Božidarov) KRONJA
1004. satnik TONĆI (Nedin) KRSTIČEVIĆ
1005. satnik ZLATKO (Zlatin) KRZNAR
1006. satnik ROBERT (Antin) KULAŠ
1007. satnik VESELJKO (Faziljiev) KURTA
1008. satnik MATO (Josipov) KUZMINSKI
1009. satnik ANTONIJE (Ivičin) LANC
1010. satnik ZVONIMIR (Mirkov) LEPOGLAVEC
1011. satnik PERICA (Antunov) LEVAČIĆ
1012. satnik IVAN (Zvonkov) LILIJAN
1013. satnik DAMIR (Dragutinov) LOVREČIĆ
1014. satnik MIHAEL (Zvonimirov) LOVRETIĆ
1015. satnik BRANKO (Ivanov) LOZANČIĆ
1016. satnik IVICA (Stjepanov) LUKASOVIĆ
1017. satnik OZREN (Matin) LUKENDA
1018. satnik MARTIN (Matijin) LUKIĆ
1019. satnik IVICA (Tomin) LUKINIĆ
1020. satnik JOSIP (Jurin) MAGDIĆ
1021. satnik ŽELJKO (Milin) MAGDIĆ
1022. satnik DAMIR (Tomin) MALJAK
1023. satnik TOMISLAV (Milin) MANDIĆ
1024. satnik ZVONKO (Markov) MARINOVIĆ
1025. satnik RAJKO (Lukin) MARINOVIĆ
1026. satnik BRUNO (Slavkov) MARKOVIĆ
1027. satnik MARIO (Ivanov) MASLOV
1028. satnik TOMISLAV (Šimin) MATKOVIĆ
1029. satnik MLADEN (Tomin) MESIĆ
1030. satnik DAMIR (Vladimirov) MIHALIĆ
1031. satnik IVICA (Ivanov) MIJATOVIĆ
1032. satnik MARIJAN (Josipov) MIKIĆ
1033. satnik JOSIP (Ivanov) MIKUŠ
