preparatoru	preparat	Agpnsly
u	u	Sl
obavljanju	obavljanje	Ncnsl
drugih	drugi	Mlompg
poslova	posao	Ncmpg
.	.	Z

Fotograf	fotograf	Ncmsn
Posebni	poseban	Agpmpny
uvjeti	uvjet	Ncmpn
samo	samo	Rgp
ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
radu	rad	Ncmsl
koriste	koristiti	Vmr3p
kemikalije	kemikalija	Ncfpa
strojevima	stroj	Ncmpd
i	i	Cc
uređajima	uređaj	Ncmpl
Opis	opis	Ncmsn
poslova	posao	Ncmpg
:	:	Z
Zaštita	zaštita	Ncfsn
muzejske	muzejski	Agpfsgy
građe	građa	Ncfsg
:	:	Z
–	–	Z
fotografiranja	fotografiranje	Ncnsg
i	i	Cc
snimanja	snimanje	Ncnsg
na	na	Sl
terenu	teren	Ncmsl
–	–	Z
snimanje	snimanje	Ncnsa
muzejske	muzejski	Agpfsgy
građe	građa	Ncfsg
kamenih	kamen	Agpmpgy
,	,	Z
metalnih	metalan	Agpmpgy
,	,	Z
i	i	Cc
ostalih	ostali	Agpmpgy
predmeta	predmet	Ncmpg
–	–	Z
rad	rad	Ncmsan
u	u	Sl
fotolaboratoriju	fotolaboratorij	Ncmsl
,	,	Z
izrađivanje	izrađivanje	Ncnsn
fotografija	fotografija	Ncfpg
Iz	iz	Sg
arhive	arhiv	Ncfsg
negativa	negativ	Ncmsg
–	–	Z
obavlja	obavljati	Vmr3s
ostale	ostali	Agpmpay
tehničke	tehnički	Agpmpay
poslove	posao	Ncmpa
fotostruke	fotostruka	Ncfsg

13.	13.	Mdo

MUZEJ	muzej	Ncmsn
SLAVONIJE	Slavonija	Npfsg

NAZIV	naziv	Ncmsn
RADNOG	radni	Agpnsgy
MJESTA	mjesto	Ncnsg
OPIS	opis	Ncmsan
POSLOVA	posao	Ncmpg
S	sa	Si
POSEBNIM	poseban	Agpmpiy
UVJETIMA	uvjet	Ncmpi
RADA	rad	Ncmsg
Preparator	Preparator	Npmsn
–	–	Z
izvođenje	izvođenje	Ncnsa
svih	sav	Agpfpgy
vrsta	vrsta	Ncfpg
zaštitnih	zaštitni	Agpmpgy
poslova	posao	Ncmpg
na	na	Sl
muzejskoj	muzejski	Agpfsly
građi	građa	Ncfsl
,	,	Z
–	–	Z
vođenje	vođenje	Ncnsn
evidencija	evidencija	Ncfpg
stanja	stanje	Ncnsg
muzejskih	muzejski	Agpmpgy
predmeta	predmet	Ncmpg
i	i	Cc
izvršenih	izvršen	Agpmpgy
zahvata	zahvat	Ncmpg
na	na	Sl
njima	oni	Pp3-pl
,	,	Z
–	–	Z
čišćenje	čišćenje	Ncnsn
i	i	Cc
održavanje	održavanje	Ncnsa
muzejskih	muzejski	Agpmpgy
predmeta	predmet	Ncmpg
,	,	Z
–	–	Z
vršenje	vršenje	Ncnsn
dezinsekcije	dezinsekcija	Ncfsg
muzejskih	muzejski	Agpmpgy
predmeta	predmet	Ncmpg
,	,	Z
–	–	Z
vođenje	vođenje	Ncnsn
fotodokumentacije	fotodokumentacija	Ncfsg
svih	sav	Agpmpgy
zaštitnih	zaštitni	Agpmpgy
radova	rad	Ncmpg
na	na	Sl
muzejskoj	muzejski	Agpfsly
građi	građa	Ncfsl
,	,	Z
u	u	Sl
zbirkama	zbirka	Ncfpl
,	,	Z
radionicama	radionica	Ncfpl
i	i	Cc
u	u	Sl
depoima	depo	Ncmpl
,	,	Z
–	i	Agpnsny
vršenje	vršenje	Ncnsn
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
čuvanjem	čuvanje	Ncnsi
i	i	Cc
osiguranjem	osiguranje	Ncnsi
izložene	izložen	Agpfsgy
i	i	Cc
deponirane	deponirati	Appfsgy
muzejske	muzejski	Agpfsgy
građe	građa	Ncfsg
,	,	Z
–	–	Z
izvođenje	izvođenje	Ncnsn
radova	rad	Ncmpg
određene	određen	Agpfsgy
struke	struka	Ncfsg
kod	kod	Sg
uređenja	uređenje	Ncnsg
muzejskih	muzejski	Agpfpgy
