Spremačica	spremačica	Ncfsn
Održava	održavati	Vmr3s
čistoću	čistoća	Ncfsa
u	u	Sl
spremištima	spremište	Ncnpl
,	,	Z
poslovnim	poslovan	Agpmply
(	(	Z
radnim	radni	Agpnsiy
)	)	Z
i	i	Cc
zajedničkim	zajednički	Agpfpiy
prostorijama	prostorija	Ncfpi
:	:	Z
–	–	Z
izloženost	izloženost	Ncfsn
kiselinama	kiselina	Ncfpi
i	i	Cc
lužinama	lužina	Ncfpl
Voditelj	voditelj	Ncmsn
odsjeka	odsjek	Ncmsg
za	za	Sa
tehničke	tehnički	Agpmpay
poslove	posao	Ncmpa
Poslovi	posao	Ncmpn
na	na	Sl
održavanju	održavanje	Ncnsl
objekata	objekt	Ncmpg
,	,	Z
postrojenja	postrojenje	Ncnsg
i	i	Cc
prostora	prostor	Ncmsg
Arhiva	arhiv	Ncmsg
,	,	Z
nadzor	nadzor	Ncmsan
nad	nad	Si
izvođenjem	izvođenje	Ncnsi
radova	rad	Ncmpg
,	,	Z
provedba	provedba	Ncfsn
sigurnosnih	sigurnosni	Agpfpgy
mjera	mjera	Ncfpg
u	u	Sl
objektima	objekt	Ncmpl
,	,	Z
prati	pratiti	Vmr3s
stanje	stanje	Ncnsa
objekata	objekt	Ncmpg
,	,	Z
instalacija	instalacija	Ncfpg
i	i	Cc
opreme	oprema	Ncfsg
,	,	Z
…	…	Z
:	:	Z
–	–	Z
rukovanje	rukovanje	Ncnsn
kotlovskim	kotlovski	Agpnply
postrojenjima	postrojenje	Ncnpl
–	–	Z
radovi	rad	Ncmpn
na	na	Sl
visini	visina	Ncfsl
(	(	Z
poslovi	posao	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
makar	makar	Cs
povremeno	povremeno	Rgp
izvršavaju	izvršavati	Vmr3p
s	sa	Sg
površine	površina	Ncfsg
izdignute	izdići	Appfpny
više	mnogo	Rgc
od	od	Sg
tri	tri	Mlc
metra	metar	Ncmsg
od	od	Sg
okolne	okolni	Agpfsgy
površine	površina	Ncfsg
)	)	Z
,	,	Z
–	–	Z
prijevoz	prijevoz	Ncmsan
u	u	Sl
cestovnom	cestovan	Agpmsly
prometu	promet	Ncmsl
Viši	visok	Agcmsayn
stručni	stručan	Agpmsny
referent	referent	Ncmsn
za	za	Sa
tehničke	tehnički	Agpmpay
poslove	posao	Ncmpa
Poslovi	posao	Ncmpn
na	na	Sl
održavanju	održavanje	Ncnsl
objekata	objekt	Ncmpg
,	,	Z
postrojenja	postrojenje	Ncnsg
i	i	Cc
prostora	prostor	Ncmsg
Arhiva	arhiv	Ncmsg
,	,	Z
provedba	provedba	Ncfsn
sigurnosnih	sigurnosni	Agpfpgy
mjera	mjera	Ncfpg
u	u	Sl
objektima	objekt	Ncmpl
,	,	Z
prati	pratiti	Vmr3s
stanje	stanje	Ncnsa
objekata	objekt	Ncmpg
,	,	Z
instalacija	instalacija	Ncfpg
i	i	Cc
opreme	oprema	Ncfsg
,	,	Z
–	–	Z
rukovanje	rukovanje	Ncnsa
kotlovskim	kotlovski	Agpnply
postrojenjima	postrojenje	Ncnpl
radovi	rad	Ncmpn
na	na	Sl
visini	visina	Ncfsl
(	(	Z
poslovi	posao	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
makar	makar	Cs
povremeno	povremeno	Rgp
izvršavaju	izvršavati	Vmr3p
s	sa	Sg
površine	površina	Ncfsg
izdignute	izdići	Appfpny
više	mnogo	Rgc
od	od	Sg
tri	tri	Mlc
metra	metar	Ncmsg
od	od	Sg
okolne	okolni	Agpfsgy
površine	površina	Ncfsg
)	)	Z
Viši	visok	Agpmsny
stručni	stručan	Agpmsny
referent	referent	Ncmsn
za	za	Sa
tehničke	tehnički	Agpmpay
poslove	posao	Ncmpa
Poslovi	posao	Ncmpn
na	na	Sl
održavanju	održavanje	Ncnsl
objekata	objekt	Ncmpg
,	,	Z
postrojenja	postrojenje	Ncnsg
i	i	Cc
prostora	prostor	Ncmsg
Arhiva	arhiv	Ncmsg
,	,	Z
nadzor	nadzor	Ncmsan
nad	nad	Si
izvođenjem	izvođenje	Ncnsi
radova	rad	Ncmpg
,	,	Z
provedba	provedba	Ncfsn
sigurnosnih	sigurnosni	Agpfpgy
mjera	mjera	Ncfpg
u	u	Sl
objektima	objekt	Ncmpl
,	,	Z
prati	pratiti	Vmr3s
stanje	stanje	Ncnsa
objekata	objekt	Ncmpg
,	,	Z
instalacija	instalacija	Ncfpg
i	i	Cc
opreme	oprema	Ncfsg
,	,	Z
…	…	Z
:	:	Z
–	–	Z
rukovanje	rukovanje	Ncnsn
kotlovskim	kotlovski	Agpnply
postrojenjima	postrojenje	Ncnpl
radovi	rad	Ncmpn
na	na	Sl
visini	visina	Ncfsl
(	(	Z
poslovi	posao	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
makar	makar	Cs
povremeno	povremeno	Rgp
izvršavaju	izvršavati	Vmr3p
s	sa	Sg
površine	površina	Ncfsg
