Prestanak	prestanak	Ncmsn
važenja	važenje	Ncnsg
propisa	propis	Ncmsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Danom	dan	Agpnsly
8.	8.	Mdo
travnja	travanj	Ncmsg
2018.	2018.	Mdo
prestaju	prestajati	Vmr3p
važiti	važiti	Vmn
:	:	Z

a	a	Cc
)	)	Z
točke	točka	Ncfpn
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
Dodatka	dodatak	Ncmsg
2	2	Mdc
JAR-FCL	jar-fca	Ncfsg
1.125	1.125	Mdc
Pododjeljka	Pododjeljk	Npmsg
C		Npmsg
Sekcije	sekcija	Ncfsg
1	1	Mdc
,	,	Z
Pravilnika	pravilnik	Ncmsg
o	o	Sl
uvjetima	uvjet	Ncmpl
i	i	Cc
načinu	način	Ncmsl
stjecanja	stjecanje	Ncnsg
,	,	Z
izdavanja	izdavanje	Ncnsg
,	,	Z
obnavljanja	obnavljanje	Ncnsg
i	i	Cc
produžavanja	produžavanje	Ncnsg
dozvole	dozvola	Ncfsg
i	i	Cc
ovlaštenja	ovlaštenje	Ncnsg
zrakoplovnom	zrakoplovan	Agpnsly
osoblju	osoblje	Ncnsl
pilotima	pilot	Ncmpd
aviona	avion	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
133/11	133/11	Mds
)	)	Z
,	,	Z

b	b	I
)	)	Z
točke	točka	Ncfpa
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
Dodatka	dodatak	Ncmsg
2	2	Mdc
JAR-FCL	jar-fca	Ncfsg
2.125	2.125	Mdc
Pododjeljka	Pododjeljk	Npmsg
C		Npmsg
Sekcije	sekcija	Ncfsg
1	1	Mdc
,	,	Z
Pravilnika	pravilnik	Ncmsg
o	o	Sl
uvjetima	uvjet	Ncmpl
i	i	Cc
načinu	način	Ncmsl
stjecanja	stjecanje	Ncnsg
,	,	Z
izdavanja	izdavanje	Ncnsg
,	,	Z
obnavljanja	obnavljanje	Ncnsg
i	i	Cc
produžavanja	produžavanje	Ncnsg
dozvole	dozvola	Ncfsg
i	i	Cc
ovlaštenja	ovlaštenje	Ncnsg
zrakoplovnom	zrakoplovan	Agpnsly
osoblju	osoblje	Ncnsl
pilotima	pilot	Ncmpd
helikoptera	helikopter	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
133/11	133/11	Mds
)	)	Z
.	.	Z

c	C	Npmsn
)	)	Z
Pravilnik	pravilnik	Ncmsn
o	o	Sl
osposobljavanju	osposobljavanje	Ncnsl
,	,	Z
ispitima	ispit	Ncmpi
,	,	Z
dozvolama	dozvola	Ncfpi
i	i	Cc
ovlaštenjima	ovlaštenje	Ncnpl
pilota	pilot	Ncmpg
jedrilica	jedrilica	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
46/11	46/11	Mds
)	)	Z
,	,	Z

d	d	Ncnsn
)	)	Z
Pravilnik	pravilnik	Ncmsn
o	o	Sl
osposobljavanju	osposobljavanje	Ncnsl
,	,	Z
ispitima	ispit	Ncmpi
,	,	Z
dozvolama	dozvola	Ncfpi
i	i	Cc
ovlaštenjima	ovlaštenje	Ncnpl
pilota	pilot	Ncmpg
balona	balon	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
29/11	29/11	Mds
)	)	Z
.	.	Z

Stupanje	stupanje	Ncnsn
na	na	Sa
snagu	snaga	Ncfsa

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Danom	dan	Agpnsly
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
provedbi	provedba	Ncfsl
Uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1178/2011	1178/2011	Mdc
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
tehničkih	tehnički	Agpmpgy
zahtjeva	zahtjev	Ncmpg
i	i	Cc
administrativnih	administrativan	Agpfpgy
procedura	procedura	Ncfpg
vezano	vezano	Rgp
za	za	Sa
članove	član	Ncmpa
posade	posada	Ncfsg
zrakoplova	zrakoplov	Ncmpg
u	u	Sl
civilnom	civilan	Agpnsly
zrakoplovstvu	zrakoplovstvo	Ncnsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
216/2008	216/2008	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
116/13	116/13	Mds
)	)	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/54	01/54	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
530	530	Mdc
-	-	Z
06	06	Mdc
-	-	Z
1	1	Mdc
-	-	Z
1	1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
28.	28.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
pomorstva	pomorstvo	Ncnsg
,	,	Z
prometa	promet	Ncmsg
i	i	Cc
infrastrukture	infrastruktura	Ncfsg
dr.	dr.	Y
sc.	sc.	Y
Siniša	Siniša	Npfsn
Hajdaš	Hajdaš	Npfsn
Dončić	Dončić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

