dnevni	dnevni	Agpmsny
raspored	raspored	Ncmsn
plovidbe	plovidba	Ncfsg
održavaju	održavati	Vmr3p
kraće	kratko	Rgc
od	od	Sg
jednog	jedan	Mlcmsg
mjeseca	mjesec	Ncmsg
;	;	Z

b.	b	Agpnpgy
putovanja	putovanje	Ncnpg
koja	koji	Pi-npn
traju	trajati	Vmr3p
više	mnogo	Rgc
od	od	Sg
12	12	Mdc
sati	sat	Ncmpg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Naslov	naslov	Ncmsn
glave	glava	Ncfsg
VI	VI	Mrc
.	.	Z
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Evidencija	evidencija	Ncfsn
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
plove	ploviti	Vmr3p
na	na	Sl
putničkim	putnički	Agpmply
brodovima	brod	Ncmpl
«	«	Z
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

U	u	Sl
članku	članak	Ncmsl
23.	23.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
hrvatske	hrvatski	Agpfsgy
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

U	u	Sl
članku	članak	Ncmsl
23.	23.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
svaki	svaki	Pi-msn
putnik	putnik	Ncmsn
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
«	«	Z
.	.	Z

U	u	Sl
članku	članak	Ncmsl
23.	23.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
4.	4.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
osoba	osoba	Ncfsn
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
putnik	putnik	Ncmsn
«	«	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

U	u	Sl
članku	članak	Ncmsl
27.	27.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
brod	brod	Ncmsn
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
članku	članak	Ncmsl
27.	27.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
može	moći	Vmr3s
izuzeti	izuzeti	Vmn
od	od	Sg
primjene	primjena	Ncfsg
članka	članak	Ncmsg
23.	23.	Mdo
ove	ovaj	Pd-fsg
glave	glava	Ncfsg
brod	brod	Ncmsn
koji	koji	Pi-msn
plovi	ploviti	Vmr3s
u	u	Sl
zaštićenom	zaštititi	Agpnsly
morskom	morski	Agpnsly
području	područje	Ncnsl
između	između	Sg
dviju	dva	Ncfpg
luka	luka	Ncfpg
ili	ili	Cc
iz	iz	Sg
i	i	Cc
u	u	Sa
istu	isti	Agpfsay
luku	luka	Ncfsa
bez	bez	Sg
međuuplovljenja	međuuplovljenj	Ncmsg
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
članku	članak	Ncmsl
27.	27.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Linijski	linijski	Agpmsny
prijevoz	prijevoz	Ncmsn
u	u	Sl
područjima	područje	Ncnpl
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
Za	za	Sa
linijski	linijski	Agpmsayn
prijevoz	prijevoz	Ncmsan
u	u	Sl
područjima	područje	Ncnpl
«	«	Z
.	.	Z

U	u	Sl
članku	članak	Ncmsl
27.	27.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
točki	točka	Ncfsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
članku	članak	Ncmsl
24.	24.	Mdo
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
članku	članak	Ncmsl
23.	23.	Mdo
«	«	Z
.	.	Z

U	u	Sl
članku	članak	Ncmsl
27.	27.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
stavka	stavka	Ncfsn
4.	4.	Mdo
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
stavka	stavka	Ncfsn
5.	5.	Mdo
«	«	Z
,	,	Z
a	a	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
članka	članak	Ncmsg
24.	24.	Mdo
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
članka	članak	Ncmsg
23.	23.	Mdo
«	«	Z
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

U	u	Sl
članku	članak	Ncmsl
36.	36.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Odobrenje	odobrenje	Ncnsn
«	«	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
za	za	Sa
«	«	Ncmsan
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

U	u	Sl
Prilogu	prilog	Ncmsl
I-1	ii	Agpfsly
točki	točka	Ncfsl
B.	b	Agpfpgy
riječi	riječ	Ncfpg
:	:	Z
»	»	Z
(	(	Z
port	port	Ncmsn
facility	facility	Xf
of	of	Xf
arrival	arrival	Xf
,	,	Z
if	if	Xf
known	known	Xf
)	)	Z
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
ISPS	ISP	Npmsl
kod	kod	Sg
lučkog	lučki	Agpnsgy
područja	područje	Ncnsg
dolaska	dolazak	Ncmsg
(	(	Z
ako	ako	Cs
poznato	poznat	Agpnsny
)	)	Z
«	«	Z
.	.	Z

U	u	Sl
Prilogu	prilog	Ncmsl
I-1	ii	Agpfsly
točki	točka	Ncfsl
B.	B.	Y
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
vrijeme	vrijeme	Ncnsa
boravka	boravak	Ncmsg
broda	brod	Ncmsg
u	u	Sl
luci	luka	Ncfsl
,	,	Z
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
za	za	Sa
brodove	brod	Ncmpa
na	na	Sl
kružnom	kružan	Agpnsly
putovanju	putovanje	Ncnsl
:	:	Z
popis	popis	Ncmsn
luka	luk	Ncmsg
dolaska	dolazak	Ncmsg
broda	brod	Ncmsg
počevši	početi	Rr
od	od	Sg
prve	prvi	Mlofsg
luke	luka	Ncfsg
odlaska	odlazak	Ncmsg
do	do	Sg
posljednje	posljednji	Agpfsgy
luke	luka	Ncfsg
dolaska	dolazak	Ncmsg
pojedinog	pojedini	Agpnsgy
kružnog	kružan	Agpnsgy
putovanja	putovanje	Ncnsg
,	,	Z
uključujući	uključivati	Rr
procijenjeno	procijeniti	Agpnsay
vrijeme	vrijeme	Ncnsa
dolaska	dolazak	Ncmsg
u	u	Sa
svaku	svaki	Pi-fsa
od	od	Sg
luka	luk	Ncmsg
(	(	Z
ETA	ETA	Npfsn
)	)	Z
,	,	Z
«	«	Z
.	.	Z

U	u	Sl
Prilogu	prilog	Ncmsl
I-1	ii	Agpfsly
točki	točka	Ncfsl
D.	D.	Y
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
tranzitni	tranzitni	Agpmsny
putnik	putnik	Ncmsn
ili	ili	Cc
ne	ne	Qz
,	,	Z
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
broj	broj	Ncmsn
slijepih	slijep	Agpmpgy
putnika	putnik	Ncmpg
na	na	Sl
brodu	brod	Ncmsl
(	(	Z
ako	ako	Cs
poznato	poznat	Agpnsny
)	)	Z
,	,	Z
«	«	Z
.	.	Z

U	u	Sl
Prilogu	prilog	Ncmsl
I-1	ii	Agpfsly
točki	točka	Ncfsl
E.	E.	Y
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
opis	opis	Ncmsan
robe	roba	Ncfsg
«	«	Z
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
zarez	zarez	Ncmsn
,	,	Z
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
ili	ili	Cc
HS	HS	Npmsn
Code	Coda	Npfsg
(	(	Z
ako	ako	Cs
dostupno	dostupan	Agpnsny
)	)	Z
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
,	,	Z
a	a	Cc
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
WCO	wco	Agpmsayn
HS	HS	Npmsan
kod	kod	Sg
robe	roba	Ncfsg
,	,	Z
dimenzije	dimenzija	Ncfsg
robe	roba	Ncfsg
(	(	Z
ako	ako	Cs
primjenjivo	primjenjiv	Agpnsny
)	)	Z
,	,	Z
smještaj	smještaj	Ncmsn
na	na	Sl
brodu	brod	Ncmsl
,	,	Z
neto	neto	Agpfsny
težina	težina	Ncfsn
«	«	Z
.	.	Z

U	u	Sl
Prilogu	prilog	Ncmsl
I-1	ii	Agpfsly
točki	točka	Ncfsl
F.	F.	Y
podtočka	podtočki	Agpfsny
4.	4.	Mdo
d.	d.	Y
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
sustava	sustav	Ncmsg
protiv	protiv	Sg
obrastanja	obrastanje	Ncnsg
(	(	Z
ANTI-FOULING	ANTI-FOULING	Xf
)	)	Z
«	«	Z
.	.	Z

U	u	Sl
Prilogu	prilog	Ncmsl
I-1	ii	Agpfsly
točki	točka	Ncfsl
F.	F.	Y
iza	iza	Sg
podtočke	podtočki	Agpfsgy
4.	4.	Mdo
d.	d.	Y
dodaju	dodati	Vmr3p
se	sebe	Px--sa
nove	nov	Agpfpny
podtočke	podtočka	Ncfpn
4.	4.	Mdo
e.	e.	Y
i	i	Cc
4.	4.	Mdo
f.	f.	Y
koje	koji	Pi-fpn
glase	glasiti	Vmr3p
:	:	Z
»	»	Z
e.	ei	Agpfpay
odgovornosti	odgovornost	Ncfpa
pomorskog	pomorski	Agpmsgy
prijevoznika	prijevoznik	Ncmsg
za	za	Sa
putnike	putnik	Ncmpa
u	u	Sl
slučaju	slučaj	Ncmsl
nezgode	nezgoda	Ncfsg
«	«	Z
i	i	Cc
»	»	Z
f.	f.	Y
odgovornosti	odgovornost	Ncfsg
za	za	Sa
pomorske	pomorski	Agpfpay
tražbine	tražbina	Ncfpa
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
Prilogu	prilog	Ncmsl
I-3	i	Agpfply
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
24	24	Mdc
satni	satni	Agpmsayn
kontakt	kontakt	Ncmsan
podaci	podatak	Ncmpn
CSO	CSO	Npfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
(	(	Z
telefon	telefon	Ncmsn
,	,	Z
faks	faks	Ncmsan
ili	ili	Cc
e-mail	e-mail	Ncmsn
)	)	Z
«	«	Z
.	.	Z

U	u	Sl
Prilogu	prilog	Ncmsl
I-3	i-i	Agpfsgy
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
lučko	lučki	Agpnsay
postrojenje	postrojenje	Ncnsa
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
ISPS	ISP	Npmsl
kod	kod	Sg
lučkog	lučki	Agpnsgy
područja	područje	Ncnsg
(	(	Z
ako	ako	Cs
poznato	poznat	Agpnsny
)	)	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

U	u	Sl
Prilogu	prilog	Ncmsl
III	III	Mrc
.	.	Z
iza	iza	Sg
točke	točka	Ncfsg
5.	5.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
nova	nov	Agpfsny
točka	točka	Ncfsn
6.	6.	Mdo
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
(	(	Z
6	6	Mdc
)	)	Z
Evidencija	evidencija	Ncfsn
brodova	brod	Ncmpg
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
Sustavu	sustav	Ncmsl
obveznog	obvezan	Agpnsgy
javljanja	javljanje	Ncnsg
brodova	brod	Ncmpg
u	u	Sl
Jadranu	Jadran	Npmsl
(	(	Z
ADRIREP	ADRIREP	Npmsn
)	)	Z
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
02/50	02/50	Mdc

UrbroJ	urbroj	Ncmsn
:	:	Z
530	530	Mdc
-	-	Z
04	04	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
11.	11.	Mdo
svibnja	svibanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Siniša	Siniša	Npfsn
