Generalski	generalski	Agpmsny
Stol	stol	Ncmsn
Datum	datum	Ncmsn
:	:	Z
24.02.2015	24.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0038	06/0038	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6473	Z-6473	Y
Općina	općina	Ncfsn
TOUNJ	TOUNJ	Npmsn
Zdenac	Zdenac	Npmsn
Most	Most	Npmsn
na	na	Sl
rijeci	rijeka	Ncfsl
Tounjčici	Tounjčica	Npfsl
k.	k.	Y
č.	č.	Y
1	1	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
(	(	Z
odgovara	odgovarati	Vmr3s
zk	zk	Ncmsan
.	.	Z
č.	č.	Y
1515	1515	Mdc
,	,	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2	2	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	Skradnik	Npmsn
)	)	Z
;	;	Z
k.	k.	Mdc
č.	č.	Y
92	92	Mdc
,	,	Z
94	94	Mdc
,	,	Z
95	95	Mdc
,	,	Z
96	96	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
(	(	Z
odgovaraju	odgovarati	Vmr3p
zk	zk	Ncmsan
.	.	Z
č.	č.	Y
1516/1	1516/1	Mdc
,	,	Z
1516/2	1516/2	Mdc
,	,	Z
1518	1518	Mdc
,	,	Z
sve	sav	Agpnsay
zk	zk	Ncnsa
.	.	Z
ul	UL	Ncmsan
.	.	Z
2	2	Mdc
te	te	Cc
zk	zk	Rgp
.	.	Z
č.	č.	Rgp
1517	1517	Mdc
,	,	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
233	233	Mdc
,	,	Z
zk	zk	Rgp
.	.	Z
č.	č.	Y
1564	1564	Mdc
,	,	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1086	1086	Mdc
,	,	Z
sve	sav	Agpnsny
k.	k.	Y
o.	o.	Y
Skradnik	Skradnik	Npmsn
)	)	Z
;	;	Z
dio	dio	Ncmsn
4391	4391	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
(	(	Z
odgovara	odgovarati	Vmr3s
zk	zk	Ncmsan
.	.	Z
č.	č.	Y
1522	1522	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
,	,	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z

Popis	popis	Ncmsn
I	i	Cc
i	i	Qo
zk	zk	Ncmsan
.	.	Z
č.	č.	Y
1518	1518	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
,	,	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2	2	Mdc
)	)	Z
;	;	Z
dio	dio	Ncmsn
4418/5	4418/5	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
(	(	Z
odgovara	odgovarati	Vmr3s
zk	zk	Ncmsan
.	.	Z
č.	č.	Y
1564	1564	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Skradnik	skradnik	Ncmsn
,	,	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1086	1086	Mdc
)	)	Z
,	,	Z
;	;	Z
k.	k.	Y
č.	č.	Y
3876/1	3876/1	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
3876/3	3876/3	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
3876/4	3876/4	Mdc
(	(	Z
sve	sav	Agpnsay
zk	zk	Var2s
.	.	Z
ul	UL	Ncmsn
.	.	Z
560	560	Mdc
)	)	Z
,	,	Z
k.	k.	Y
o.	o.	Y
Tounj	Tounj	Npmsn
;	;	Z
dio	dio	Ncmsn
k.	k.	Y
č.	č.	Y
3963	3963	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Xf
.	.	Z
2	2	Mdc
)	)	Z
,	,	Z
k.	k.	Y
o.	o.	Y
Tounj	Tounj	Npmsn
,	,	Z
;	;	Z
k.	k.	Y
č.	č.	Y
2610/2	2610/2	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Zdenac	zdenac	Ncmsn
;	;	Z
dio	dio	Ncmsn
k.	k.	Y
č.	č.	Y
6014	6014	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Zdenac	zdenac	Ncmsn
,	,	Z
;	;	Z
dio	dio	Ncmsn
5997	5997	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Zdenac	zdenac	Ncmsn
Skradnik	skradnik	Ncmsn
;	;	Z
Tounj	Tounj	Npmsn
;	;	Z
Zdenac	zdenac	Ncmsn
Datum	datum	Ncmsn
:	:	Z
27.02.2015	27.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
04	04	Mdc
-	-	Z
01/227	01/227	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
5	5	Mdc
Z-1785	Z-1785	Mdc
Ličko-senjska	ličko-senjski	Agpfsny
županija	županija	Ncfsn
Općina	Općina	Npfsn
UDBINA	UDBINA	Npfsn
Podlapača	Podlapača	Npfsn
Crkva	Crkva	Npfsn
sv.	sv.	Y
Jurja	Jurj	Npmsay
na	na	Sa
k.	k.	Y
č.	č.	Y
144	144	Mdc
(	(	Z
ne	ne	Qz
postoji	postojati	Vmr3s
u	u	Sl
zemljišnim	zemljišni	Agpfply
knjigama	knjiga	Ncfpl
)	)	Z
Podlapača	podlapača	Agpmsny
Datum	datum	Ncmsn
:	:	Z
22.01.2015	22.01.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0012	06/0012	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
