315/2	315/i	Agpnsny
,	,	Z
307/2	307/2	Mdc
,	,	Z
307/7	307/7	Mdc
,	,	Z
453/1	453/1	Mdc
,	,	Z
307/5	307/5	Mdc
,	,	Z
454/15	454/15	Mdc
,	,	Z
454/1	454/1	Mdc
,	,	Z
454/16	454/16	Mdc
,	,	Z
;	;	Z
457/2	457/2	Mdc
Gostović	Gostović	Npmsn
Datum	Datum	Npmsn
:	:	Z
10.03.2015	10.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
05	05	Mdc
-	-	Z
06/1123	06/1123	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
7	7	Mdc
Z-2253	Z-2253	Y
Općina	općina	Ncfsn
BRDOVEC	BRDOVEC	Npmsn
Javorje	javorje	Agpmsny
Grob	grob	Ncmsn
zaprešićkih	zaprešićki	Agpfpgy
žrtava	žrtva	Ncfpg
poginulih	poginuli	Agpfpgy
u	u	Sl
narodnom	narodni	Agpmsly
pokretu	pokret	Ncmsl
1903.	1903.	Mdo
na	na	Sl
groblju	groblje	Ncnsl
u	u	Sl
Javorju	Javorj	Npmsl
179	179	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
124	124	Mdc
)	)	Z
Brdovec	brdovec	Agpmsny
Datum	datum	Ncmsn
:	:	Z
23.03.2015	23.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0058	06/0058	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6493	z-6493	Agpmsny
Grad	grad	Ncmsn
SAMOBOR	SAMOBOR	Npmsn
Samobor	Samobor	Npmsn
Kurija	kurija	Ncfsn
Bistrac	Bistrac	Npmsn
k.	k.	Y
č.	č.	Y
112	112	Mdc
,	,	Z
111	111	Mdc
k.	k.	Y
č.	č.	Y
112	112	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
359	359	Mdc
)	)	Z
i	i	Cc
k.	k.	Y
č.	č.	Y
111	111	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
612	612	Mdc
)	)	Z
k.	k.	Agpmsny
o.	o.	Agpmsny
Perivoj	perivoj	Ncmsn
Samobor	Samobor	Npmsn
Datum	Datum	Npmsn
:	:	Z
20.01.2015	20.01.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0006	06/0006	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6441	Z-6441	Mdc

(	(	Z
B	b	X
)	)	Z
PODVODNA	podvodan	Agpnpay
ARHEOLOŠKA	arheološki	Agpnpay
NALAZIŠTA	nalazište	Ncnpa

Područje	područje	Ncnsn
Kulturno	kulturan	Agpnsny
dobro	dobro	Ncnsn
Geografske	geografski	Agpfsgy
koordinate	koordinata	Ncfsg
Rješenje	rješenje	Ncnsn
Broj	broj	Ncmsn
registra	registar	Ncmsg
Splitsko-dalmatinska	splitsko-dalmatinski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
VIS	VIS	Npmsn
Vis	VIS	Npmsn
Podmorska	podmorski	Agpfsny
arheološka	arheološki	Agpfsny
zona	zona	Ncfsn
akvatorija	akvatorij	Ncmsg
otoka	otok	Ncmsg
Visa	vis	Ncmsg
,	,	Z
Biševa	Biševa	Npfsn
,	,	Z
Brusnika	Brusnik	Npmsg
i	i	Cc
Sveca	svetac	Ncmsg
prostorne	prostoran	Agpfsgy
međe	međa	Ncfsg
obuhvaćaju	obuhvaćati	Vmr3p
morski	morski	Agpmsayn
pojas	pojas	Ncmsan
širine	širina	Ncfsg
300	300	Mdc
metara	metar	Ncmpg
od	od	Sg
obale	obala	Ncfsg
otoka	otok	Ncmsg
Visa	vis	Ncmsg
,	,	Z
Biševa	Biševa	Npfsn
,	,	Z
Brusnika	Brusnik	Npmsg
i	i	Cc
Sveca	svetac	Ncmsg
te	te	Cc
svih	sav	Agpmpgy
ostalih	ostali	Agpmpgy
otočića	otočić	Ncmpg
i	i	Cc
hridi	hrid	Ncfsg
koji	koji	Pi-mpn
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
na	na	Sl
udaljenosti	udaljenost	Ncfsl
od	od	Sg
2000	2000	Mdc
metara	metar	Ncmpg
od	od	Sg
otoka	otok	Ncmsg
Visa	vis	Ncmsg
,	,	Z
Biševa	Biševa	Npfsn
,	,	Z
Brusnika	Brusnik	Npmsg
i	i	Cc
Sveca	svetac	Ncmsg
(	(	Z
otočići	otočić	Ncmpn
:	:	Z
Veli	veliti	Vmm2s
barjak	barjak	Ncmsan
,	,	Z
Mali	mali	Agpmsny
barjak	barjak	Ncmsn
,	,	Z
Host	Host	Npmsn
,	,	Z
Greben	greben	Ncmsn
,	,	Z
Veli	veli	Vmr3s
paržan	paržan	Agpmsann
,	,	Z
Mali	mali	Agpmsny
paržan	paržan	Ncmsn
,	,	Z
Veli	veliti	Vmm2s
budikovac	budikovac	Ncmsan
,	,	Z
Mali	mali	Agpmsny
budikovac	budikovac	Ncmsn
,	,	Z
Ravnik	ravnik	Ncmsn
;	;	Z
hridi	hrid	Ncfsg
:	:	Z
Kamik	Kamik	Npmsn
,	,	Z
Volići	Volići	Npfsl
,	,	Z
Krava	krava	Ncfsn
,	,	Z
Pupak	pupak	Ncmsn
,	,	Z
Zuberka	Zuberka	Npfsn
,	,	Z
Gambur	Gambur	Npmsn
,	,	Z
Točac	Točac	Npmsn
,	,	Z
Kamik	Kamik	Npmsn
(	(	Z
kraj	kraj	Ncmsn
Biševa	biševo	Ncnsg
)	)	Z
Datum	datum	Ncmsn
:	:	Z
26.03.2015	26.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0064	06/0064	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6496	Z-6496	Y
Općina	općina	Ncfsn
:	:	Z
BAŠKA	baški	Agpfsny
VODA	voda	Ncfsn
Baška	baški	Agpfsny
Voda	voda	Ncfsn
Podmorsko	podmorski	Agpnsny
arheološko	arheološki	Agpnsay
nalazište	nalazište	Ncnsa
1.	1.	Mdo
N	N	Y
43	43	Mdc
°	°	Z
21	21	Mdc
'	'	Z
31,35	31,35	Mdc
'	'	Z
i	i	Cc
E	e	Y
16	16	Mdc
°	°	Z
56	56	Mdc
'	'	Z
46,12	46,12	Mdc
'	'	Z
;	;	Z
2.	2.	Mdo
N	N	Y
43	43	Mdc
°	°	Z
21	21	Mdc
'	'	Z
27,03	27,03	Mdc
'	'	Z
i	i	Cc
E	e	Y
16	16	Mdc
°	°	Z
56	56	Mdc
'	'	Z
40,00	40,00	Mdc
'	'	Z
;	;	Z
3.	3.	Mdo
N	N	Y
43	43	Mdc
°	°	Z
21	21	Mdc
'	'	Z
19,61	19,61	Mdc
'	'	Z
i	i	Cc
E	e	Y
16	16	Mdc
°	°	Z
56	56	Mdc
'	'	Z
55,80	55,80	Mdc
'	'	Z
,	,	Z
s	sa	Si
prostorom	prostor	Ncmsi
između	između	Sg
njih	oni	Pp3-pg
te	te	Cc
linijom	linija	Ncfsi
obale	obala	Ncfsg
Datum	Datum	Npmsn
:	:	Z
30.03.2015	30.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0066	06/0066	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
