drugih	drugi	Mlompg
uređaja	uređaj	Ncmpg
za	za	Sa
uplatu	uplata	Ncfsa
/	/	Z
isplatu	isplata	Ncfsa
i	i	Cc
pohranu	pohrana	Ncfsa
gotovog	gotov	Agpmsgy
novca	novac	Ncmsg

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
obveze	obveza	Ncfpn
objave	objava	Ncfsg
uspostave	uspostava	Ncfsg
sustava	sustav	Ncmsg
tehničke	tehnički	Agpfsgy
zaštite	zaštita	Ncfsg
u	u	Sl
poslovnici	poslovnica	Ncfsl
koja	koji	Pi-fsn
mora	morati	Vmr3s
biti	biti	Van
postavljena	postaviti	Appfsny
na	na	Sl
vidljivom	vidljiv	Agpnsly
mjestu	mjesto	Ncnsl
u	u	Sl
i	i	Qo
izvan	izvan	Sg
poslovnice	poslovnica	Ncfsg
(	(	Z
naljepnica	naljepnica	Ncfsn
i	i	Cc
sl.	sl.	Y
)	)	Z

–	–	Px-msi
programom	program	Ncmsi
edukacije	edukacija	Ncfsg
zaposlenika	zaposlenik	Ncmpg
za	za	Sa
postupke	postupak	Ncmpa
pri	pri	Sl
manipulaciji	manipulacija	Ncfsl
novcem	novac	Ncmsi
,	,	Z
korištenju	korištenje	Ncnsl
sustava	sustav	Ncmsg
tehničke	tehnički	Agpfsgy
zaštite	zaštita	Ncfsg
i	i	Cc
ponašanju	ponašanje	Ncnsl
u	u	Sl
slučajevima	slučaj	Ncmpl
izvanrednih	izvanredan	Agpfpgy
okolnosti	okolnost	Ncfpg
koji	koji	Pi-msn
se	sebe	Px--sa
mora	morati	Vmr3s
provesti	provesti	Vmn
najmanje	malo	Rgs
jednom	jednom	Rgp
godišnje	godišnje	Rgp
uz	uz	Sa
provjeru	provjera	Ncfsa
i	i	Cc
procjenu	procjena	Ncfsa
osposobljenosti	osposobljenost	Ncfsg
zaposlenika	zaposlenik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Mjere	mjera	Ncfpn
tehničke	tehnički	Agpfsgy
zaštite	zaštita	Ncfsg
definiraju	definirati	Vmr3p
se	sebe	Px--sa
:	:	Z

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
oblika	oblik	Ncmsg
i	i	Cc
kvantitete	kvantiteta	Ncfsg
tehničke	tehnički	Agpfsgy
zaštite	zaštita	Ncfsg

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
potreba	potreba	Ncfpg
za	za	Sa
održavanjem	održavanje	Ncnsi
,	,	Z
popravcima	popravak	Ncmpi
,	,	Z
doradom	dorada	Ncfsi
i	i	Cc
zamjenom	zamjena	Ncfsi
uređaja	uređaj	Ncmpg
i	i	Cc
sustava	sustav	Ncmsg

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
odgovarajuće	odgovarajući	Agpfsgy
pohrane	pohrana	Ncfsg
i	i	Cc
čuvanja	čuvanje	Ncnsg
tehničke	tehnički	Agpfsgy
dokumentacije	dokumentacija	Ncfsg

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
odgovarajuće	odgovarajući	Agpfsgy
pohrane	pohrana	Ncfsg
i	i	Cc
čuvanja	čuvanje	Ncnsg
video-zapisa	video-zapis	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Mjere	mjera	Ncfpn
tjelesne	tjelesni	Agpfsgy
zaštite	zaštita	Ncfsg
definiraju	definirati	Vmr3p
se	sebe	Px--sa
:	:	Z

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
broja	broj	Ncmsg
i	i	Cc
smještaja	smještaj	Ncmsg
zaštitara	zaštitar	Ncmpg
u	u	Sl
poslovnici	poslovnica	Ncfsl

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
procedure	procedura	Ncfsg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
tjelesne	tjelesni	Agpfsgy
zaštite	zaštita	Ncfsg
u	u	Sl
poslovnici	poslovnica	Ncfsl

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
ovlasti	ovlast	Ncfsg
i	i	Cc
odgovornosti	odgovornost	Ncfsg
zaštitara	zaštitar	Ncmpg
u	u	Sl
poslovnici	poslovnica	Ncfsl

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
vođenja	vođenje	Ncnsg
,	,	Z
pohrane	pohrana	Ncfsg
i	i	Cc
čuvanja	čuvanje	Ncnsg
evidencija	evidencija	Ncfpg

–		Agpnsiy
propisivanjem	propisivanje	Ncnsi
načina	način	Ncmsg
pohrane	pohrana	Ncfsg
oružja	oružje	Ncnsg
i	i	Cc
streljiva	streljivo	Ncnsg
,	,	Z
njihove	njihov	Ps3fsg
provjere	provjera	Ncfsg
i	i	Cc
primopredaje	primopredaja	Ncfsg
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sigurnosni	sigurnosni	Agpmsny
plan	plan	Ncmsn
zaštite	zaštita	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
pri	pri	Sl
izradi	izrada	Ncfsl
prosudbi	prosudba	Ncfpg
ugroženosti	ugroženost	Ncfsg
,	,	Z
sigurnosnih	sigurnosni	Agpmpgy
elaborata	elaborat	Ncmpg
i	i	Cc
projektnih	projektni	Agpmpgy
zadataka	zadatak	Ncmpg
objekata	objekt	Ncmpg
novčarskih	novčarski	Agpfpgy
institucija	institucija	Ncfpg
koje	koji	Pi-fpn
izrađuju	izrađivati	Vmr3p
ovlaštene	ovlašten	Agpfpny
zaštitarske	zaštitarski	Agpfpny
tvrtke	tvrtka	Ncfpn
ili	ili	Cc
obrti	obrt	Ncmpn
