protusabotažnom	protusabotažan	Agpnsly
metalnom	metalan	Agpnsly
kućištu	kućište	Ncnsl
odgovarajuće	odgovarajući	Agpfsgy
klase	klasa	Ncfsg
protuprovalnosti	protuprovalnost	Ncfsg
s	sa	Si
dojavom	dojava	Ncfsi
neovlaštenog	neovlašten	Agpmsgy
pristupa	pristup	Ncmsg
snimaču	snimač	Ncmsd
ili	ili	Cc
se	sebe	Px--sa
video	video	Ncmsn
signal	signal	Ncmsn
može	moći	Vmr3s
odaslati	odaslati	Vmn
na	na	Sa
izdvojenu	izdvojiti	Agpfsay
lokaciju	lokacija	Ncfsa
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
snima	snimati	Vmr3s

–	–	Z
interni	interni	Agpmpny
i	i	Cc
eksterni	eksteran	Agpmpny
bankomati	bankomat	Ncmpn
moraju	morati	Vmr3p
imati	imati	Vmn
neprekidni	neprekidan	Agpmsayn
nadzor	nadzor	Ncmsan
komunikacijske	komunikacijski	Agpfsgy
veze	veza	Ncfsg
bankomata	bankomat	Ncmpg
s	sa	Si
dojavnim	dojavni	Agpmsiy
centrom	centar	Ncmsi
,	,	Z
a	a	Cc
sefovi	sef	Ncmpn
bankomata	bankomat	Ncmsg
moraju	morati	Vmr3p
imati	imati	Vmn
EN	EN	Npmsn
1143	1143	Mdc
-	-	Z
1	1	Mdc
europski	europski	Agpmsny
certifikat	certifikat	Ncmsn
za	za	Sa
protuprovalnost	protuprovalnost	Ncfsa

–	–	Agpmpny
dnevno-noćni	dnevno-noćan	Agpmpny
trezori	trezor	Ncmpn
banaka	banka	Ncfpg
štite	štititi	Vmr3p
se	sebe	Px--sa
protuprovalnim	protuprovalni	Agpmsiy
sustavom	sustav	Ncmsi
koji	koji	Pi-msn
registrira	registrirati	Vmr3s
i	i	Cc
dojavljuje	dojavljivati	Vmr3s
nasilni	nasilan	Agpmsayn
pokušaj	pokušaj	Ncmsan
ulaza	ulaz	Ncmsg
u	u	Sa
trezor	trezor	Ncmsan
na	na	Sa
centralni	centralan	Agpmsayn
dojavni	dojavni	Agpmsayn
sustav	sustav	Ncmsan
zaštitarske	zaštitarski	Agpfsgy
tvrtke	tvrtka	Ncfsg
te	te	Cc
obveznim	obvezan	Agpmsiy
neprekidnim	neprekidan	Agpmsiy
video-nadzorom	video-nadzor	Ncmsi
koji	koji	Pi-msn
pokriva	pokrivati	Vmr3s
vanjski	vanjski	Agpmsayn
korisnički	korisnički	Agpmsayn
dio	dio	Ncmsan
trezora	trezor	Ncmsg
,	,	Z
s	sa	Si
pohranom	pohrana	Ncfsi
video-zapisa	video-zapis	Npmsg
.	.	Z

Konstrukcija	konstrukcija	Ncfsn
depozitnog	depozitni	Agpmsgy
sefa	sef	Ncmsg
za	za	Sa
dnevno-noćne	dnevno-noćan	Agpmpay
trezore	trezor	Ncmpa
mora	morati	Vmr3s
imati	imati	Vmn
EN	EN	Npmsn
1143	1143	Mdc
-	-	Z
2	2	Mdc
europski	europski	Agpmsny
certifikat	certifikat	Ncmsn
za	za	Sa
protuprovalnost	protuprovalnost	Ncfsa

–	–	Z
sigurnosni	sigurnosni	Agpmpny
depozitni	depozitni	Agpmpny
spremnici	spremnik	Ncmpn
u	u	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
pohranjuje	pohranjivati	Vmr3s
novac	novac	Ncmsan
i	i	Cc
vrijednosti	vrijednost	Ncfsg
štite	štititi	Vmr3p
se	sebe	Px--sa
kombiniranom	kombiniran	Agpfsiy
zaštitom	zaštita	Ncfsi
(	(	Z
minimalno	minimalno	Rgp
protuprovalni	protuprovalni	Agpmsny
sustav	sustav	Ncmsn
s	sa	Si
dojavom	dojava	Ncfsi
na	na	Sa
centralni	centralan	Agpmsayn
dojavni	dojavni	Agpmsayn
sustav	sustav	Ncmsan
zaštitarske	zaštitarski	Agpfsgy
tvrtke	tvrtka	Ncfsg
ili	ili	Cc
zvučnim	zvučan	Agpmsiy
alarmom	alarm	Ncmsi
te	te	Cc
mehanička	mehanički	Agpfsny
zaštita	zaštita	Ncfsn
putem	put	Sg
učvršćenja	učvršćenje	Ncnsg
spremnika	spremnik	Ncmpg
za	za	Sa
čvrstu	čvrst	Agpfsay
podlogu	podloga	Ncfsa
i	i	Cc
načinom	način	Sg
otvaranja	otvaranje	Ncnsg
vrata	vrat	Ncmsg
putem	put	Sg
elektromehaničkih	elektromehanički	Agpfpgy
brava	brava	Ncfpg
sa	sa	Si
šiframa	šifra	Ncfpi
ili	ili	Cc
suključarstvom	suključarstva	Ncfsi
)	)	Z
.	.	Z

5.	5.	Mdo
Stambene	stambeni	Agpfpny
štedionice	štedionica	Ncfpn
štite	štititi	Vmr3p
se	sebe	Px--sa
:	:	Z

–	i	Agpfsiy
primjenom	primjena	Ncfsi
protuprepadnog	protuprepadan	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
centraliziranom	centraliziran	Agpfsiy
dojavom	dojava	Ncfsi
i	i	Cc
nadzorom	nadzor	Ncmsi
alarma	alarm	Ncmsg

–	an	Mlcfsi
primjenom	primjena	Ncfsi
protuprovalnog	protuprovalni	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
centraliziranom	centraliziran	Agpfsiy
dojavom	dojava	Ncfsi
i	i	Cc
nadzorom	nadzor	Ncmsi
alarma	alarm	Ncmsg
i	i	Cc
spajanjem	spajanje	Ncnsi
na	na	Sa
unutarnje	unutarnji	Agpfpay
sirene	sirena	Ncfpa
ili	ili	Cc
vanjske	vanjski	Agpfsgy
sirene	sirena	Ncfsg
s	sa	Si
bljeskalicama	bljeskalica	Ncfpi

–		Agpmsiy
neprekidnim	neprekidan	Agpmsiy
sustavom	sustav	Ncmsi
video-nadzora	video-nadzor	Ncmsg
unutar	unutar	Sg
i	i	Cc
izvan	izvan	Sg
objekta	objekt	Ncmsg
s	sa	Si
pohranom	pohrana	Ncfsi
