izvršenja	izvršenje	Ncnpn
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
polovine	polovina	Ncfpa
trajanja	trajanje	Ncnsg
sigurnosne	sigurnosni	Agpfsgy
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
7.	7.	Mdo
prva	prvi	Mlofsn
rečenica	rečenica	Ncfsn
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Po	po	Sl
proteku	protek	Ncmsl
najdužeg	dug	Agpnsgy
vremena	vrijeme	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sigurnosnu	sigurnosni	Agpfsay
mjeru	mjera	Ncfsa
izrečenu	izreći	Appfsay
na	na	Sl
temelju	temelj	Ncmsl
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
može	moći	Vmr3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
osuđenika	osuđenik	Ncmpg
obustaviti	obustaviti	Vmn
ako	ako	Cs
ustanovi	ustanoviti	Vmr3s
da	da	Cs
više	mnogo	Rgc
ne	ne	Qz
postoji	postojati	Vmr3s
opasnost	opasnost	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
8.	8.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
pravomoćno	pravomoćno	Rgp
izrečenoj	izreći	Agpfsly
mjeri	mjera	Ncfsl
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
presudi	presuditi	Vmr3s
kojom	koji	Pi-fsi
je	biti	Var3s
izrečena	izreći	Appfsny
mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

U	u	Sl
članku	članak	Ncmsl
72.	72.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
3	3	Mdc
)	)	Z
Mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
pet	pet	Mlc
godina	godina	Ncfpg
.	.	Z

Počinitelju	počinitelj	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
osuđen	osuditi	Appmsnn
na	na	Sa
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
,	,	Z
a	a	Cc
nije	biti	Var3s
mu	on	Pp3msd
izrečena	izreći	Appfsny
uvjetna	uvjetan	Agpfsny
osuda	osuda	Ncfsn
niti	niti	Cc
je	biti	Var3s
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
zamijenjena	zamijeniti	Appfsny
radom	rad	Ncmsi
za	za	Sa
opće	opći	Agpnsay
dobro	dobro	Ncnsa
,	,	Z
mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izreći	izreći	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
pet	pet	Mlc
godina	godina	Ncfpg
dulje	dugo	Rgc
od	od	Sg
izrečene	izreći	Appfsgy
kazne	kazna	Ncfsg
zatvora	zatvor	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
4.	4.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Po	po	Sl
proteku	protek	Ncmsl
polovine	polovina	Ncfsg
trajanja	trajanje	Ncnsg
sigurnosne	sigurnosni	Agpfsgy
mjere	mjera	Ncfsg
izrečene	izreći	Appfpny
na	na	Sl
temelju	temelj	Ncmsl
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
može	moći	Vmr3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
osuđenika	osuđenik	Ncmpg
obustaviti	obustaviti	Vmn
njezino	njezin	Agpnsay
izvršenje	izvršenje	Ncnsa
ako	ako	Cs
ustanovi	ustanoviti	Vmr3s
da	da	Cs
više	mnogo	Rgc
ne	ne	Qz
postoji	postojati	Vmr3s
opasnost	opasnost	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Osuđenik	osuđenik	Ncmsn
može	moći	Vmr3s
ponoviti	ponoviti	Vmn
prijedlog	prijedlog	Ncmsan
,	,	Z
ali	ali	Cc
ne	ne	Qz
prije	prije	Sg
proteka	protek	Ncmsg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
od	od	Sg
zadnjeg	zadnji	Agpnsgy
preispitivanja	preispitivanje	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
8.	8.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
8	8	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
o	o	Sl
presudi	presuda	Ncfsl
kojom	koji	Pi-fsi
je	biti	Var3s
izrečena	izreći	Appfsny
mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obavijestiti	obavijestiti	Vmn
policiju	policija	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
stavak	stavak	Ncmsn
9.	9.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
9	9	Mdc
)	)	Z
Način	način	Ncmsn
izvršavanja	izvršavanje	Ncnsg
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
pravilnikom	pravilnik	Ncmsi
će	htjeti	Var3s
propisati	propisati	Vmn
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsann
za	za	Sa
unutarnje	unutarnji	Agpmpay
poslove	posao	Ncmpa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
73.	73.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Zabrana	zabrana	Ncfsn
približavanja	približavanje	Ncnsg
,	,	Z
uznemiravanja	uznemiravanje	Ncnsg
ili	ili	Cc
uhođenja	uhođenje	Ncnsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
73.	73.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Sigurnosna	sigurnosni	Agpfsny
mjera	mjera	Ncfsn
zabrane	zabrana	Ncfsg
približavanja	približavanje	Ncnsg
,	,	Z
uznemiravanja	uznemiravanje	Ncnsg
ili	ili	Cc
uhođenja	uhođenje	Ncnsg
žrtve	žrtva	Ncfsg
,	,	Z
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
ili	ili	Cc
grupe	grupa	Ncfsg
osoba	osoba	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
zabrane	zabrana	Ncfsg
približavanja	približavanje	Ncnsg
određenom	određen	Agpnsly
mjestu	mjesto	Ncnsl
sud	sud	Ncmsn
će	htjeti	Var3s
izreći	izreći	Vmn
počinitelju	počinitelj	Ncmsl
kad	kad	Cs
postoji	postojati	Vmr3s
opasnost	opasnost	Ncfsn
da	da	Cs
bi	biti	Vaa3s
počinitelj	počinitelj	Ncmsn
prema	prema	Sl
tim	taj	Pd-fpl
osobama	osoba	Ncfpl
ili	ili	Cc
na	na	Sa
tim	tim	Ncmsan
mjestima	mjesto	Ncnpl
mogao	moći	Vmp-sm
ponovo	ponovo	Rgp
počiniti	počiniti	Vmn
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izriče	izricati	Vmr3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
pet	pet	Mlc
godina	godina	Ncfpg
.	.	Z

Počinitelju	počinitelj	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
osuđen	osuditi	Appmsnn
na	na	Sa
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
,	,	Z
a	a	Cc
nije	biti	Var3s
mu	on	Pp3msd
izrečena	izreći	Appfsny
uvjetna	uvjetan	Agpfsny
osuda	osuda	Ncfsn
niti	niti	Cc
je	biti	Var3s
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
zamijenjena	zamijeniti	Appfsny
radom	rad	Ncmsi
za	za	Sa
opće	opći	Agpnsay
dobro	dobro	Ncnsa
,	,	Z
mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izreći	izreći	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
pet	pet	Mlc
godina	godina	Ncfpg
dulje	dugo	Rgc
od	od	Sg
izrečene	izreći	Appfsgy
kazne	kazna	Ncfsg
zatvora	zatvor	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Po	po	Sl
proteku	protek	Ncmsl
polovine	polovina	Ncfsg
trajanja	trajanje	Ncnsg
sigurnosne	sigurnosni	Agpfsgy
mjere	mjera	Ncfsg
izrečene	izreći	Appfpny
na	na	Sl
temelju	temelj	Ncmsl
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
može	moći	Vmr3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
osuđenika	osuđenik	Ncmpg
obustaviti	obustaviti	Vmn
njezino	njezin	Agpnsay
izvršenje	izvršenje	Ncnsa
ako	ako	Cs
ustanovi	ustanoviti	Vmr3s
da	da	Cs
više	mnogo	Rgc
ne	ne	Qz
postoji	postojati	Vmr3s
opasnost	opasnost	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Osuđenik	osuđenik	Ncmsn
može	moći	Vmr3s
ponoviti	ponoviti	Vmn
prijedlog	prijedlog	Ncmsan
,	,	Z
ali	ali	Cc
ne	ne	Qz
prije	prije	Sg
proteka	protek	Ncmsg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
od	od	Sg
zadnjeg	zadnji	Agpnsgy
preispitivanja	preispitivanje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Na	na	Sa
zabranu	zabrana	Ncfsa
približavanja	približavanje	Ncnsg
shodno	shodno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
primijeniti	primijeniti	Vmn
odredba	odredba	Ncfsn
članka	članak	Ncmsg
71.	71.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
o	o	Sl
presudi	presuda	Ncfsl
kojom	koji	Pi-fsi
je	biti	Var3s
izrečena	izreći	Appfsny
mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obavijestiti	obavijestiti	Vmn
policiju	policija	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

U	u	Sl
članku	članak	Ncmsl
74.	74.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
2	2	Mdc
)	)	Z
Mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izriče	izricati	Vmr3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
do	do	Sg
tri	tri	Mlc
godine	godina	Ncfsg
.	.	Z

Počinitelju	počinitelj	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
osuđen	osuditi	Appmsnn
na	na	Sa
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
,	,	Z
a	a	Cc
nije	biti	Var3s
mu	on	Pp3msd
izrečena	izreći	Appfsny
uvjetna	uvjetan	Agpfsny
osuda	osuda	Ncfsn
niti	niti	Cc
je	biti	Var3s
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
zamijenjena	zamijeniti	Appfsny
radom	rad	Ncmsi
za	za	Sa
opće	opći	Agpnsay
dobro	dobro	Ncnsa
,	,	Z
mjera	mjera	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izreći	izreći	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
do	do	Sg
tri	tri	Mlc
godine	godina	Ncfsg
dulje	dugo	Rgc
od	od	Sg
izrečene	izreći	Appfsgy
kazne	kazna	Ncfsg
zatvora	zatvor	Ncmsg
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
kućanstvo	kućanstvo	Ncnsn
«	«	Z
zarez	zarez	Ncmsn
i	i	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
vrijeme	vrijeme	Ncnsn
provedeno	provesti	Appnsny
u	u	Sl
zatvoru	zatvor	Ncmsl
,	,	Z
kaznionici	kaznionica	Ncfsl
ili	ili	Cc
ustanovi	ustanova	Ncfsl
ne	ne	Qz
uračunava	uračunavati	Vmr3s
u	u	Sa
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
ove	ovaj	Pd-fsg
mjere	mjera	Ncfsg
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
4.	4.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
jedne	jedan	Mlcfsg
godine	godina	Ncfsg
od	od	Sg
početka	početak	Ncmsg
izvršavanja	izvršavanje	Ncnsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
polovine	polovina	Ncfpa
trajanja	trajanje	Ncnsg
«	«	Z
,	,	Z
a	a	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
udaljenja	udaljenje	Ncnsg
iz	iz	Sg
zajedničkog	zajednički	Agpnsgy
kućanstva	kućanstvo	Ncnsg
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
6.	6.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
pravomoćno	pravomoćno	Rgp
izrečenoj	izreći	Agpfsly
zabrani	zabrana	Ncfsl
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
presudi	presuditi	Vmr3s
kojom	koji	Pi-fsi
je	biti	Var3s
izrečena	izreći	Appfsny
mjera	mjera	Ncfsn
«	«	Z
,	,	Z
a	a	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
za	za	Sa
probaciju	probacija	Ncfsa
i	i	Cc
nadležnu	nadležan	Agpfsay
