električni	električan	Agpmpny
uređaji	uređaj	Ncmpn
,	,	Z
uređaji	uređaj	Ncmpn
za	za	Sa
uređivanje	uređivanje	Ncnsa
i	i	Cc
nadzor	nadzor	Ncmsan
prometa	promet	Ncmsg
,	,	Z
uređaji	uređaj	Ncmpn
za	za	Sa
daljinsko	daljinski	Agpnsay
obavješćivanje	obavješćivanje	Ncnsa
,	,	Z
uređaji	uređaj	Ncmpn
i	i	Cc
objekti	objekt	Ncmpn
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
cestarine	cestarina	Ncfsg
,	,	Z
brojila	brojiti	Vmp-sf
prometa	promet	Ncmsg
,	,	Z
meteo	meteo	Pi3n-n
postaje	postajati	Vmr3s
i	i	Cc
dr.	dr.	Y
)	)	Z
O	o	Sl
O	o	Ncfsl
O	o	Sl
O	o	Ncfsl
Podaci	podatak	Ncfsl
o	o	Sl
redovitim	redovit	Agpfply
i	i	Cc
povremenim	povremen	Agpnply
brojanjima	brojanje	Ncnpl
prometa	promet	Ncmsg
(	(	Z
PGDP	PGDP	Npmsn
,	,	Z
PLDP	PLDP	Npmsn
)	)	Z
O	o	Sl
O	o	Sl
P	a	Ncfsl
P		Ncmsl
Zimska	zimski	Agpfsny
služba	služba	Ncfsn
(	(	Z
prioritetni	prioritetni	Agpmpny
zadaci	zadatak	Ncmpn
)	)	Z
O	o	Sl
O	o	Ncfsl
O	o	Sl
O	o	Ncfsl
Zaštita	zaštita	Ncfsl
javnih	javan	Agpfpgy
cesta	cesta	Ncfpg
(	(	Z
izdane	izdan	Agpfsgy
dozvole	dozvola	Ncfsg
,	,	Z
posebni	poseban	Agpmpny
uvjeti	uvjet	Ncmpn
,	,	Z
suglasnosti	suglasnost	Ncfsg
,	,	Z
mišljenja	mišljenje	Ncnsg
i	i	Cc
dr.	dr.	Y
iz	iz	Sg
naslova	naslov	Ncmsg
zaštite	zaštita	Ncfsg
cesta	cesta	Ncfpg
)	)	Z
O	o	Sl
O	o	Ncfsl
O	o	Agpfply
O	o	Ncfpl
Povijest	povijest	Ncfsl
održavanja	održavanje	Ncnsg
ceste	cesta	Ncfsg
O	o	Sl
O	o	Ncfsl
O	o	Sl
O	o	Ncfsl
Podaci	podatak	Ncfsl
o	o	Sl
prometnim	prometan	Agpfply
nesrećama	nesreća	Ncfpl
za	za	Sa
TEM	tei	Agpfpay
ceste	cesta	Ncfpa
O	o	Sl
O	o	Sl
–	a	Ncfsl
–	–	Z
Pregledna	pregledan	Agpfsny
udaljenost	udaljenost	Ncfsn
P	i	Agpfsgy
P	a	Ncfsg
P	p	Agpmpny
P	p	Agpmpny
Usjeci	usjek	Ncmpn
i	i	Cc
nasipi	nasip	Ncmpn
P	P	Pi-mpa
P	p	Agpmsny
P	p	Agpmsny
P	p	Agpmsny
Cestovni	cestovan	Agpmsny
teren	teren	Ncmsn
P	P	X
P	P	X
P	P	X
P	p	Agpmpny
Pločnici	pločnik	Ncmpn
(	(	Z
širina	širina	Ncfsn
,	,	Z
položaj	položaj	Ncmsn
,	,	Z
učvršćenje	učvršćenje	Ncnsn
)	)	Z
–	–	Z
P	P	X
P	p	Agpmpny
P	p	Agpmpny
Otoci	otok	Ncmpn
za	za	Sa
pješake	pješak	Ncmpa
–	–	Z
P	P	X
P	P	X
P	i	Agpnsny
Polje	polje	Ncnsn
preglednosti	preglednost	Ncfsg
(	(	Z
trokut	trokut	Ncmsn
preglednosti	preglednost	Ncfsg
)	)	Z
P	P	X
P	P	X
P	P	X
P	P	X
Preglednost	preglednost	Ncfsn
ceste	cesta	Ncfsg
veća	velik	Agcfsny
od	od	Sg
450	450	Mdc
m	m	Y
izražena	izraziti	Appfsny
u	u	Sa
%	%	Ncmsan
od	od	Sg
dužine	dužina	Ncfsg
odsjeka	odsjek	Ncmsg
P	P	X
P	P	X
P	P	X
P	P	X
Prosječna	prosječan	Agpfsny
brzina	brzina	Ncfsn
vožnje	vožnja	Ncfsg
P	P	X
P	P	X
P	P	X
P	p	Agpmpny
Prostori	prostor	Ncmpn
i	i	Cc
objekti	objekt	Ncmpn
za	za	Sa
vaganje	vaganje	Ncnsa
vozila	vozilo	Ncnsg
P	P	Pi-nsa
P	i	Agpnsay
P	p	Agpmpny
P	p	Agpmpny
Priključci	priključak	Ncmpn
–	–	Z
P	i	Agpfpny
P	a	Ncfpn
P	p	Agpmpny
Objekti	objekt	Ncmpn
pratećih	prateći	Agpfpgy
djelatnosti	djelatnost	Ncfpg
P	P	X
P	P	X
P	P	X
P	P	X
Komunalna	komunalan	Agpfsny
struktura	struktura	Ncfsn
na	na	Sl
kolniku	kolnik	Ncmsl
i	i	Cc
uz	uz	Sa
kolnik	kolnik	Ncmsan
(	(	Z
zemljano	zemljano	Rgp
,	,	Z
zračno	zračan	Agpnsny
)	)	Z
P	P	X
P	P	X
P	P	X
P	P	Px-fpa
Obveze	obveza	Ncfpa
i	i	Cc
odštete	odšteta	Ncfpa
prema	prema	Sl
susjedima	susjed	Ncmpl
(	(	Z
odvodnjavanje	odvodnjavanje	Ncnsn
,	,	Z
postavljanje	postavljanje	Ncnsn
zaštite	zaštita	Ncfsg
ceste	cesta	Ncfsg
i	i	Cc
dr.	dr.	Y
)	)	Z
P	P	X
P	P	X
P	P	Y
P	P	Var3p
Uređaji	uređaj	Ncmpn
za	za	Sa
odvodnjavanje	odvodnjavanje	Ncnsa
(	(	Z
po	po	Sl
vrstama	vrsta	Ncfpl
uređaja	uređaj	Ncmsg
)	)	Z
P	P	X
P	P	X
P	P	X
P	P	X

Napomena	napomena	Ncfsn
:	:	Z
crticom	crtica	Ncfsi
su	biti	Var3p
označeni	označiti	Appmpny
elementi	element	Ncmpn
,	,	Z
koji	koji	Pi-mpn
zakonskim	zakonski	Agpmpdy
propisima	propis	Ncmpd
nisu	biti	Var3p
dopušteni	dopustiti	Appmpny
kao	kao	Cs
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
određene	određen	Agpfsgy
skupine	skupina	Ncfsg
javnih	javan	Agpfpgy
cesta	cesta	Ncfpg
.	.	Z

2.	2.	Mdo
Sadržaj	sadržaj	Ncmsn
evidencije	evidencija	Ncfsg
tehničkih	tehnički	Agpmpgy
podataka	podatak	Ncmpg
o	o	Sl
