Navigation	Navigation	Xf
and	and	Xf
Lighthouse	Lighthouse	Xf
Authorities	Authorities	Xf
–	–	Z
Međunarodno	međunarodni	Agpnsny
udruženje	udruženje	Ncnsn
pomorske	pomorski	Agpfsgy
signalizacije	signalizacija	Ncfsg

–	–	Sg
IALA	IAL	Npmsg
preporuke	preporuka	Ncfsg
V-103	V-103	Mdc
–	–	Z
sadrže	sadržati	Vmr3p
smjernice	smjernica	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
standarde	standard	Ncmpa
za	za	Sa
osposobljavanje	osposobljavanje	Ncnsa
i	i	Cc
stjecanje	stjecanje	Ncnsa
svjedodžbi	svjedodžba	Ncfpg
djelatnika	djelatnik	Ncmpg
VTS	vti	Agpfsgy
službe	služba	Ncfsg
,	,	Z
iz	iz	Sg
prosinca	prosinac	Ncmsg
2009.	2009.	Mdo
(	(	Z
Standards	Standards	Xf
for	for	Xf
Training	Training	Xf
and	and	Xf
Certification	Certification	Xf
of	of	Xf
VTS	VTS	Npmsn
Personnel	Personnel	Npmsn
)	)	Z

–	i	Agpfsny
Uprava	uprava	Ncfsn
je	biti	Var3s
ustrojstvena	ustrojstven	Agpfsny
jedinica	jedinica	Ncfsn
Ministarstva	ministarstvo	Ncnsg
nadležna	nadležan	Agpfsny
za	za	Sa
sigurnost	sigurnost	Ncfsa
plovidbe	plovidba	Ncfsg

Poglavlje	poglavlje	Ncnsn
2.	2.	Mdo
DJELATNOST	djelatnost	Ncfsn
I	i	Cc
POSLOVI	posao	Ncmpn
VTS	vti	Agpfsgy
SLUŽBE	služba	Ncfsg

Članak	članak	Ncmsn
75.	75.	Mdo
c	C	X

(	(	Z
1	1	Mdc
)	)	Z
Poslovi	posao	Ncmpn
nadzora	nadzor	Ncmsg
i	i	Cc
upravljanja	upravljanje	Ncnsg
pomorskim	pomorski	Agpmsiy
prometom	promet	Ncmsi
obavljaju	obavljati	Vmr3p
se	sebe	Px--sa
na	na	Sl
radnoj	radni	Agpfsly
i	i	Cc
upravljačkoj	upravljački	Agpfsly
razini	razina	Ncfsl
odgovornosti	odgovornost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nadzor	nadzor	Ncmsan
i	i	Cc
upravljanje	upravljanje	Ncnsa
pomorskim	pomorski	Agpmsiy
prometom	promet	Ncmsi
na	na	Sl
radnoj	radni	Agpfsly
razini	razina	Ncfsl
odgovornosti	odgovornost	Ncfsg
uključuje	uključivati	Vmr3s
:	:	Z

a.	ai	Agpnsay
prikupljanje	prikupljanje	Ncnsa
i	i	Cc
analizu	analiza	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
pomorskim	pomorski	Agpmply
objektima	objekt	Ncmpl
i	i	Cc
pomorskom	pomorski	Agpmsly
prometu	promet	Ncmsl
,	,	Z

b.	b	Agcnsay
pružanje	pružanje	Ncnsa
informacijske	informacijski	Agpfsgy
podrške	podrška	Ncfsg
pomorskim	pomorski	Agpmpdy
objektima	objekt	Ncmpd
(	(	Z
IS	IS	Npmsn
)	)	Z
,	,	Z

c.	c	Agcnsay
davanje	davanje	Ncnsa
plovidbenih	plovidben	Agpmpgy
savjeta	savjet	Ncmpg
i	i	Cc
podrške	podrška	Ncfsg
u	u	Sl
plovidbi	plovidba	Ncfsl
pomorskim	pomorski	Agpmply
objektima	objekt	Ncmpl
(	(	Z
NAS	NAS	Npmsn
)	)	Z
,	,	Z

d.	d.	Sa
organizaciju	organizacija	Ncfsa
plovidbe	plovidba	Ncfsg
i	i	Cc
upravljanje	upravljanje	Ncnsa
pomorskim	pomorski	Agpmsiy
prometom	promet	Ncmsi
(	(	Z
TOS	TOS	Npmsn
)	)	Z
,	,	Z

e.	e.	Agpmsny
inspekcijski	inspekcijski	Agpmsny
nadzor	nadzor	Ncmsn
sigurnosti	sigurnost	Ncfsg
plovidbe	plovidba	Ncfsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
,	,	Z

f.	f.	Sa
suradnju	suradnja	Ncfsa
s	sa	Si
nadležnim	nadležan	Agpfpiy
službama	služba	Ncfpi
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
lučkih	lučki	Agpfpgy
kapetanija	kapetanija	Ncfpg
,	,	Z

g.	g.	Sa
suradnju	suradnja	Ncfsa
s	sa	Si
drugim	drugi	Mlompi
tijelima	tijelo	Ncnpi
operativnog	operativan	Agpmsgy
nadzora	nadzor	Ncmsg
,	,	Z

h.	hi	Agpmpay
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
djelokruga	djelokrug	Ncmsg
VTS	vti	Agpfsgy
službe	služba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nadzor	nadzor	Ncmsan
i	i	Cc
upravljanje	upravljanje	Ncnsa
pomorskim	pomorski	Agpmsiy
prometom	promet	Ncmsi
na	na	Sl
upravljačkoj	upravljački	Agpfsly
razini	razina	Ncfsl
odgovornosti	odgovornost	Ncfsg
uključuje	uključivati	Vmr3s
:	:	Z

a.	a.	Sa
koordinaciju	koordinacija	Ncfsa
,	,	Z
usklađivanje	usklađivanje	Ncnsa
i	i	Cc
nadzor	nadzor	Ncmsan
rada	rad	Ncmsg
VTS	VTS	Pd-mpg
operatera	operater	Ncmpg
i	i	Cc
osiguranje	osiguranje	Ncnsa
učinkovitosti	učinkovitost	Ncfsg
rada	rad	Ncmsg
pojedinog	pojedini	Agpmsgy
VTS	VT	Npmsg
centra	centar	Ncmsg
,	,	Z

b.	bi	Agpnsay
planiranje	planiranje	Ncnsa
i	i	Cc
provedbu	provedba	Ncfsa
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
i	i	Cc
usavršavanja	usavršavanje	Ncnsg
djelatnika	djelatnik	Ncmpg
VTS	vti	Agpfsgy
službe	služba	Ncfsg
,	,	Z

c.	c.	Sa
provedbu	provedba	Ncfsa
godišnje	godišnji	Agpfsgy
procjene	procjena	Ncfsg
kakvoće	kakvoća	Ncfsg
stečenih	steći	Agpnpgy
znanja	znanje	Ncnpg
i	i	Cc
vještina	vještina	Ncfpg
i	i	Cc
njihove	njihov	Ps3fpa
praktične	praktičan	Agpfpay
primjene	primjena	Ncfpa
u	u	Sl
radu	rad	Ncmsl
VTS	vt	Agpmpgy
operatera	operater	Ncmpg
,	,	Z

d.	d.	Agpmsny
inspekcijski	inspekcijski	Agpmsny
nadzor	nadzor	Ncmsn
sigurnosti	sigurnost	Ncfsg
plovidbe	plovidba	Ncfsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
,	,	Z

e.	e.	Sa
suradnju	suradnja	Ncfsa
s	sa	Si
nadležnim	nadležan	Agpfpiy
službama	služba	Ncfpi
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
lučkih	lučki	Agpfpgy
kapetanija	kapetanija	Ncfpg
,	,	Z

f.	f.	Sa
suradnju	suradnja	Ncfsa
s	sa	Si
drugim	drugi	Mlompi
tijelima	tijelo	Ncnpi
operativnog	operativan	Agpmsgy
nadzora	nadzor	Ncmsg
,	,	Z

g.	g	Agcnsay
obavljanje	obavljanje	Ncnsa
posebnih	poseban	Agpmpgy
poslova	posao	Ncmpg
prema	prema	Sl
odlukama	odluka	Ncfpl
Uprave	uprava	Ncfsg

h.	hi	Agpmpay
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
djelokruga	djelokrug	Ncmsg
VTS	vti	Agpfsgy
službe	služba	Ncfsg
.	.	Z

Članak	članak	Ncmsn
75.	75.	Mdo
č	č	X

(	(	Z
1	1	Mdc
)	)	Z
VTS	vts	Agpmsny
operater	operater	Ncmsn
(	(	Z
VTS	VTS	Npmsn
Operator	operator	Ncmsn
–	–	Z
oznaka	oznaka	Ncfsn
VTSO	VTSO	Npmsn
)	)	Z
je	biti	Var3s
službenik	službenik	Ncmsn
VTS	vti	Agpfsgy
službe	služba	Ncfsg
osposobljen	osposobiti	Appmsnn
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
nadzora	nadzor	Ncmsg
i	i	Cc
upravljanja	upravljanje	Ncnsg
pomorskim	pomorski	Agpmsiy
prometom	promet	Ncmsi
na	na	Sl
radnoj	radni	Agpfsly
razini	razina	Ncfsl
odgovornosti	odgovornost	Ncfsg
u	u	Sl
određenim	određen	Agpmply
VTS	v	Agpmply
sektorima	sektor	Ncmpl
ako	ako	Cs
posjeduje	posjedovati	Vmr3s
valjanu	valjan	Agpfsay
Svjedodžbu	svjedodžba	Ncfsa
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
i	i	Cc
valjanu	valjan	Agpfsay
Ovjeru	ovjera	Ncfsa
osposobljenosti	osposobljenost	Ncfsg
za	za	Sa
VTS	vts	Agpmsayn
sektor	sektor	Ncmsan
,	,	Z
izdanu	izdati	Appfsay
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
VTS	vts	Agpmsny
nadzornik	nadzornik	Ncmsn
(	(	Z
VTS	VTS	Npmsn
Supervisor	Supervisor	Npmsn
