posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihoda	prihod	Ncmpg
stranaka	stranka	Ncfpg
.	.	Z

10.	10.	Mdo

ODLUKA	odluka	Ncfsn
VIJEĆA	vijeće	Ncnsg
ZA	za	Sa
ZAŠTITU	zaštita	Ncfsa
TRŽIŠNOG	tržišni	Agpnsgy
NATJECANJA	natjecanje	Ncnsg

Na	na	Sl
temelju	temelj	Ncmsl
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
Vijeće	vijeće	Ncnsn
je	biti	Var3s
utvrdilo	utvrditi	Vmp-sn
na	na	Sl
40.	40.	Mdo
sjednici	sjednica	Ncfsl
održanoj	održati	Appfsly
28.	28.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
ovlastima	ovlast	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo

ZZTN-a	ZZTN	Npmsg
,	,	Z
da	da	Cs
su	biti	Var3p
poduzetnici	poduzetnica	Ncmpn
Sokol	Sokol	Npmsn
Marić	Marić	Npmsn
,	,	Z
Securitas	Securitas	Npmsn
Hrvatska	Hrvatska	Npfsn
,	,	Z
AKD	ak	Aspfsny
Zaštita	zaštita	Ncfsn
,	,	Z
Klemm	Klemm	Pd-fsa
Sigurnost	sigurnost	Ncfsa
,	,	Z
Bilić	Bilić	Npmsn
Erić	Erić	Npmsn
,	,	Z
V	V	Agpfsny
Grupa	grupa	Ncfsn
i	i	Cc
Arsenal	Arsenal	Npmsn
Ivezić	Ivezić	Npmsn
sklopili	sklopiti	Vmp-pm
zabranjeni	zabranjen	Agpmsayn
sporazum	sporazum	Ncmsan
na	na	Sa
način	način	Ncmsan
da	da	Cs
su	biti	Var3p
na	na	Sl
sastanku	sastanak	Ncmsl
održanom	održati	Appmsly
u	u	Sl
prostorijama	prostorija	Ncfpl
poduzetnika	poduzetnik	Ncmpg
»	»	Z
Tectus	Tectus	Xf
«	«	Z
,	,	Z
Zagreb	Zagreb	Npmsn
,	,	Z
Radnička	radnički	Agpfsny
cesta	cesta	Ncfsn
48	48	Mdc
,	,	Z
23.	23.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
godine	godina	Ncfsg
,	,	Z
dogovorili	dogovoriti	Vmp-pm
minimalnu	minimalan	Agpfsay
cijenu	cijena	Ncfsa
usluga	usluga	Ncfpg
privatne	privatan	Agpfsgy
tjelesne	tjelesni	Agpfsgy
zaštite	zaštita	Ncfsg
čime	što	Pi3n-i
su	biti	Var3p
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
23.	23.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
do	do	Sg
17.	17.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
narušili	narušiti	Vmp-pm
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
izravnim	izravan	Agpnsiy
utvrđivanjem	utvrđivanje	Ncnsi
cijena	cijena	Ncfpg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
.	.	Z

Nakon	nakon	Sg
provedenog	provesti	Agpmsgy
posebnog	poseban	Agpmsgy
postupka	postupak	Ncmsg
utvrđivanja	utvrđivanje	Ncnsg
postojanja	postojanje	Ncnsg
uvjeta	uvjet	Ncmpg
za	za	Sa
