Displays	Displays	Npmsn
(	(	Z
2010	2010	Mdc
)	)	Z
COMP	COMP	Npmsan
/	/	Z
39.309	39.309	Mdc
od	od	Sg
8.	8.	Mdo
prosinca	prosinac	Ncmsg
2010.	2010.	Mdo
(	(	Z
paragraf	paragraf	Ncmsn
433	433	Mdc
)	)	Z

Navedene	naveden	Agpfpny
odluke	odluka	Ncfpn
dostupne	dostupan	Agpfpny
su	biti	Var3p
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
http://eur-lex.europa.eu	http://eur-lex.europa.e	Npmsl
.	.	Z

Agencija	agencija	Ncfsn
je	biti	Var3s
također	također	Rgp
izvršila	izvršiti	Vmp-sf
uvid	uvid	Ncmsan
i	i	Cc
u	u	Sa
pravni	pravni	Agpmsayn
akt	akt	Ncmsan
kojim	koji	Pi-msi
je	biti	Var3s
uređena	urediti	Appfsny
djelatnost	djelatnost	Ncfsn
privatne	privatan	Agpfsgy
zaštite	zaštita	Ncfsg
i	i	Cc
to	to	Qo
Zakon	zakon	Ncmsn
o	o	Sl
privatnoj	privatan	Agpfsly
zaštiti	zaštita	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
68/03	68/03	Mds
,	,	Z
31/10	31/10	Mdc
,	,	Z
139/10	139/10	Mdc
;	;	Z
dalje	daleko	Rgc
:	:	Z
Zakon	zakon	Ncmsn
)	)	Z
.	.	Z

4.	4.	Mdo
MJERODAVNO	mjerodavan	Agpnsny
TRŽIŠTE	tržište	Ncnsn

Prema	prema	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
7.	7.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
mjerodavno	mjerodavan	Agpnsny
tržište	tržište	Ncnsn
određuje	određivati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
tržište	tržište	Ncnsn
određene	određen	Agpfsgy
robe	roba	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
usluga	usluga	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
poduzetnika	poduzetnik	Ncmpg
na	na	Sl
određenom	određen	Agpnsly
zemljopisnom	zemljopisan	Agpnsly
području	područje	Ncnsl
.	.	Z

Mjerodavno	mjerodavan	Agpnsny
tržište	tržište	Ncnsn
,	,	Z
sukladno	sukladan	Agpnsny
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
4.	4.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
njegova	njegov	Ps3fsn
proizvodna	proizvodni	Agpfsny
dimenzija	dimenzija	Ncfsn
(	(	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
proizvodnom	proizvodni	Agpmsly
smislu	smisao	Ncmsl
)	)	Z
i	i	Cc
zemljopisna	zemljopisan	Agpfsny
dimenzija	dimenzija	Ncfsn
(	(	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
zemljopisnom	zemljopisan	Agpmsly
smislu	smisao	Ncmsl
)	)	Z
.	.	Z

Sukladno	sukladno	Rgp
članku	članak	Ncmsl
5.	5.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
proizvodnom	proizvodni	Agpmsly
smislu	smisao	Ncmsl
obuhvaća	obuhvaćati	Vmr3s
sve	sav	Agpmpay
proizvode	proizvod	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
potrošači	potrošač	Ncmpn
smatraju	smatrati	Vmr3p
da	da	Cs
su	biti	Var3p
međusobno	međusobno	Rgp
zamjenjivi	zamjenjiv	Agpmpny
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
njihove	njihov	Ps3fpa
bitne	bitan	Agpfpay
značajke	značajka	Ncfpa
,	,	Z
cijenu	cijena	Ncfsa
ili	ili	Cc
način	način	Ncmsan
uporabe	uporaba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
navike	navika	Ncfpa
potrošača	potrošač	Ncmpg
.	.	Z

Prema	prema	Sl
članku	članak	Ncmsl
6.	6.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
mjerodavno	mjerodavan	Agpnsay
tržište	tržište	Ncnsa
u	u	Sl
zemljopisnom	zemljopisan	Agpmsly
smislu	smisao	Ncmsl
obuhvaća	obuhvaćati	Vmr3s
zemljopisno	zemljopisan	Agpnsay
područje	područje	Ncnsa
na	na	Sl
kojem	koji	Pi-nsl
poduzetnici	poduzetnica	Ncfsl
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
ponudi	ponuda	Ncfsl
ili	ili	Cc
nabavi	nabava	Ncfsl
proizvoda	proizvod	Ncmpg
.	.	Z

Agencija	agencija	Ncfsn
je	biti	Var3s
radi	raditi	Vmr3s
što	što	Cs
preciznijeg	precizan	Agpnsgy
utvrđivanja	utvrđivanje	Ncnsg
mjerodavnog	mjerodavan	Agpnsgy
