temelju	temelj	Ncmsl
propisa	propis	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
4	4	Mdc
Uprava	uprava	Ncfsn
za	za	Sa
mirovinski	mirovinski	Agpmsayn
sustav	sustav	Ncmsan
–	–	Z
ukupno	ukupno	Rgp
21	21	Mdc
6.	6.	Mdo
UPRAVA	uprava	Ncfsn
ZA	za	Sa
UPRAVLJANJE	upravljanje	Ncnsa
OPERATIVNIM	operativan	Agpmpiy
PROGRAMIMA	program	Ncmpi
EUROPSKE	europski	Agpfsgy
UNIJE	unija	Ncfsg
neposredno	neposredno	Rgp
u	u	Sl
Upravi	uprava	Ncfsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
6.1.	6.1.	Mdo

Sektor	sektor	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
,	,	Z
praćenje	praćenje	Ncnsn
i	i	Cc
vrednovanje	vrednovanje	Ncnsa
1	1	Mdc
6.1.1.	6.1.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
programiranje	programiranje	Ncnsa
i	i	Cc
projekte	projekt	Ncmpa
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
rada	rad	Ncmsg
i	i	Cc
mirovinskoga	mirovinski	Agpmsgy
sustava	sustav	Ncmsg
1	1	Mdc
6.1.1.1.	6.1.1.1a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
programiranje	programiranje	Ncnsa
3	3	Mdc
6.1.1.2.	6.1.1.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
rada	rad	Ncmsg
i	i	Cc
mirovinskoga	mirovinski	Agpmsgy
sustava	sustav	Ncmsg
5	5	Mdc
6.1.1.3.	6.1.1.3a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
društvenog	društven	Agpnsgy
poduzetništva	poduzetništvo	Ncnsg
5	5	Mdc
6.1.2.	6.1.2.	Mds

Služba	služba	Ncfsn
za	za	Sa
praćenje	praćenje	Ncnsa
,	,	Z
vrednovanje	vrednovanje	Ncnsa
i	i	Cc
informiranje	informiranje	Ncnsa
1	1	Mdc
6.1.2.1.	6.1.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
praćenje	praćenje	Ncnsa
i	i	Cc
vrednovanje	vrednovanje	Ncnsa
5	5	Mdc
6.1.2.2.	6.1.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
informiranje	informiranje	Ncnsa
3	3	Mdc
6.1.3.	6.1.3.	Y

Služba	služba	Ncfsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
1	1	Mdc
6.1.3.1.	6.1.3.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
socijalne	socijalan	Agpfsgy
uključenosti	uključenost	Ncfsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
5	5	Mdc
6.1.3.2.	6.1.3.2.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
razvoja	razvoj	Ncmsg
civilnoga	civilan	Agpnsgy
društva	društvo	Ncnsg
i	i	Cc
dobrog	dobar	Agpnsgy
upravljanja	upravljanje	Ncnsg
5	5	Mdc
6.2.	6.2.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
operativnih	operativan	Agpmpgy
programa	program	Ncmpg
1	1	Mdc
6.2.1.	6.2.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
financijsko	financijski	Agpnsay
upravljanje	upravljanje	Ncnsa
operativnim	operativan	Agpmpiy
programima	program	Ncmpi
i	i	Cc
analitiku	analitika	Ncfsa
1	1	Mdc
6.2.1.1.	6.2.1.1.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
financijsku	financijski	Agpfsay
provedbu	provedba	Ncfsa
operativnih	operativan	Agpmpgy
programa	program	Ncmpg
i	i	Cc
analitiku	analitika	Ncfsa
6	6	Mdc
6.2.1.2.	6.2.1.2.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
tehničke	tehnički	Agpfsgy
pomoći	pomoć	Ncfsg
3	3	Mdc
6.2.2.	6.2.2.	Y

Služba	služba	Ncfsn
za	za	Sa
koordinaciju	koordinacija	Ncfsa
i	i	Cc
upravljanje	upravljanje	Ncnsa
sustavom	sustav	Ncmsi
1	1	Mdc
6.2.2.1.	6.2.2.1.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
procedure	procedura	Ncfpa
i	i	Cc
horizontalna	horizontalan	Agpnpay
pitanja	pitanje	Ncnpa
5	5	Mdc
6.2.2.2.	6.2.2.2.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
kvalitete	kvaliteta	Ncfsg
dokumentacije	dokumentacija	Ncfsg
,	,	Z
revizije	revizija	Ncfsg
i	i	Cc
provjere	provjera	Ncfpa
na	na	Sl
razini	razina	Ncfsl
sustava	sustav	Ncmsg
5	5	Mdc
Uprava	uprava	Ncfpg
za	za	Sa
upravljanje	upravljanje	Ncnsa
operativnim	operativan	Agpmpiy
programima	program	Ncmpi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
–	–	Z
ukupno	ukupno	Rgp
58	58	Mdc
7.	7.	Mdo
SAMOSTALNI	samostalan	Agpmsayn
SEKTOR	sektor	Ncmsan
ZA	za	Sa
REVIZIJU	revizija	Ncfsa
I	i	Cc
NADZOR	nadzor	Ncmsan
MEDICINSKOG	medicinski	Agpnsgy
VJEŠTAČENJA	vještačenje	Ncnsg
10	10	Mdc
8.	8.	Mdo
SAMOSTALNA	samostalan	Agpfsny
SLUŽBA	služba	Ncfsn
ZA	za	Sa
EUROPSKE	europski	Agpmpay
POSLOVE	posao	Ncmpa
I	i	Cc
MEĐUNARODNU	međunarodni	Agpfsay
SURADNJU	suradnja	Ncfsa
8	8	Mdc
9.	9.	Mdo
SAMOSTALNI	samostalan	Agpmsny
ODJEL	odjel	Ncmsn
ZA	za	Sa
UNUTARNJU	unutarnji	Agpfsay
REVIZIJU	revizija	Ncfsa
4	4	Mdc
10.	10.	Mdo

INSPEKTORAT	inspektorat	Ncmsn
RADA	rad	Ncmsg
neposredno	neposredno	Rgp
u	u	Sl
Inspektoratu	inspektorat	Ncmsl
rada	rad	Ncmsg
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
10.1.	10.1.	Mdo

Središnji	središnji	Agpmsny
ured	ured	Ncmsn
10.1.1.	10.1.1.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
praćenje	praćenje	Ncnsa
i	i	Cc
unaprjeđenje	unaprjeđenje	Ncnsa
rada	rad	Ncmsg
1	1	Mdc
10.1.1.1.	10.1.1.1a	Ncfsg

Služba	služba	Ncfsn
za	za	Sa
analitiku	analitika	Ncfsa
i	i	Cc
praćenje	praćenje	Ncnsa
rada	rad	Ncmsg
5	5	Mdc
-	-	Z
U	u	Sl
sjedištu	sjedište	Ncnsl
Područnog	područni	Agpmsgy
ureda	ured	Ncmsg
u	u	Sl
Osijeku	osijek	Ncmsl
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
-	-	Z
U	u	Sl
sjedištu	sjedište	Ncnsl
Područnog	područni	Agpmsgy
ureda	ured	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
-	-	Z
U	u	Sl
sjedištu	sjedište	Ncnsl
Područnog	područni	Agpmsgy
ureda	ured	Ncmsg
u	u	Sl
Splitu	Split	Npmsl
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
-	-	Z
U	u	Sl
sjedištu	sjedište	Ncnsl
Područnog	područni	Agpmsgy
ureda	ured	Ncmsg
u	u	Sl
Varaždinu	Varaždin	Npmsl
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
-	-	Z
U	u	Sl
sjedištu	sjedište	Ncnsl
Područnog	područni	Agpmsgy
ureda	ured	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
10.1.1.2.	10.1.1.2.	Y

Služba	služba	Ncfsn
za	za	Sa
unutarnji	unutarnji	Agpmsayn
nadzor	nadzor	Ncmsan
i	i	Cc
unaprjeđenje	unaprjeđenje	Ncnsa
rada	rad	Ncmsg
5	5	Mdc
10.1.2.	10.1.2a	Ncfsg

Sektor	sektor	Ncmsn
za	za	Sa
nadzor	nadzor	Ncmsan
u	u	Sl
području	područje	Ncnsl
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
1	1	Mdc
10.1.2.1.	10.1.2.1a	Ncfsg

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
8	8	Mdc
10.1.2.2.	10.1.2.2a	Ncfsg

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zapošljavanja	zapošljavanje	Ncnsg
7	7	Mdc
10.1.3.	10.1.3a	Ncfsg

Sektor	sektor	Ncmsn
za	za	Sa
nadzor	nadzor	Ncmsan
u	u	Sl
području	područje	Ncnsl
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
1	1	Mdc
10.1.3.1.	10.1.3.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
na	na	Sl
radilištima	radilište	Ncnpl
i	i	Cc
u	u	Sl
rizičnim	rizičan	Agpfply
djelatnostima	djelatnost	Ncfpl
8	8	Mdc
10.1.3.2.	10.1.3.2.	Y

Služba	služba	Ncfsn
za	za	Sa
provedbu	provedba	Ncfsa
zajedničkih	zajednički	Agpfpgy
aktivnosti	aktivnost	Ncfpg
inspektora	inspektor	Ncmpg
rada	rad	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
prevenciju	prevencija	Ncfsa
i	i	Cc
nadzor	nadzor	Ncmsan
ozljeda	ozljeda	Ncfpg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
profesionalnih	profesionalan	Agpfpgy
bolesti	bolest	Ncfpg
1	1	Mdc
10.1.3.2.1.	10.1.3.2.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
zajedničkih	zajednički	Agpfpgy
aktivnosti	aktivnost	Ncfpg
inspektora	inspektor	Ncmpg
rada	rad	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
5	5	Mdc
10.1.3.2.2.	10.1.3.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
prevenciju	prevencija	Ncfsa
i	i	Cc
nadzor	nadzor	Ncmsan
ozljeda	ozljeda	Ncfpg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
profesionalnih	profesionalan	Agpfpgy
bolesti	bolest	Ncfpg
5	5	Mdc
10.2.	10.2.	Y

Područni	područni	Agpmsny
ured	ured	Ncmsn
Osijek	osijek	Ncmsn
1	1	Mdc
10.2.1.	10.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
14	14	Mdc
10.2.2.	10.2.2.	Y

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
7	7	Mdc
10.2.3.	10.2.3.	Mds

Ispostava	ispostava	Ncfsn
u	u	Sl
Požegi	Požega	Npfsl
5	5	Mdc
10.2.4.	10.2.4.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Slavonskom	slavonski	Agpmsly
Brodu	brod	Ncmsl
9	9	Mdc
10.2.5.	10.2.5.	Mds

Ispostava	ispostava	Ncfsn
u	u	Sl
Virovitici	Virovitica	Npfsl
5	5	Mdc
10.2.6.	10.2.6.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Vukovaru	Vukovar	Npmsl
7	7	Mdc
10.3.	10.3.	Mds

Područni	područni	Agpmsny
ured	ured	Ncmsn
Rijeka	Rijeka	Npfsn
1	1	Mdc
10.3.1.	10.3.1a	Ncfsg

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
21	21	Mdc
10.3.2.	10.3.2.	Y

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
10	10	Mdc
10.3.3.	10.3.3.	Mds

Ispostava	ispostava	Ncfsn
u	u	Sl
Puli	Pula	Npfsl
6	6	Mdc
10.3.4.	10.3.4.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Senju	Senj	Npmsl
3	3	Mdc
10.4.	10.4.	Mds

Područni	područni	Agpmsny
ured	ured	Ncmsn
Split	Split	Npmsn
1	1	Mdc
10.4.1.	10.4.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
14	14	Mdc
10.4.2.	10.4.2.	Y

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
11	11	Mdc
10.4.3.	10.4.3.	Mds

Ispostava	ispostava	Ncfsn
u	u	Sl
Dubrovniku	Dubrovnik	Npmsl
5	5	Mdc
10.4.4.	10.4.4.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Metkoviću	Metković	Npmsl
4	4	Mdc
10.4.5.	10.4.5.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Šibeniku	Šibenik	Npmsl
6	6	Mdc
10.4.6.	10.4.6.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Zadru	Zadar	Npmsl
6	6	Mdc
10.5.	10.5.	Mds

Područni	područni	Agpmsny
ured	ured	Ncmsn
Varaždin	Varaždin	Npmsn
1	1	Mdc
10.5.1.	10.5.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
10	10	Mdc
10.5.2.	10.5.2.	Y

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
8	8	Mdc
10.5.3.	10.5.3.	Mds

Ispostava	ispostava	Ncfsn
u	u	Sl
Koprivnici	Koprivnica	Npfsl
7	7	Mdc
10.5.4.	10.5.4.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Krapini	Krapina	Npfsl
3	3	Mdc
10.6.	10.6.	Mds

Područni	područni	Agpmsny
ured	ured	Ncmsn
Zagreb	Zagreb	Npmsn
1	1	Mdc
10.6.1.	10.6.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
radnih	radni	Agpmpgy
odnosa	odnos	Ncmpg
18	18	Mdc
10.6.2.	10.6.2.	Y

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
20	20	Mdc
10.6.3.	10.6.3.	Mds

Ispostava	ispostava	Ncfsn
u	u	Sl
Bjelovaru	Bjelovar	Npmsl
7	7	Mdc
10.6.4.	10.6.4.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Karlovcu	Karlovc	Npmsl
5	5	Mdc
10.6.5.	10.6.5.	Mdo

Ispostava	ispostava	Ncfsn
u	u	Sl
Sisku	Sisk	Npmsl
8	8	Mdc
Inspektorat	inspektorat	Ncmsn
rada	rad	Ncmsg
–	–	Z
ukupno	ukupno	Rgp
277	277	Mdc
MINISTARSTVO	ministarstvo	Ncnsn
RADA	rad	Ncmsg
I	i	Cc
MIROVINSKOGA	MIROVINSKOG	Npmsg

