usklađivanje	usklađivanje	Ncnsn
rada	rad	Ncmsg
unutarnjih	unutarnji	Agpfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
u	u	Sl
sastavu	sastav	Ncmsl
Ministarstva	ministarstvo	Ncnsg
,	,	Z
pripremu	priprema	Ncfsa
,	,	Z
praćenje	praćenje	Ncnsa
i	i	Cc
ostvarivanje	ostvarivanje	Ncnsa
plana	plan	Ncmsg
rada	rad	Ncmsg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
izradu	izrada	Ncfsa
nacrta	nacrt	Ncmpg
prijedloga	prijedlog	Ncmsg
propisa	propis	Ncmsg
o	o	Sl
unutarnjem	unutarnji	Agpnsly
ustrojstvu	ustrojstvo	Ncnsl
i	i	Cc
unutarnjem	unutarnji	Agpmsly
redu	red	Ncmsl
Ministarstva	ministarstvo	Ncnsg
.	.	Z

Brine	brinuti	Vmr3s
o	o	Sl
upravljanju	upravljanje	Ncnsl
ljudskim	ljudski	Agpmply
potencijalima	potencijal	Ncmpl
i	i	Cc
njihovom	njihov	Ps3msl
razvoju	razvoj	Ncmsl
,	,	Z
daje	davati	Vmr3s
mišljenja	mišljenje	Ncnsg
o	o	Sl
pitanjima	pitanje	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
državnu	državni	Agpfsay
službu	služba	Ncfsa
,	,	Z
priprema	pripremati	Vmr3s
prijedloge	prijedlog	Ncmpa
planova	plan	Ncmpg
prijma	prijam	Ncmsg
u	u	Sa
državnu	državni	Agpfsay
službu	služba	Ncfsa
,	,	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
i	i	Cc
praćenju	praćenje	Ncnsl
provedbe	provedba	Ncfsg
strategija	strategija	Ncfpg
,	,	Z
programa	program	Ncmpg
i	i	Cc
planova	plan	Ncmpg
izobrazbe	izobrazba	Ncfsg
za	za	Sa
Ministarstvo	ministarstvo	Ncnsa
,	,	Z
vodi	voditi	Vmr3s
osobne	osoban	Agpmpay
očevidnike	očevidnik	Ncmpa
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
redovito	redovito	Rgp
dostavljajući	dostavljati	Rr
podatke	podatak	Ncmpa
u	u	Sa
središnji	središnji	Agpmsayn
popis	popis	Ncmsan
državnih	državni	Agpmpgy
službenika	službenik	Ncmpg
,	,	Z
unosi	unositi	Vmr3s
i	i	Cc
ažurira	ažurirati	Vmr3s
podatke	podatak	Ncmpa
u	u	Sl
Registru	registar	Ncmsl
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
,	,	Z
provodi	provoditi	Vmr3s
postupak	postupak	Ncmsan
prijma	prijam	Ncmsg
