Fonda	fond	Ncmsg
,	,	Z
konferencija	konferencija	Ncfsn
stranaka	stranka	Ncfpg
Konvencije	konvencija	Ncfsg
Ujedinjenih	ujediniti	Agpmpgy
naroda	narod	Ncmpg
o	o	Sl
pravu	pravo	Ncnsl
mora	more	Ncnsg
,	,	Z
Jadransko-jonske	jadransko-jonski	Agpfpny
inicijative	inicijativa	Ncfpn
i	i	Cc
drugih	drugi	Mlofpg
međunarodnih	međunarodni	Agpnpgy
tijela	tijelo	Ncnpg
iz	iz	Sg
područja	područje	Ncnsg
pomorstva	pomorstvo	Ncnsg
,	,	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pregovorima	pregovor	Ncmpl
radi	radi	Sg
njihovog	njihov	Ps3nsg
zaključivanja	zaključivanje	Ncnsg
i	i	Cc
prati	pratiti	Vmr3s
primjenu	primjena	Ncfsa
ugovora	ugovor	Ncmsg
,	,	Z
te	te	Cc
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
radu	rad	Ncmsl
mješovitih	mješovit	Agpmpgy
odbora	odbor	Ncmpg
,	,	Z
priprema	pripremati	Vmr3s
izvješća	izvješće	Ncnsg
o	o	Sl
suradnji	suradnja	Ncfsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
sa	sa	Si
drugim	drugi	Mlofpi
državama	država	Ncfpi
u	u	Sl
području	područje	Ncnsl
pomorstva	pomorstvo	Ncnsg
,	,	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
platformi	platforma	Ncfsl
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
izaslanstava	izaslanstvo	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
na	na	Sl
diplomatskim	diplomatski	Agpfply
konferencijama	konferencija	Ncfpl
radi	radi	Sg
usvajanja	usvajanje	Ncnsg
višestranih	višestran	Agpmpgy
međunarodnih	međunarodni	Agpmpgy
ugovora	ugovor	Ncmpg
,	,	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
platformi	platforma	Ncfsl
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
radu	rad	Ncmsl
tijela	tijelo	Ncnsg
međunarodnih	međunarodni	Agpfpgy
organizacija	organizacija	Ncfpg
u	u	Sl
području	područje	Ncnsl
pomorstva	pomorstvo	Ncnsg
,	,	Z
priprema	pripremati	Vmr3s
nacrte	nacrt	Ncmpa
akata	akt	Ncmpg
o	o	Sl
potvrđivanju	potvrđivanje	Ncnsl
međunarodnih	međunarodni	Agpmpgy
ugovora	ugovor	Ncmpg
u	u	Sl
području	područje	Ncnsl
pomorstva	pomorstvo	Ncnsg
,	,	Z
predlaže	predlagati	Vmr3s
nacrte	nacrt	Ncmpa
nacionalnih	nacionalan	Agpmpgy
propisa	propis	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
primjena	primjena	Ncfsn
međunarodnih	međunarodni	Agpmpgy
ugovora	ugovor	Ncmpg
,	,	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
Nacionalnog	nacionalan	Agpmsgy
programa	program	Ncmsg
usuglašavanja	usuglašavanje	Ncnsg
hrvatskog	hrvatski	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
u	u	Sl
području	područje	Ncnsl
pomorstva	pomorstvo	Ncnsg
s	sa	Si
pravnom	pravni	Agpfsiy
stečevinom	stečevina	Ncfsi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
priprema	priprema	Ncfsn
izvješća	izvješće	Ncnsg
o	o	Sl
provedbi	provedba	Ncfsl
Nacionalnog	nacionalan	Agpmsgy
programa	program	Ncmsg
,	,	Z
priprema	pripremati	Vmr3s
druga	drugi	Mlonpa
izvješća	izvješće	Ncnsg
za	za	Sa
potrebe	potreba	Ncfpa
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
u	u	Sl
području	područje	Ncnsl
pomorstva	pomorstvo	Ncnsg
,	,	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
izobrazbe	izobrazba	Ncfsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
pomoraca	pomorac	Ncmpg
te	te	Cc
poslove	posao	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
utjecaj	utjecaj	Ncmsan
ljudskog	ljudski	Agpmsgy
faktora	faktor	Ncmsg
na	na	Sa
sigurnost	sigurnost	Ncfsa
plovidbe	plovidba	Ncfsg
,	,	Z
praćenje	praćenje	Ncnsa
i	i	Cc
unaprjeđivanje	unaprjeđivanje	Ncnsa
socijalnog	socijalan	Agpmsgy
statusa	status	Ncmsg
pomoraca	pomorac	Ncmpg
,	,	Z
poslove	posao	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
primjenu	primjena	Ncfsa
radnih	radni	Agpmpgy
,	,	Z
životnih	životan	Agpmpgy
,	,	Z
socijalnih	socijalan	Agpmpgy
i	i	Cc
zdravstvenih	zdravstven	Agpmpgy
uvjeta	uvjet	Ncmpg
pomoraca	pomorac	Ncmpg
,	,	Z
vodi	voditi	Vmr3s
upravni	upravan	Agpmsny
postupak	postupak	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
izobrazbi	izobrazba	Ncfsl
ili	ili	Cc
suglasnosti	suglasnost	Ncfsl
na	na	Sa
obavljanje	obavljanje	Ncnsa
naobrazbe	naobrazba	Ncfsg
pomorskim	pomorski	Agpnply
učilištima	učilište	Ncnpl
,	,	Z
vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
o	o	Sl
izdanim	izdan	Agpnply
ovlaštenjima	ovlaštenje	Ncnpl
učilištima	učilište	Ncnpl
,	,	Z
obavlja	obavljati	Vmr3s
stručnu	stručan	Agpfsay
pripremu	priprema	Ncfsa
za	za	Sa
izdavanje	izdavanje	Ncnsa
dopusnica	dopusnica	Ncfpg
posrednicima	posrednik	Ncmpd
pri	pri	Sl
zapošljavanju	zapošljavanje	Ncnsl
pomoraca	pomorac	Ncmpg
,	,	Z
nadzire	nadzirati	Vmr3s
rad	rad	Ncmsan
posrednika	posrednik	Ncmsg
pri	pri	Sl
zapošljavanju	zapošljavanje	Ncnsl
pomoraca	pomorac	Ncmpg
,	,	Z
priprema	pripremati	Vmr3s
očitovanja	očitovanje	Ncnsg
na	na	Sa
predstavke	predstavka	Ncfpa
građana	građanin	Ncmpg
i	i	Cc
drugih	drugi	Mlonpg
tijela	tijelo	Ncnpg
,	,	Z
prati	pratiti	Vmr3s
međunarodne	međunarodni	Agpmpay
propise	propis	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pomorce	pomorac	Ncmpa
,	,	Z
prati	pratiti	Vmr3s
provedbu	provedba	Ncfsa
socijalnih	socijalan	Agpfpgy
mjera	mjera	Ncfpg
za	za	Sa
pomorce	pomorac	Ncmpa
i	i	Cc
predlaže	predlagati	Vmr3s
mjere	mjera	Ncfpa
socijalne	socijalan	Agpfpay
politike	politika	Ncfpa
prema	prema	Sl
pomorcima	pomorac	Ncmpl
,	,	Z
predlaže	predlagati	Vmr3s
mjere	mjera	Ncfpa
za	za	Sa
afirmaciju	afirmacija	Ncfsa
pomorskih	pomorski	Agpnpgy
zanimanja	zanimanje	Ncnpg
,	,	Z
provodi	provoditi	Vmr3s
postupak	postupak	Ncmsan
u	u	Sl
svezi	sveza	Ncfsl
stipendiranja	stipendiranje	Ncnsg
đaka	đak	Ncmpg
i	i	Cc
studenata	student	Ncmpg
pomorskih	pomorski	Agpfpgy
škola	škola	Ncfpg
i	i	Cc
fakulteta	fakultet	Ncmsg
,	,	Z
surađuje	surađivati	Vmr3s
sa	sa	Si
drugim	drugi	Mlompi
nadležnim	nadležan	Agpmpiy
tijelima	tijelo	Ncmpi
i	i	Cc
institucijama	institucija	Ncfpl
te	te	Cc
obavlja	obavljati	Vmr3s
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Službe	služba	Ncfsg
i	i	Cc
Sektora	sektor	Ncmsg
.	.	Z

Odjel	odjel	Ncmsn
prati	pratiti	Vmr3s
i	i	Cc
analizira	analizirati	Vmr3s
razvoj	razvoj	Ncmsan
tehničkih	tehnički	Agpmpgy
,	,	Z
tehnoloških	tehnološki	Agpmpgy
i	i	Cc
drugih	drugi	Mlonpg
