obavješćivanje	obavješćivanje	Ncnsn
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
o	o	Sl
mjerama	mjera	Ncfpl
prijenosa	prijenos	Ncmsg
direktiva	direktiva	Ncfpg
i	i	Cc
ispunjavanja	ispunjavanje	Ncnsg
drugih	drugi	Mlofpg
obveza	obveza	Ncfpg
u	u	Sa
nacionalno	nacionalan	Agpnsay
zakonodavstvo	zakonodavstvo	Ncnsa
;	;	Z
zaprima	zaprimati	Vmr3s
i	i	Cc
analizira	analizirati	Vmr3s
očitovanja	očitovanje	Ncnsg
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
Ministarstva	ministarstvo	Ncnsg
o	o	Sl
mjerama	mjera	Ncfpl
prijenosa	prijenos	Ncmsg
direktiva	direktiva	Ncfpg
i	i	Cc
ispunjavanja	ispunjavanje	Ncnsg
drugih	drugi	Mlofpg
obveza	obveza	Ncfpg
u	u	Sa
nacionalno	nacionalan	Agpnsay
zakonodavstvo	zakonodavstvo	Ncnsa
;	;	Z
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
odgovora	odgovor	Ncmpg
u	u	Sl
postupku	postupak	Ncmsl
zbog	zbog	Sg
povrede	povreda	Ncfsg
prava	pravo	Ncnsg
EU	E	Npmsg
u	u	Sl
području	područje	Ncnsl
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
koordinira	koordinirati	Vmr3s
rad	rad	Ncmsan
nadležnih	nadležan	Agpfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
Ministarstva	ministarstvo	Ncnsg
te	te	Cc
pruža	pružati	Vmr3s
stručnu	stručan	Agpfsay
i	i	Cc
tehničku	tehnički	Agpfsay
potporu	potpora	Ncfsa
.	.	Z

IV	IV	Mrc
.	.	Z

UPRAVLJANJE	upravljanje	Ncnsn
UPRAVNIM	upravan	Agpfpiy
ORGANIZACIJAMA	organizacija	Ncfpi
I	i	Cc
UNUTARNJIM	unutarnji	Agpfply
USTROJSTVENIM	ustrojstven	Agpfply
JEDINICAMA	jedinica	Ncfpl
U	u	Sl
SASTAVU	sastav	Ncmsl
MINISTARSTVA	ministarstvo	Ncnsg

Članak	članak	Ncmsn
163.	163.	Mdo

Ministar	ministar	Ncmsn
predstavlja	predstavljati	Vmr3s
Ministarstvo	ministarstvo	Ncnsa
i	i	Cc
upravlja	upravljati	Vmr3s
njegovim	njegov	Aspmsiy
radom	rad	Ncmsi
.	.	Z

Zamjenik	zamjenik	Ncmsn
ministra	ministar	Ncmsg
zamjenjuje	zamjenjivati	Vmr3s
ministra	ministar	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
njegove	njegov	Ps3fsg
odsutnosti	odsutnost	Ncfsg
ili	ili	Cc
spriječenosti	spriječenost	Ncfsg
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Agpmpay
poslove	posao	Ncmpa
koje	koji	Pi-mpa
mu	on	Pp3msd
povjeri	povjeriti	Vmr3s
ministar	ministar	Ncmsn
.	.	Z

Radom	rad	Ncmsi
upravnih	upravan	Agpfpgy
organizacija	organizacija	Ncfpg
u	u	Sl
Ministarstvu	ministarstvo	Ncnsl
upravljaju	upravljati	Vmr3p
pomoćnici	pomoćnik	Ncmpn
ministra	ministar	Ncmsg
.	.	Z

Radom	rad	Ncmsi
Glavnog	glavni	Agpnsgy
tajništva	tajništvo	Ncnsg
Ministarstva	ministarstvo	Ncnsg
upravlja	upravljati	Vmr3s
glavni	glavni	Agpmsny
tajnik	tajnik	Ncmsn
Ministarstva	ministarstvo	Ncnsg
.	.	Z

Članak	članak	Ncmsn
164.	164.	Mdo

Na	na	Sl
čelu	čelo	Ncnsl
Kabineta	kabinet	Ncmsg
ministra	ministar	Ncmsg
je	biti	Var3s
tajnik	tajnik	Ncmsn
Kabineta	kabinet	Ncmsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
sektora	sektor	Ncmsg
u	u	Sl
ustrojstvenim	ustrojstven	Agpfply
jedinicama	jedinica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
su	biti	Var3p
načelnici	načelnik	Ncmpn
sektora	sektor	Ncmsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
službe	služba	Ncfsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
službe	služba	Ncfsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
samostalne	samostalan	Agpfsgy
službe	služba	Ncfsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
samostalne	samostalan	Agpfsgy
službe	služba	Ncfsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
odjela	odjel	Ncmsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
odjela	odjel	Ncmsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
pododsjeka	pododsjek	Ncmsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
pododsjeka	pododsjek	Ncmsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
odjeljka	odjeljak	Ncmsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
odjeljka	odjeljak	Ncmsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
lučke	lučki	Agpfsgy
kapetanije	kapetanija	Ncfsg
je	biti	Var3s
lučki	lučki	Agpmsny
kapetan	kapetan	Ncmsn
,	,	Z
a	a	Cc
na	na	Sl
čelu	čelo	Ncnsl
ispostave	ispostava	Ncfsg
je	biti	Var3s
kapetan	kapetan	Ncmsn
ispostave	ispostava	Ncfsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
nacionalne	nacionalan	Agpfsgy
središnjice	središnjica	Ncfsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
službe	služba	Ncfsg
.	.	Z

Na	na	Sl
čelu	čelo	Ncnsl
VTS	VT	Npmsg
centra	centar	Ncmsg
je	biti	Var3s
voditelj	voditelj	Ncmsn
odjela	odjel	Ncmsg
.	.	Z

Članak	članak	Ncmsn
165.	165.	Mdo

Zamjenik	zamjenik	Ncmsn
ministra	ministar	Ncmsg
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
za	za	Sa
svoj	svoj	Px-msan
rad	rad	Ncmsan
ministru	ministar	Ncmsd
