oni	onaj	Pd-mpn
projekti	projekt	Ncmpn
u	u	Sl
kojima	koji	Pi-mpl
je	biti	Var3s
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
korisnika	korisnik	Ncmpg
uključeno	uključiti	Appnsny
u	u	Sa
jedan	jedan	Mlcmsan
zajednički	zajednički	Agpmsayn
projekt	projekt	Ncmsan
.	.	Z

Ulaganje	ulaganje	Ncnsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
na	na	Sl
jednoj	jedan	Mlcfsl
lokaciji	lokacija	Ncfsl
(	(	Z
osim	osim	Cs
za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sa
nabavu	nabava	Ncfsa
gospodarskih	gospodarski	Agpnpgy
vozila	vozilo	Ncnpg
,	,	Z
pokretne	pokretan	Agpfsgy
opreme	oprema	Ncfsg
i	i	Cc
poljoprivredne	poljoprivredni	Agpfsgy
mehanizacije	mehanizacija	Ncfsg
)	)	Z
.	.	Z

Predmet	predmet	Ncmsn
ulaganja	ulaganje	Ncnsg
koriste	koristiti	Vmr3p
svi	sav	Agpmpny
korisnici	korisnik	Ncmpn
zajedničkog	zajednički	Agpmsgy
projekta	projekt	Ncmsg
.	.	Z

Korisnici	korisnik	Ncmpn
sklapaju	sklapati	Vmr3p
Ugovor	ugovor	Ncmsan
o	o	Sl
poslovnoj	poslovan	Agpfsly
suradnji	suradnja	Ncfsl
kojim	koji	Pi-msi
definiraju	definirati	Vmr3p
jednog	jedan	Mlcmsay
korisnika	korisnik	Ncmsay
koji	koji	Pi-msn
će	htjeti	Var3s
biti	biti	Van
podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
/	/	Z
isplatu	isplata	Ncfsa
u	u	Sa
ime	ime	Ncnsa
njih	oni	Pp3-pg
.	.	Z

n	n	Npmsn
)	)	Z
»	»	Z
Biomasa	biomasa	Ncfsn
«	«	Z
je	biti	Var3s
biološki	biološki	Rgp
razgradiv	razgradiv	Agpmsnn
dio	dio	Ncmsn
proizvoda	proizvod	Ncmpg
,	,	Z
otpada	otpad	Ncmsg
i	i	Cc
ostataka	ostatak	Ncmpg
biološkoga	biološki	Agpnsgy
podrijetla	podrijetlo	Ncnsg
iz	iz	Sg
poljoprivrede	poljoprivreda	Ncfsg
(	(	Z
uključujući	uključivati	Rr
tvari	tvar	Ncfpa
biljnoga	biljan	Agpmsgy
i	i	Cc
životinjskoga	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
)	)	Z
,	,	Z
šumarstva	šumarstvo	Ncnsg
i	i	Cc
s	sa	Sg
njima	oni	Ncfpg
povezanih	povezati	Appfpgy
proizvodnih	proizvodni	Agpfpgy
djelatnosti	djelatnost	Ncfpg
uključujući	uključivati	Rr
ribarstvo	ribarstvo	Ncnsa
i	i	Cc
akvakulturu	akvakultura	Ncfsa
te	te	Cc
biološki	biološki	Rgp
razgradiv	razgradiv	Agpmsnn
dio	dio	Ncmsn
industrijskoga	industrijski	Agpmsgy
i	i	Cc
komunalnoga	komunalan	Agpmsgy
otpada	otpad	Ncmsg
.	.	Z

o	o	Sl
)	)	Z
»	»	Z
Primarna	primaran	Agpfsny
poljoprivredna	poljoprivredni	Agpfsny
proizvodnja	proizvodnja	Ncfsn
«	«	Z
je	biti	Var3s
proizvodnja	proizvodnja	Ncfsn
proizvoda	proizvod	Ncmpg
bilinogojstva	bilinogojstv	Ncmpg
ili	ili	Cc
stočarstva	stočarstvo	Ncnsg
te	te	Cc
proizvoda	proizvod	Ncmpg
prvog	prvi	Mlomsg
stupnja	stupanj	Ncmsg
njihove	njihov	Ps3fsg
prerade	prerada	Ncfsg
,	,	Z
bez	bez	Sg
obavljanja	obavljanje	Ncnsg
dodatnih	dodatan	Agpfpgy
radnji	radnja	Ncfpg
kojima	koji	Pi-mpi
bi	biti	Vaa3s
se	sebe	Px--sa
promijenila	promijeniti	Vmp-sf
priroda	priroda	Ncfsn
tih	taj	Pd-mpg
proizvoda	proizvod	Ncmpg
.	.	Z

Popis	popis	Ncmsn
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
naveden	navesti	Appmsnn
je	biti	Var3s
u	u	Sl
Prilogu	Prilog	Npmsl
I.	I.	Mro
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

p	p	Npmsn
)	)	Z
»	»	Z
Kraj	kraj	Ncmsn
ulaganja	ulaganje	Ncnsg
«	«	Z
je	biti	Var3s
dan	dan	Ncmsn
podnošenja	podnošenje	Ncnsg
konačnog	konačan	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

q	q	Npmsn
)	)	Z
»	»	Z
Javna	javan	Agpfsny
potpora	potpora	Ncfsn
«	«	Z
je	biti	Var3s
svaki	svaki	Pi-msn
oblik	oblik	Ncmsn
potpore	potpora	Ncfsg
iz	iz	Sg
javnih	javan	Agpmpgy
izvora	izvor	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
potpora	potpora	Ncfsn
iz	iz	Sg
proračuna	proračun	Ncmsg
Europskog	europski	Agpmsgy
poljoprivrednog	poljoprivredni	Agpmsgy
fonda	fond	Ncmsg
za	za	Sa
ruralni	ruralan	Agpmsayn
razvoj	razvoj	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
EPFRR	EPFRR	Npmsn
)	)	Z
.	.	Z

r	r	Npmsn
)	)	Z
»	»	Z
Intenzitet	intenzitet	Ncmsn
potpore	potpora	Ncfsg
«	«	Z
izražen	izraziti	Appmsnn
je	biti	Var3s
kao	kao	Cs
postotni	postotan	Agpmsny
udio	udjel	Ncmsn
