Ponuda2	Ponuda2	Mdm

Ponuda	ponuda	Ncfsn
(	(	Z
sadrži	sadržati	Vmr3s
ponudbeni	ponudbeni	Agpmsny
list	list	Ncmsn
,	,	Z
troškovnik	troškovnik	Ncmsn
,	,	Z
podatke	podatak	Ncmpa
o	o	Sl
zajednici	zajednica	Ncfsl
ponuditelja	ponuditelj	Ncmpg
i	i	Cc
sl	s	Ncmpg
)	)	Z

Sposobnost	sposobnost	Ncfsn
(	(	Z
sadrži	sadržati	Vmr3s
tražene	tražen	Agpmpay
certifikate	certifikat	Ncmpa
stručnjaka	stručnjak	Ncmpg
,	,	Z
popis	popis	Ncmsan
ugovora	ugovor	Ncmsg
i	i	Cc
sl.	sl.	Y
)	)	Z

Isključenje	isključenje	Ncnsn
(	(	Z
upis	upis	Ncmsn
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
,	,	Z
potvrda	potvrda	Ncfsn
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
o	o	Sl
stanju	stanje	Ncnsl
duga	dug	Ncmsg
i	i	Cc
sl	sl	Ncfpg
)	)	Z

Ostalo	ostali	Agpnsny
(	(	Z
jamstvo	jamstvo	Ncnsn
i	i	Cc
ostala	ostali	Agpfsny
dokumentacija	dokumentacija	Ncfsn
i	i	Cc
sl.	sl.	Y
))	))	Z

Korisnik	korisnik	Ncmsn
prilikom	prilikom	Sg
dostavljanja	dostavljanje	Ncnsg
elektronskog	elektronski	Agpmsgy
medija	medij	Ncmsg
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
i	i	Cc
popratni	popratni	Agpmsayn
dopis	dopis	Ncmsan
na	na	Sl
kojem	koji	Pi-msl
mora	morati	Vmr3s
navesti	navesti	Vmn
minimalno	minimalno	Rgp
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

•	i	Agpmpay
opće	opći	Agpmpay
podatke	podatak	Ncmpa
korisnika	korisnik	Ncmpg
(	(	Z
npr.	npr.	Y
naziv	naziv	Ncmsn
,	,	Z
adresa	adresa	Ncfsn
,	,	Z
kontakt	kontakt	Ncmsn
podatke	podatak	Ncmpa
,	,	Z
osobu	osoba	Ncfsa
za	za	Sa
kontakt	kontakt	Ncmsan
i	i	Cc
sl.	sl.	Y
)	)	Z

•		Agsmsayn
procijenjeni	procijeniti	Agpmsayn
iznos	iznos	Ncmsan
(	(	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
proveo	provesti	Vmp-sm
više	mnogo	Rgc
javnih	javan	Agpfpgy
nabava	nabava	Ncfpg
potrebno	potreban	Agpnsny
navesti	navesti	Vmn
procijenjeni	procijeniti	Appmpny
iznos	iznos	Ncmsan
za	za	Sa
svaku	svaki	Pi-fsa
nabavu	nabava	Ncfsa
pojedinačno	pojedinačno	Rgp
)	)	Z

•	•	Agpmsny
postupak	postupak	Ncmsn
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
(	(	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
proveo	provesti	Vmp-sm
više	mnogo	Rgc
javnih	javan	Agpfpgy
nabava	nabava	Ncfpg
potrebno	potreban	Agpnsny
navesti	navesti	Vmn
sve	sav	Agpmpay
postupke	postupak	Ncmpa
javnih	javan	Agpfpgy
nabava	nabava	Ncfpg
)	)	Z

•	•	Sa
vrstu	vrsta	Ncfsa
ugovora	ugovor	Ncmsg
(	(	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
proveo	provesti	Vmp-sm
više	mnogo	Rgc
javnih	javan	Agpfpgy
nabava	nabava	Ncfpg
potrebno	potreban	Agpnsny
navesti	navesti	Vmn
vrste	vrsta	Ncfpa
ugovora	ugovor	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
sklopio	sklopiti	Vmp-sm
)	)	Z

•		Agcmsny
broj	broj	Ncmsn
objave	objava	Ncfsg
u	u	Sl
Elektroničkom	elektronički	Agpmsly
oglasniku	oglasnik	Ncmsl
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
Narodnih	narodni	Agpfpgy
novina	novina	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
/	/	Z
ili	ili	Cc
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
Unije	unija	Ncfsg
(	(	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
)	)	Z

PRILOG	prilog	Ncmsn
VII	vii	Mrc
.	.	Z

POPIS	popis	Ncmsn
STANDARDA	standard	Ncmpg
EUROPSKE	europski	Agpfsgy
UNIJE	unija	Ncfsg

Br.	Br.	Y

Standard	standard	Ncmsn
ЕU	Е	Npmsd
zakonodavstvo	zakonodavstvo	Ncnsa
Nacionalno	nacionalan	Agpnsay
zakonodavstvo	zakonodavstvo	Ncnsa
Datum	datum	Ncmsn
od	od	Sg
kojeg	koji	Pi-msg
standard	standard	Ncmsn
postaje	postajati	Vmr3s
obavezan	obavezan	Agpmsnn
Datum	datum	Ncmsn
završetka	završetak	Ncmsg
prijelaznog	prijelazan	Agpnsgy
razdoblja	razdoblje	Ncnsg
Vrsta	vrsta	Ncfsn
ulaganja	ulaganje	Ncnsg
1.	1.	Mdo
Zaštita	zaštita	Ncfsn
voda	vod	Ncmsg
od	od	Sg
onečišćenja	onečišćenje	Ncnsg
uzrokovanog	uzrokovati	Appnsgy
nitratima	nitrat	Ncmpi
iz	iz	Sg
poljoprivrednih	poljoprivredni	Agpmpgy
izvora	izvor	Ncmpg
Direktiva	direktiva	Ncfsn
Vijeća	vijeće	Ncnsg
od	od	Sg
12.	12.	Mdo
prosinca	prosinac	Ncmsg
1991.	1991.	Mdo
o	o	Sl
zaštiti	zaštita	Ncfsl
voda	voda	Ncfpg
od	od	Sg
onečišćenja	onečišćenje	Ncnsg
uzrokovanog	uzrokovati	Appnsgy
nitratima	nitrat	Ncmpi
iz	iz	Sg
poljoprivrednih	poljoprivredni	Agpmpgy
izvora	izvor	Ncmpg
(	(	Z
91/676	91/676	Mdc
/	/	Z
EEZ	EEZ	Npmsn
)	)	Z
Akcijski	akcijski	Agpmsny
program	program	Ncmsn
zaštite	zaštita	Ncfsg
voda	voda	Ncfsn
od	od	Sg
onečišćenja	onečišćenje	Ncnsg
