povjerenim	povjeriti	Agpfpiy
ovlastima	ovlast	Ncfpi

(	(	Z
5	5	Mdc
)	)	Z
Agencija	agencija	Ncfsn
na	na	Sl
svojim	svoj	Px-fpl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
objavljuje	objavljivati	Vmr3s
godišnje	godišnji	Agpnsay
izviješće	izviješće	Ncnsa
o	o	Sl
provedbi	provedba	Ncfsl
aktivnosti	aktivnost	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Načelo	načelo	Ncnsn
nediskriminacije	nediskriminacija	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
zračne	zračan	Agpfsgy
luke	luka	Ncfsg
mora	morati	Vmr3s
formirati	formirati	Vmn
naknade	naknada	Ncfpa
zračne	zračan	Agpfpay
luke	luka	Ncfpa
na	na	Sa
način	način	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
ne	ne	Qz
diskriminiraju	diskriminirati	Vmr3p
pojedini	pojedini	Agpmpny
korisnici	korisnik	Ncmpn
zračne	zračan	Agpfsgy
luke	luka	Ncfsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravom	prav	Agpmsly
Europske	europski	Agpfsgy
unije	unija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Primjena	primjena	Ncfsn
načela	načelo	Ncnpg
nediskriminacije	nediskriminacija	Ncfsg
ne	ne	Qz
isključuje	isključivati	Vmr3s
mogućnost	mogućnost	Ncfsn
formiranja	formiranje	Ncnsg
naknada	naknada	Ncfpg
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg
sukladno	sukladno	Rgp
zahtjevima	zahtjev	Ncmpd
javnoga	javan	Agpmsgy
i	i	Cc
općeg	opći	Agpmsgy
interesa	interes	Ncmsg
,	,	Z
uključujući	uključivati	Rr
pitanja	pitanje	Ncnsg
zaštite	zaštita	Ncfsg
okoliša	okoliš	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Svako	svaki	Pi-nsn
formiranje	formiranje	Ncnsn
naknada	naknada	Ncfpg
zračne	zračan	Agpfsgy
luke	luka	Ncfsg
sukladno	sukladan	Agpnsny
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
se	sebe	Px--sa
provesti	provesti	Vmn
na	na	Sl
temelju	temelj	Ncmsl
odgovarajućih	odgovarajući	Agpmpgy
,	,	Z
objektivnih	objektivan	Agpfpgy
i	i	Cc
transparentnih	transparentan	Agpmpgy
kriterija	kriterij	Ncmpg
.	.	Z

Mreža	mreža	Ncfsn
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg

Članak	članak	Ncmsn
6.	6.	Mdo

Upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
mreže	mreža	Ncfsg
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg
može	moći	Vmr3s
definirati	definirati	Vmn
jedan	jedan	Mlcmsn
zajednički	zajednički	Agpmsny
i	i	Cc
transparentni	transparentan	Agpmsny
sustav	sustav	Ncmsn
obračuna	obračun	Ncmsg
naknada	naknada	Ncfsn
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg
za	za	Sa
sve	sav	Agpfpay
zračne	zračan	Agpfpay
luke	luka	Ncfpa
u	u	Sl
skupini	skupina	Ncfsl
.	.	Z

Zajednički	zajednički	Agpmpny
sustavi	sustav	Ncmpn
obračuna	obračun	Ncmsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Upravna	upravan	Agpnpny
tijela	tijelo	Ncnsg
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg
koje	koji	Pi-fpn
opslužuju	opsluživati	Vmr3p
isti	isti	Agpmsayn
grad	grad	Ncmsan
ili	ili	Cc
gradsku	gradski	Agpfsay
aglomeraciju	aglomeracija	Ncfsa
mogu	moći	Vmr3p
definirati	definirati	Vmn
jedan	jedan	Mlcmsan
zajednički	zajednički	Agpmsayn
i	i	Cc
transparentan	transparentan	Agpmsnn
sustav	sustav	Ncmsn
obračuna	obračun	Ncmsg
naknada	naknada	Ncfpg
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg
koji	koji	Pi-msn
mora	morati	Vmr3s
udovoljiti	udovoljiti	Vmn
zahtjevima	zahtjev	Ncmpd
transparentnosti	transparentnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
EU	E	Npmsg
propisima	propis	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Primjena	primjena	Ncfsn
zajedničkog	zajednički	Agpmsgy
sustava	sustav	Ncmsg
obračuna	obračun	Ncmsg
naknada	naknada	Ncfpg
zračnih	zračan	Agpfpgy
luka	luka	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
