disciplinu	disciplina	Ncfsa
skupnih	skupni	Agpmpgy
likovnih	likovni	Agpmpgy
skokova	skok	Ncmpg
(	(	Z
FS	FS	Npmsn
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uvjeti	uvjet	Ncmpn
za	za	Sa
stjecanje	stjecanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
nastavnik	nastavnik	Ncmsn
padobranstva	padobranstvo	Ncnsg
i	i	Cc
AFF	AFF	Npmsn
nastavnik	nastavnik	Ncmsn
padobranstva	padobranstvo	Ncnsg
su	biti	Var3p
:	:	Z

a	a	Cc
)	)	Z
potvrda	potvrda	Ncfsn
o	o	Sl
završenom	završen	Agpnsly
osposobljavanju	osposobljavanje	Ncnsl
,	,	Z
i	i	Cc

b	b	Npmsn
)	)	Z
provjera	provjera	Ncfsn
praktične	praktičan	Agpfsgy
osposobljenosti	osposobljenost	Ncfsg
.	.	Z

Osposobljavanje	osposobljavanje	Ncnsn

Članak	članak	Ncmsn
47.	47.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Teorijsko	teorijski	Agpnsny
osposobljavanje	osposobljavanje	Ncnsn
za	za	Sa
stjecanje	stjecanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
nastavnik	nastavnik	Ncmsn
padobranstva	padobranstvo	Ncnsg
i	i	Cc
AFF	AFF	Npmsn
nastavnik	nastavnik	Ncmsn
padobranstva	padobranstvo	Ncnsg
mora	morati	Vmr3s
obuhvatiti	obuhvatiti	Vmn
sljedeće	sljedeći	Agpmpay
predmete	predmet	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
temeljna	temeljan	Agpnpay
znanja	znanje	Ncnpa
o	o	Sl
odgoju	odgoj	Ncmsl
i	i	Cc
obrazovanju	obrazovanje	Ncnsl
(	(	Z
pedagogija	pedagogija	Ncfsn
)	)	Z
,	,	Z

b	b	Npmsn
)	)	Z
didaktiku	didaktika	Ncfsa
i	i	Cc
umijeća	umijeće	Ncnsg
nastavnika	nastavnik	Ncmpg
,	,	Z

c	C	Npmsn
)	)	Z
psihologiju	psihologija	Ncfsa
poučavanja	poučavanje	Ncnsg
i	i	Cc
učenja	učenje	Ncnsg
,	,	Z

d	d	Npmsn
)	)	Z
metodiku	metodika	Ncfsa
osposobljavanja	osposobljavanje	Ncnsg
,	,	Z

e	e	I
)	)	Z
organizaciju	organizacija	Ncfsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
padobranskih	padobranski	Agpmpgy
skokova	skok	Ncmpg
,	,	Z
i	i	Cc

f	f	Qr
)	)	Z
ljudske	ljudski	Agpfpay
mogućnosti	mogućnost	Ncfpa
i	i	Cc
ograničenja	ograničenje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dodatno	dodatno	Rgp
,	,	Z
teorijsko	teorijski	Agpnsny
osposobljavanje	osposobljavanje	Ncnsn
za	za	Sa
stjecanje	stjecanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
AFF	AFF	Npmsn
nastavnik	nastavnik	Ncmsn
padobranstva	padobranstvo	Ncnsg
mora	morati	Vmr3s
obuhvatiti	obuhvatiti	Vmn
sljedeće	sljedeći	Agpmpay
predmete	predmet	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
prinudni	prinudan	Agpmpny
postupci	postupak	Ncmpn
u	u	Sl
izvanrednim	izvanredan	Agpfply
situacijama	situacija	Ncfpl
pri	pri	Sl
izvođenju	izvođenje	Ncnsl
AFF	AF	Npmsg
skokova	skok	Ncmpg
padobranom	padobran	Ncmsi
,	,	Z
i	i	Cc

b	b	Npmsn
)	)	Z
tehnika	tehnika	Ncfsn
i	i	Cc
način	način	Ncmsan
izvođenja	izvođenje	Ncnsg
AFF	AFF	Ps3mpg
skokova	skok	Ncmpg
padobranom	padobran	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Praktično	praktičan	Agpnsny
osposobljavanje	osposobljavanje	Ncnsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

a	a	Cc
)	)	Z
metodski	metodski	Agpmsny
sat	sat	Ncmsn
iz	iz	Sg
teorijskih	teorijski	Agpmpgy
predmeta	predmet	Ncmpg
osposobljavanja	osposobljavanje	Ncnsg
učenika	učenik	Ncmpg
,	,	Z

b	b	Npmsn
)	)	Z
priprema	pripremati	Vmr3s
i	i	Cc
rad	rad	Ncmsan
s	sa	Si
kandidatom	kandidat	Ncmsi
za	za	Sa
stjecanje	stjecanje	Ncnsa
dozvole	dozvola	Ncfsg
kategorije	kategorija	Ncfsg
A	a	Cc
,	,	Z

c	C	Npmsn
)	)	Z
organizacija	organizacija	Ncfsn
i	i	Cc
provedba	provedba	Ncfsn
padobranskih	padobranski	Agpmpgy
skokova	skok	Ncmpg
,	,	Z
i	i	Cc

d	d	Npmsn
)	)	Z
simulacija	simulacija	Ncfsn
postupka	postupak	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
nezgode	nezgoda	Ncfsg
ili	ili	Cc
nesreće	nesreća	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Dodatno	dodatno	Rgp
,	,	Z
praktično	praktičan	Agpnsny
osposobljavanje	osposobljavanje	Ncnsn
za	za	Sa
