nadziranom	nadzirati	Agpnsly
tijelu	tijelo	Ncnsl
najkasnije	kasan	Ncfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
obavljenog	obaviti	Agpmsgy
nadzora	nadzor	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
ravnatelju	ravnatelj	Ncmsd
centra	centar	Ncmsg
,	,	Z
predsjedniku	predsjednik	Ncmsl
upravnog	upravan	Agpnsgy
vijeća	vijeće	Ncnsg
centra	centar	Ncmsg
te	te	Cc
čelniku	čelnik	Ncmsl
tijela	tijelo	Ncnsg
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
uprave	uprava	Ncfsg
odnosno	odnosno	Rgp
druge	drugi	Mlofpa
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Rok	rok	Ncmsn
za	za	Sa
dostavu	dostava	Ncfsa
očitovanja	očitovanje	Ncnsg
na	na	Sa
izvješće	izvješće	Ncnsa
je	biti	Var3s
15	15	Mdc
dana	dan	Ncmpg
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmpg
zaprimanja	zaprimanje	Ncnsg
izvješća	izvješće	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
roku	rok	Ncmsl
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
od	od	Sg
dostave	dostava	Ncfsg
izvješća	izvješće	Ncnsg
o	o	Sl
provedenom	provesti	Agpmsly
upravnom	upravan	Agpmsly
nadzoru	nadzor	Ncmsl
,	,	Z
provest	provesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kontrolni	kontrolan	Agpmsny
upravni	upravan	Agpmsny
nadzor	nadzor	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
243.	243.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
.	.	Z

IV	IV	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
ZA	za	Sa
PROVOĐENJE	provođenje	Ncnsa
UPRAVNOG	upravan	Agpmsgy
NADZORA	nadzor	Ncmsg

Članak	članak	Ncmsn
13.	13.	Mdo

Upravni	upravan	Agpmsny
nadzor	nadzor	Ncmsn
može	moći	Vmr3s
provoditi	provoditi	Vmn
socijalni	socijalan	Agpmsny
radnik	radnik	Ncmsn
,	,	Z
pravnik	pravnik	Ncmsn
,	,	Z
psiholog	psiholog	Ncmsn
,	,	Z
socijalni	socijalan	Agpmsny
pedagog	pedagog	Ncmsn
,	,	Z
edukacijski	edukacijski	Agpmsny
rehabilitator	rehabilitator	Ncmsn
,	,	Z
koji	koji	Pi-msn
ispunjava	ispunjavati	Vmr3s
uvjete	uvjet	Ncmpa
propisane	propisati	Appmpay
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
unutarnjem	unutarnji	Agpmsly
redu	red	Ncmsl
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
koji	koji	Pi-msn
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
za	za	Sa
provođenje	provođenje	Ncnsa
upravnog	upravan	Agpmsgy
nadzora	nadzor	Ncmsg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
državni	državni	Agpmsny
službenik	službenik	Ncmsn
ima	imati	Vmr3s
iskaznicu	iskaznica	Ncfsa
kojom	koji	Pi-fsi
dokazuje	dokazivati	Vmr3s
svoje	svoj	Px-nsa
službeno	služben	Agpnsay
svojstvo	svojstvo	Ncnsa
i	i	Cc
ovlasti	ovlast	Ncfsg
,	,	Z
a	a	Cc
kojom	koji	Pi-fsi
se	sebe	Px--sa
predstavlja	predstavljati	Vmr3s
prije	prije	Sg
početka	početak	Ncmsg
provođenja	provođenje	Ncnsg
nadzora	nadzor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
iskaznica	iskaznica	Ncfsn
)	)	Z
ovlaštenog	ovlašten	Agpmsgy
