roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z
za	za	Sa
djecu	dijete	Ncnpa
i	i	Cc
mlađe	mlad	Agcfsgy
punoljetne	punoljetan	Agpfsgy
osobe	osoba	Ncfsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
,	,	Z
za	za	Sa
djecu	dijete	Ncnpa
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
,	,	Z
za	za	Sa
odrasle	odrastao	Agpfpay
osobe	osoba	Ncfpa
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
osobe	osoba	Ncfpn
ovisne	ovisan	Agpfpny
o	o	Sl
alkoholu	alkohol	Ncmsl
,	,	Z
drogama	droga	Ncfpl
,	,	Z
kockanju	kockanje	Ncnsl
i	i	Cc
drugim	drugi	Mlompl
oblicima	oblik	Ncmpi
ovisnosti	ovisnost	Ncfsg
,	,	Z
te	te	Cc
žrtve	žrtva	Ncfpn
nasilja	nasilje	Ncnsg
u	u	Sl
obitelji	obitelj	Ncfsl
/	/	Z
kod	kod	Sg
drugog	drugi	Mlomsg
pružatelja	pružatelj	Ncmsg
usluga	usluga	Ncfpg

Nakon	nakon	Sg
uvodnog	uvodan	Agpmsgy
dijela	dio	Ncmsg
glavni	glavni	Agpmsny
stručni	stručan	Agpmsny
voditelj	voditelj	Ncmsn
organizira	organizirati	Vmr3s
raspoređivanje	raspoređivanje	Ncnsa
pripravnika	pripravnik	Ncmpg
u	u	Sl
:	:	Z

1.	1.	Mdo
ustanovu	ustanova	Ncfsa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
ili	ili	Cc
kod	kod	Sg
pružatelja	pružatelj	Ncmpg
socijalnih	socijalan	Agpfpgy
usluga	usluga	Ncfpg
/	/	Z
poslodavca	poslodavac	Ncmsg
,	,	Z

2.	2.	Mdo
ustanovu	ustanova	Ncfsa
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
(	(	Z
osim	osim	Cs
kod	kod	Sg
pružatelja	pružatelj	Ncmpg
usluga	usluga	Ncfpg
koji	koji	Pi-mpn
u	u	Sl
okviru	okvir	Ncmsl
redovne	redovan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
obavljaju	obavljati	Vmr3p
djelatnost	djelatnost	Ncfsa
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
prema	prema	Sl
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
)	)	Z
.	.	Z

2.12.1.	2.12.1.	Mdo

