Primjena	primjena	Ncfsn
drugih	drugi	Mlompg
propisa	propis	Ncmpg

Članak	članak	Ncmsn
3.	3.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
Zakona	zakon	Ncmsg
o	o	Sl
strancima	stranac	Ncmpl
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
tražitelje	tražitelj	Ncmpa
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
azilante	azilant	Ncmpa
,	,	Z
strance	stranac	Ncmpa
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
i	i	Cc
strance	stranac	Ncmpa
pod	pod	Si
privremenom	privremen	Agpfsiy
zaštitom	zaštita	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
odobrenje	odobrenje	Ncnsa
boravka	boravak	Ncmsg
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
strancima	stranac	Ncmpl
.	.	Z

Azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
odobrenje	odobrenje	Ncnsa
privremenog	privremen	Agpmsgy
ili	ili	Cc
autonomnog	autonoman	Agpmsgy
boravka	boravak	Ncmsg
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
strancima	stranac	Ncmpl
.	.	Z

Značenje	značenje	Ncnsn
izraza	izraz	Ncmsg

Članak	članak	Ncmsn
4.	4.	Mdo

Pojedini	pojedini	Agpmpny
izrazi	izraz	Ncmpn
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
imaju	imati	Vmr3p
sljedeće	sljedeći	Agpnsay
značenje	značenje	Ncnsa
:	:	Z

1.	1.	Mdo
Međunarodna	međunarodni	Agpfsny
zaštita	zaštita	Ncfsn
obuhvaća	obuhvaćati	Vmr3s
azil	azil	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
i	i	Cc
supsidijarnu	supsidijaran	Agpfsay
zaštitu	zaštita	Ncfsa
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
.	.	Z

2.	2.	Mdo
Azil	azil	Ncmsn
je	biti	Var3s
status	status	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
uvjeta	uvjet	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
20.	20.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

3.	3.	Mdo
Supsidijarna	supsidijaran	Agpfsny
zaštita	zaštita	Ncfsn
je	biti	Var3s
status	status	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
uvjeta	uvjet	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
21.	21.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

4.	4.	Mdo
Privremena	privremen	Agpfsny
zaštita	zaštita	Ncfsn
je	biti	Var3s
zaštita	zaštita	Ncfsn
hitnog	hitan	Agpnsgy
i	i	Cc
privremenog	privremen	Agpmsgy
karaktera	karakter	Ncmsg
koja	koji	Pi-fsn
