ugrađenim	ugraditi	I
svim	sav	Agpfpiy
potrebnim	potreban	Agpfpiy
funkcionalnostima	funkcionalnost	Ncfpi

p2	p2	Qr
.	.	Z
3.2.	3.2.	Mds

Broj	broj	Ncmsn
građana	građanin	Ncmpg
koji	koji	Pi-msn
komunicira	komunicirati	Vmr3s
s	sa	Si
javnom	javan	Agpfsiy
upravom	uprava	Ncfsi
putem	put	Sg
nestrukturirane	nestrukturiran	Agpfsgy
komunikacije	komunikacija	Ncfsg
kroz	kroz	Sa
osobni	osoban	Agpmsayn
korisnički	korisnički	Agpmsayn
pretinac	pretinac	Ncmsan

p2	p2	Qr
.	.	Z
3.3.	3.3.	Mds

Broj	broj	Ncmsn
zaposlenih	zaposliti	Appmpgy
u	u	Sl
javnoj	javan	Agpfsly
upravi	uprava	Ncfsl
koji	koji	Pi-mpn
su	biti	Var3p
prošli	proći	Vmp-pm
/	/	Z
završili	završiti	Vmp-pm
program	program	Ncmsan
izobrazbe	izobrazba	Ncfsg
za	za	Sa
korištenje	korištenje	Ncnsa
e-usluga	e-uslugo	Ncnsg
i	i	Cc
razvoj	razvoj	Ncmsan
standardiziranih	standardiziran	Agpmpgy
e-usluga	e-uslug	Ncmpg

Mjera	mjera	Ncfsn
2.4.	2.4.	Mds

Unaprijediti	unaprijediti	Vmn
pružanje	pružanje	Ncnsa
elektroničkih	elektronički	Agpfpgy
usluga	usluga	Ncfpg
za	za	Sa
poslovne	poslovan	Agpmpay
subjekte	subjekt	Ncmpa

Nositelji	nositelj	Ncmpn
:	:	Z
Ministarstvo	ministarstvo	Ncnsn
gospodarstva	gospodarstvo	Ncnsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
uprave	uprava	Ncfsg

Sunositelji	sunositelj	Ncmpn
:	:	Z
druga	drugi	Mlofsn
javnopravna	javnopravni	Agpnpny
tijela	tijelo	Ncnpn

Rok	rok	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
:	:	Z
II	ii	Mrc
.	.	Z
tromjesečje	tromjesečje	Ncnsa
2016.	2016.	Mdo

Potrebna	potreban	Agpnpay
sredstva	sredstvo	Ncnpa
:	:	Z
10	10	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg

Izvor	izvor	Ncmsn
:	:	Z
EU	E	Npmsg
fondovi	fond	Ncmpn
,	,	Z
državni	državni	Agpmsny
proračun	proračun	Ncmsn

Provedbene	provedbeni	Agpfpny
aktivnosti	aktivnost	Ncfpn
:	:	Z

a2	a2	Qr
.	.	Z
4.1.	4.1.	Mds

Uspostaviti	uspostaviti	Vmn
jedinstveno	jedinstven	Agpnsay
upravno	upravan	Agpnsay
mjesto	mjesto	Ncnsa
u	u	Sl
virtualnom	virtualan	Agpmsly
svijetu	svijet	Ncmsl
za	za	Sa
e-Poslovanje	e-poslovanje	Ncnsa

a2	a2	Qr
.	.	Z
4.2.	4.2.	Mds

Definirati	definirati	Vmn
osnovni	osnovan	Agpmsayn
set	set	Ncmsan
usluga	usluga	Ncfpg
koje	koji	Pi-fpa
treba	trebati	Vmr3s
pružati	pružati	Vmn
kroz	kroz	Sa
e-Poslovanje	e-poslovanje	Ncnsa

a2	a2	Qr
.	.	Z
4.3.	4.3.	Mds

Razviti	razviti	Vmn
e-usluge	e-usluga	Ncfpa
za	za	Sa
poslovne	poslovan	Agpmpay
subjekte	subjekt	Ncmpa

Pokazatelji	pokazatelj	Ncmpn
ostvarenosti	ostvarenost	Ncfsg
mjere	mjera	Ncfsg
:	:	Z

p2	p2	Qr
.	.	Z
4.1.	4.1.	Mds

Broj	broj	Ncmsn
usluga	usluga	Ncfpg
koje	koji	Pi-fpa
pruža	pružati	Vmr3s
e-Poslovanje	e-poslovanje	Ncnsa

p2	p2	Qr
.	.	Z
4.2.	4.2.	Mds

Postotak	postotak	Ncmsn
skraćivanja	skraćivanje	Ncnsg
vremena	vrijeme	Ncnsg
po	po	Sl
usluzi	usluga	Ncfsl

p2	p2	Qr
.	.	Z
4.3.	4.3.	Mds

Broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
jedinstvenog	jedinstven	Agpnsgy
upravnog	upravan	Agpnsgy
mjesta	mjesto	Ncnsg
e-Poslovanje	e-poslovanje	Ncnsn

CILJ	cilj	Ncmsn
3.	3.	Mdo
POVEĆANA	povećati	Appfsny
DOSTUPNOST	dostupnost	Ncfsn
INFORMACIJA	informacija	Ncfsn
JAVNE	javan	Agpfsgy
UPRAVE	uprava	Ncfsg

Mjera	mjera	Ncfsn
3.1.	3.1.	Mds

Unaprijediti	unaprijediti	Vmn
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpd
javne	javan	Agpfsgy
uprave	uprava	Ncfsg

Nositelji	nositelj	Ncmpn
:	:	Z
Ministarstvo	ministarstvo	Ncnsn
uprave	uprava	Ncfsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
unutarnjih	unutarnji	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
Povjerenik	povjerenik	Ncmsn
za	za	Sa
informiranje	informiranje	Ncnsa

Sunositelji	sunositelj	Ncmpn
:	:	Z
Državna	državni	Agpfsny
škola	škola	Ncfsn
za	za	Sa
javnu	javan	Agpfsay
upravu	uprava	Ncfsa
,	,	Z
druga	drugi	Mlofsn
javnopravna	javnopravni	Ncfsn
tijela	tijelo	Ncnsg

Rok	rok	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
:	:	Z
kontinuirano	kontinuirano	Rgp

Potrebna	potreban	Agpnpay
sredstva	sredstvo	Ncnpa
:	:	Z
naknadno	naknadno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
procijeniti	procijeniti	Vmn

Izvor	izvor	Ncmsn
:	:	Z
ESF	ESF	Npmsn

Provedbene	provedbeni	Agpfpny
aktivnosti	aktivnost	Ncfpn
:	:	Z

a3	a3	Qr
.	.	Z
1.1.	1.1.	Mds

Izgraditi	izgraditi	Vmn
IT	IT	Npmsan
sustav	sustav	Ncmsan
za	za	Sa
objavu	objava	Ncfsa
informacija	informacija	Ncfpg
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
strojno	strojno	Rgp
čitljivom	čitljiv	Agpmsly
obliku	oblik	Ncmsl
i	i	Cc
promicati	promicati	Vmn
njegovu	njegov	Ps3fsa
primjenu	primjena	Ncfsa

a3	a3	Qr
.	.	Z
1.2.	1.2.	Mds

Provesti	provesti	Vmn
izobrazbu	izobrazba	Ncfsa
zaposlenih	zaposlen	Agpmpgy
za	za	Sa
korištenje	korištenje	Ncnsa
sustava	sustav	Ncmsg
za	za	Sa
objavu	objava	Ncfsa
informacija	informacija	Ncfpg

a3	a3	Qr
.	.	Z
1.3.	1.3.	Mds

Objavljivati	objavljivati	Vmn
podatke	podatak	Ncmpa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
kroz	kroz	Sa
sustav	sustav	Ncmsan
za	za	Sa
objavu	objava	Ncfsa
informacija	informacija	Ncfpg

a3	a3	Qr
.	.	Z
1.4.	1.4.	Mds

Izgraditi	izgraditi	Vmn
IT	IT	Npmsan
sustav	sustav	Ncmsan
za	za	Sa
praćenje	praćenje	Ncnsa
pristupa	pristup	Ncmsg
i	i	Cc
ponovne	ponovan	Agpfsgy
uporabe	uporaba	Ncfsg
informacija	informacija	Ncfpg

a3	a3	Qr
.	.	Z
1.5.	1.5.	Mds

Kontinuirano	kontinuiran	Agpnsny
povećavati	povećavati	Vmn
broj	broj	Ncmsan
i	i	Cc
količinu	količina	Ncfsa
informacija	informacija	Ncfpg
koje	koji	Pi-fpn
javnopravna	javnopravni	Agpnpny
tijela	tijelo	Ncnpn
redovito	redovito	Rgp
objavljuju	objavljivati	Vmr3p

a3	a3	Qr
.	.	Z
1.6.	1.6.	Mds

Provesti	provesti	Vmn
izobrazbu	izobrazba	Ncfsa
građana	građanin	Ncmpg
o	o	Sl
mogućnostima	mogućnost	Ncfpl
ostvarivanja	ostvarivanje	Ncnsg
njihovih	njihov	Agpnpgy
prava	pravo	Ncnpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
dostupnost	dostupnost	Ncfsa
informacija	informacija	Ncfpg
javnopravnih	javnopravni	Agpnpgy
tijela	tijelo	Ncnpg

a3	a3	Qr
.	.	Z
1.7.	1.7.	Mds

Uskladiti	uskladiti	Vmn
Zakon	zakon	Ncmsan
o	o	Sl
tajnosti	tajnost	Ncfsl
podataka	podatak	Ncmpg
sa	sa	Si
Zakonom	zakon	Ncmsi
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl

Pokazatelji	pokazatelj	Ncmpn
ostvarenosti	ostvarenost	Ncfsg
mjere	mjera	Ncfsg
:	:	Z

p3	p3	Qr
.	.	Z
1.1.	1.1.	Mds

Broj	broj	Ncmsn
i	i	Cc
količina	količina	Ncfsn
objavljenih	objavljen	Agpfpgy
informacija	informacija	Ncfpg
kroz	kroz	Sa
sustav	sustav	Ncmsan
za	za	Sa
objavu	objava	Ncfsa

p3	p3	Qr
.	.	Z
1.2.	1.2.	Mds

Broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
informacija	informacija	Ncfpg
objavljenih	objavljen	Agpfpgy
kroz	kroz	Sa
sustav	sustav	Ncmsan
za	za	Sa
objavu	objava	Ncfsa

CILJ	cilj	Ncmsn
4.	4.	Mdo
RACIONALNO	racionalan	Agpnsny
KORIŠTENJE	korištenje	Ncnsn
RAČUNALNO-INFORMACIJSKIH	računalno-informacijski	Agpmpgy
RESURSA	resurs	Ncmpg

Mjera	mjera	Ncfsn
4.1.	4.1.	Mds

Racionalizirati	racionalizirati	Vmn
i	i	Cc
industrijalizirati	industrijalizirati	Vmn
državnu	državni	Agpfsay
informacijsku	informacijski	Agpfsay
infrastrukturu	infrastruktura	Ncfsa

Nositelj	nositelj	Ncmsn
:	:	Z
Ministarstvo	ministarstvo	Ncnsn
uprave	uprava	Ncfsg

Sunositelji	sunositelj	Ncmpn
:	:	Z
druga	drugi	Mlofsn
javnopravna	javnopravni	Agpnpny
tijela	tijelo	Ncnpn

Rok	rok	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
:	:	Z
IV	IV	Mrc
.	.	Z
tromjesečje	tromjesečje	Ncnsa
2015.	2015.	Mdo

Potrebna	potreban	Agpnpay
sredstva	sredstvo	Ncnpa
:	:	Z
naknadno	naknadno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
procijeniti	procijeniti	Vmn

Izvor	izvor	Ncmsn
:	:	Z
državni	državni	Agpmsny
proračun	proračun	Ncmsn
,	,	Z
EU	E	Npmsg
fondovi	fond	Ncmpn

