objavio	objaviti	Vmp-sm
je	biti	Var3s
Standarde	standard	Ncmpa
izvrsnosti	izvrsnost	Ncfsg
upravnog	upravan	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
usavršavanja	usavršavanje	Ncnsg
koji	koji	Pi-mpn
služe	služiti	Vmr3p
kao	kao	Cs
temelj	temelj	Ncmsan
prilikom	prilikom	Sg
akreditacije	akreditacija	Ncfsg
.	.	Z

Provodi	provoditi	Vmr3s
se	sebe	Px--sa
i	i	Qo
europski	europski	Agpmsny
projekt	projekt	Ncmsn
utvrđivanja	utvrđivanje	Ncnsg
ključnih	ključan	Agpfpgy
kompetencija	kompetencija	Ncfpg
koje	koji	Pi-fpn
bi	biti	Vaa3s
upravno	upravan	Agpnsny
obrazovanje	obrazovanje	Ncnsn
trebalo	trebati	Vmp-sn
osigurati	osigurati	Vmn
budućim	budući	Agpmpdy
službenicima	službenik	Ncmpd
(	(	Z
Tuning-PA	Tuning-PA	Npfsn
)	)	Z
.	.	Z

Moderno	moderan	Agpnsny
upravno	upravan	Agpnsny
obrazovanje	obrazovanje	Ncnsn
upoznaje	upoznavati	Vmr3s
,	,	Z
obrazuje	obrazovati	Vmr3s
i	i	Cc
odgaja	odgajati	Vmr3s
studente	student	Ncmpa
za	za	Sa
odgovorno	odgovoran	Agpnsay
,	,	Z
etično	etičan	Agpnsny
,	,	Z
djelotvorno	djelotvoran	Agpnsny
,	,	Z
ekonomično	ekonomičan	Agpnsny
i	i	Cc
učinkovito	učinkovit	Agpnsay
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

Ono	onaj	Pd-nsn
je	biti	Var3s
jedan	jedan	Mlcmsn
od	od	Sg
ključnih	ključan	Agpmpgy
preduvjeta	preduvjet	Ncmpg
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
profesionalnosti	profesionalnost	Ncfsg
zaposlenika	zaposlenik	Ncmpg
i	i	Cc
temelj	temelj	Ncmsn
je	biti	Var3s
daljnje	daljnji	Agpfsgy
modernizacije	modernizacija	Ncfsg
hrvatske	hrvatski	Agpfsgy
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
nužno	nužno	Rgp
dalje	daleko	Rgc
razvijati	razvijati	Vmn
visokoškolsko	visokoškolski	Agpnsay
obrazovanje	obrazovanje	Ncnsa
