međuresornih	međuresorni	Agpfpgy
radnih	radni	Agpfpgy
skupina	skupina	Ncfpg
za	za	Sa
izradu	izrada	Ncfsa
nacrta	nacrt	Ncmsg
prijedloga	prijedlog	Ncmsg
javnih	javan	Agpfpgy
politika	politika	Ncfpg
i	i	Cc
propisa	propis	Ncmpg
(	(	Z
zakonskih	zakonski	Agpmpgy
i	i	Cc
podzakonskih	podzakonski	Agpmpgy
)	)	Z

Pokazatelji	pokazatelj	Ncmpn
ostvarenosti	ostvarenost	Ncfsg
mjere	mjera	Ncfsg
:	:	Z

p16	p16	Mdm
.	.	Z
1.1.	1.1.	Mds

Udio	udjel	Ncmsn
prijedloga	prijedlog	Ncmsg
javnih	javan	Agpfpgy
politika	politika	Ncfpg
i	i	Cc
propisa	propis	Ncmpg
(	(	Z
zakonskih	zakonski	Agpmpgy
i	i	Cc
podzakonskih	podzakonski	Agpmpgy
)	)	Z
koji	koji	Pi-mpn
su	biti	Var3p
pripremljeni	pripremiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
usvojenom	usvojen	Agpfsiy
metodologijom	metodologija	Ncfsi

p16	p16	Mdm
.	.	Z
1.2.	1.2.	Mds

Udio	udjel	Ncmsn
prijedloga	prijedlog	Ncmsg
javnih	javan	Agpfpgy
politika	politika	Ncfpg
i	i	Cc
propisa	propis	Ncmpg
(	(	Z
zakonskih	zakonski	Agpmpgy
i	i	Cc
podzakonskih	podzakonski	Agpmpgy
)	)	Z
koji	koji	Pi-mpn
su	biti	Var3p
pripremljeni	pripremiti	Appmpny
u	u	Sl
suradnji	suradnja	Ncfsl
sa	sa	Si
socijalnim	socijalan	Agpmpiy
partnerima	partner	Ncmpi
i	i	Cc
zainteresiranom	zainteresiran	Agpfsiy
javnošću	javnost	Ncfsi

Mjera	mjera	Ncfsn
16.2.	16.2.	Mds

Unaprijediti	unaprijediti	Vmn
međusobnu	međusoban	Agpfsay
suradnju	suradnja	Ncfsa
središnjih	središnji	Agpnpgy
tijela	tijelo	Ncnpg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
ureda	ured	Ncmsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
županijama	županija	Ncfpl
i	i	Cc
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg

Nositelj	nositelj	Ncmsn
:	:	Z
Ministarstvo	ministarstvo	Ncnsn
uprave	uprava	Ncfsg

Sunositelji	sunositelj	Ncmpn
:	:	Z
druga	drugi	Mlofsn
središnja	središnji	Agpfsny
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg

Rok	rok	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
:	:	Z
II	ii	Mrc
.	.	Z
tromjesečje	tromjesečje	Ncnsa
2017.	2017.	Mdo

Potrebna	potreban	Agpnpay
sredstva	sredstvo	Ncnpa
:	:	Z
naknadno	naknadno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
procijeniti	procijeniti	Vmn

Provedbene	provedbeni	Agpfpny
aktivnosti	aktivnost	Ncfpn
:	:	Z

a16	a16	Mdm
.	.	Z
2.1.	2.1.	Mds

Uspostaviti	uspostaviti	Vmn
mrežu	mreža	Ncfsa
koordinatora	koordinator	Ncmpg
u	u	Sl
središnjim	središnji	Agpnply
tijelima	tijelo	Ncnpl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
za	za	Sa
suradnju	suradnja	Ncfsa
s	sa	Si
uredima	ured	Ncmpi
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
županijama	županija	Ncfpl

a16	a16	Mdm
.	.	Z
2.2.	2.2.	Mds

Poboljšati	poboljšati	Vmn
suradnju	suradnja	Ncfsa
i	i	Cc
uključenost	uključenost	Ncfsa
ureda	ured	Ncmsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
županijama	županija	Ncfpl
i	i	Cc
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfpa
u	u	Sl
oblikovanju	oblikovanje	Ncnsl
javnih	javan	Agpfpgy
politika	politika	Ncfpg
,	,	Z
propisa	propis	Ncmpg
i	i	Cc
akata	akt	Ncmpg
planiranja	planiranje	Ncnsg

a16	a16	Mdm
.	.	Z
2.3.	2.3.	Mds

Utvrditi	utvrditi	Vmn
sve	sav	Agpmpay
propisane	propisati	Agpmpay
mehanizme	mehanizam	Ncmpa
(	(	Z
prethodne	prethodan	Agpfsgy
suglasnosti	suglasnost	Ncfsg
,	,	Z
mišljenja	mišljenje	Ncnsg
,	,	Z
odobrenja	odobrenje	Ncnsg
i	i	Cc
sl.	sl.	Y
)	)	Z
prethodnog	prethodan	Agpmsgy
nadzora	nadzor	Ncmsg
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg

a16	a16	Mdm
.	.	Z
2.4.	2.4.	Mds

Izvršiti	izvršiti	Vmn
reviziju	revizija	Ncfsa
utvrđenih	utvrditi	Appmpgy
mehanizama	mehanizam	Ncmpg
prethodnog	prethodan	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
cilju	cilj	Ncmsl
njegova	njegov	Ps3nsg
ograničenja	ograničenje	Ncnsg

a16	a16	Mdm
.	.	Z
2.5.	2.5.	Mds

Izmijeniti	izmijeniti	Vmn
propise	propis	Ncmpa
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
mehanizam	mehanizam	Ncmsn
prethodnog	prethodan	Agpmsgy
nadzora	nadzor	Ncmsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg

Pokazatelji	pokazatelj	Ncmpn
ostvarenosti	ostvarenost	Ncfsg
mjere	mjera	Ncfsg
:	:	Z

p16	p16	Mdm
.	.	Z
2.1.	2.1.	Mds

Postotak	postotak	Ncmsn
javnih	javan	Agpfpgy
politika	politika	Ncfpg
,	,	Z
propisa	propis	Ncmpg
i	i	Cc
akata	akt	Ncmpg
planiranja	planiranje	Ncnsg
u	u	Sa
čiju	čiji	Pi-fsa
su	biti	Var3p
izradu	izrada	Ncfsa
bili	biti	Vap-pm
uključeni	uključen	Agpmpny
predstavnici	predstavnik	Ncmpn
ureda	ured	Ncmsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
županijama	županija	Ncfpl
i	i	Cc
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg

CILJ	cilj	Ncmsn
17.	17.	Mdo

RACIONALIZIRANI	racionalizirati	Agpmsny
SUSTAV	sustav	Ncmsn
LOKALNE	lokalan	Agpfsgy
I	i	Cc
PODRUČNE	područni	Agpfsgy
(	(	Z
REGIONALNE	regionalan	Agpfpay
)	)	Z
SAMOUPRAVE	samouprava	Ncfsg

Mjera	mjera	Ncfsn
17.1.	17.1.	Mds

Definirati	definirati	Vmn
model	model	Ncmsan
funkcionalne	funkcionalan	Agpfsgy
i	i	Cc
fiskalne	fiskalan	Agpfsgy
decentralizacije	decentralizacija	Ncfsg

Nositelj	nositelj	Ncmsn
:	:	Z
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

Sunositelji	sunositelj	Ncmpn
:	:	Z
Ministarstvo	ministarstvo	Ncnsn
regionalnoga	regionalan	Agpmsgy
razvoja	razvoj	Ncmsg
i	i	Cc
fondova	fond	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
