podpostrojenjima	podpostrojenj	Ncmpd
te	te	Cc
uspoređuje	uspoređivati	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
djelatnostima	djelatnost	Ncfpl
s	sa	Si
podacima	podatak	Ncmpi
o	o	Sl
emisijama	emisija	Ncfpl
iz	iz	Sg
verificiranih	verificirati	Agpnpgy
Godišnjih	godišnji	Agpnpgy
izvješća	izvješće	Ncnpg
o	o	Sl
emisijama	emisija	Ncfpl
iz	iz	Sg
postrojenja	postrojenje	Ncnsg
za	za	Sa
odgovarajuće	odgovarajući	Agpnsay
referentno	referentan	Agpnsay
razdoblje	razdoblje	Ncnsa
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
Plan	plan	Ncmsan
praćenja	praćenje	Ncnsg
emisija	emisija	Ncfpg
stakleničkih	staklenički	Agpmpgy
plinova	plin	Ncmpg
iz	iz	Sg
postrojenja	postrojenje	Ncnsg
,	,	Z
radi	radi	Sg
sprečavanja	sprečavanje	Ncnsg
dvostrukog	dvostruk	Agpnsgy
brojenja	brojenje	Ncnsg
emisija	emisija	Ncfpg
i	i	Cc
negativne	negativan	Agpfpay
dodjele	dodjela	Ncfpa
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
10.	10.	Mdo

Odluke	odluka	Ncfpn
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

19.	19.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
izračunava	izračunavati	Vmr3s
konačan	konačan	Agpmsann
broj	broj	Ncmsan
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
dodjeljuju	dodjeljivati	Vmr3p
besplatno	besplatno	Rgp
svakom	svaki	Pi-nsl
postojećem	postojeći	Agpnsly
postrojenju	postrojenje	Ncnsl
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
razdoblja	razdoblje	Ncnsg
trgovanja	trgovanje	Ncnsg
od	od	Sg
2013.	2013.	Mdo
do	do	Sg
2020.	2020.	Mdo
godine	godina	Ncfsg
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavještava	obavještavati	Vmr3s
Komisiju	komisija	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
10.	10.	Mdo
stavku	stavak	Ncmsl
9.	9.	Mdo
i	i	Cc
članku	članak	Ncmsl
15.	15.	Mdo

Odluke	odluka	Ncfpn
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

20.	20.	Mdo
izrađuje	izrađivati	Vmr3s
i	i	Cc
dostavlja	dostavljati	Vmr3s
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
popis	popis	Ncmsn
operatera	operater	Ncmpg
postojećih	postojeći	Agpnpgy
postrojenja	postrojenje	Ncnpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
15.	15.	Mdo

Odluke	odluka	Ncfpn
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

21.	21.	Mdo
ažurira	ažurirati	Vmr3s
po	po	Sl
potrebi	potreba	Ncfsl
popis	popis	Ncmsn
operatera	operater	Ncmpg
postojećih	postojeći	Agpnpgy
postrojenja	postrojenje	Ncnpg
i	i	Cc
operatora	operator	Ncmpg
zrakoplova	zrakoplov	Ncmsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
odgovarajuću	odgovarajući	Agpfsay
