drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z

Nadzor	nadzor	Ncmsn
nad	nad	Si
ispunjenjem	ispunjenje	Ncnsi
stečajnoga	stečajni	Agpmsgy
plana	plan	Ncmsg

Članak	članak	Ncmsn
346.	346.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
rješenju	rješenje	Ncnsl
o	o	Sl
potvrdi	potvrda	Ncfsl
stečajnoga	stečajni	Agpmsgy
plana	plan	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
njegovo	njegov	Ps3nsn
ispunjenje	ispunjenje	Ncnsn
nadzirati	nadzirati	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
nadzor	nadzor	Ncmsn
određen	određen	Agpmsnn
,	,	Z
nakon	nakon	Sg
zaključenja	zaključenje	Ncnsg
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
nadzirat	nadzirati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
ispunjava	ispunjavati	Vmr3s
li	li	Qq
dužnik	dužnik	Ncmsn
svoje	svoj	Px-fpa
obveze	obveza	Ncfpa
prema	prema	Sl
vjerovnicima	vjerovnik	Ncmpl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
rješenjem	rješenje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
u	u	Sl
rješenju	rješenje	Ncnsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
određeno	odrediti	Appnsny
,	,	Z
nadzor	nadzor	Ncmsn
se	sebe	Px--sa
proteže	protezati	Vmr3s
i	i	Qo
na	na	Sa
ispunjenje	ispunjenje	Ncnsa
tražbina	tražbina	Ncfpg
koje	koji	Pi-fpn
vjerovnici	vjerovnik	Ncmpn
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tim	taj	Pd-nsi
rješenjem	rješenje	Ncnsi
,	,	Z
imaju	imati	Vmr3p
prema	prema	Sl
trgovačkim	trgovački	Agpnply
društvima	društvo	Ncnpl
koja	koji	Pi-npn
su	biti	Var3p
osnovana	osnovati	Appnpny
nakon	nakon	Sg
otvaranja	otvaranje	Ncnsg
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
radi	radi	Sg
preuzimanja	preuzimanje	Ncnsg
ili	ili	Cc
daljnjeg	daljnji	Agpnsgy
vođenja	vođenje	Ncnsg
poduzeća	poduzeće	Ncnsg
ili	ili	Cc
pogona	pogon	Ncmpg
dužnika	dužnik	Ncmpg
(	(	Z
društva	društvo	Ncnsg
preuzimatelji	preuzimatelj	Ncmpn
)	)	Z
.	.	Z

Dužnosti	dužnost	Ncfpn
i	i	Cc
prava	pravo	Ncnsg
stečajnoga	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg

Članak	članak	Ncmsn
347.	347.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadzor	nadzor	Ncmsan
obavljaju	obavljati	Vmr3p
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
i	i	Cc
odbor	odbor	Ncmsan
vjerovnika	vjerovnik	Ncmpg
te	te	Cc
sud	sud	Ncmsn
.	.	Z

U	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
službe	služba	Ncfsg
stečajnoga	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
i	i	Cc
članova	član	Ncmpg
odbora	odbor	Ncmsg
vjerovnika	vjerovnik	Ncmpg
neće	htjeti	Var3s
prestati	prestati	Vmn
zaključenjem	zaključenje	Ncnsi
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

Na	na	Sa
prava	pravo	Ncnpa
i	i	Cc
dužnosti	dužnost	Ncfsl
stečajnoga	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
pravila	pravilo	Ncnpg
o	o	Sl
privremenom	privremen	Agpmsly
stečajnom	stečajni	Agpmsly
upravitelju	upravitelj	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tijekom	tijekom	Sg
trajanja	trajanje	Ncnsg
nadzora	nadzor	Ncmsg
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
odbor	odbor	Ncmsn
vjerovnika	vjerovnik	Ncmpg
,	,	Z
ako	ako	Cs
je	biti	Var3s
osnovan	osnovati	Appmsnn
,	,	Z
i	i	Cc
sud	sud	Ncmsn
jednom	jednom	Rgp
godišnje	godišnje	Rgp
izvijestiti	izvijestiti	Vmn
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
stečajnoga	stečajni	Agpmsgy
plana	plan	Ncmsg
te	te	Cc
o	o	Sl
daljnjim	daljnji	Agpmply
izgledima	izgled	Ncmpl
za	za	Sa
njegovo	njegov	Agpnsay
ispunjenje	ispunjenje	Ncnsa
.	.	Z

Time	taj	Pd-nsi
se	sebe	Px--sa
ne	ne	Qz
utječe	utjecati	Vmr3s
na	na	Sa
pravo	pravo	Ncnsa
odbora	odbor	Ncmpg
vjerovnika	vjerovnik	Ncmpg
i	i	Cc
suda	sud	Ncmsg
da	da	Cs
u	u	Sa
svako	svaki	Pi-nsa
doba	doba	Ncnsa
zahtijevaju	zahtijevati	Vmr3p
pojedine	pojedini	Agpfpay
obavijesti	obavijest	Ncfpa
ili	ili	Cc
podnošenje	podnošenje	Ncnsn
međuizvješća	međuizvješća	Ncfpg
.	.	Z

Podnošenje	podnošenje	Ncnsn
