Osposobljavanje	osposobljavanje	Ncnsn
za	za	Sa
korištenje	korištenje	Ncnsa
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn
u	u	Sl
određenom	određen	Agpmsly
sudu	sud	Ncmsl
organizira	organizirati	Vmr3s
predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
obavlja	obavljati	Vmr3s
najmanje	malo	Rgs
jedanput	jedanput	Rgp
mjesečno	mjesečno	Rgp
nadzor	nadzor	Ncmsan
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn
uvidom	uvid	Ncmsi
u	u	Sa
upravljačka	upravljački	Agpnpay
i	i	Cc
druga	drugi	Mlonpa
izvješća	izvješće	Ncnpa
.	.	Z

O	o	Sl
obavljenom	obaviti	Agpmsly
nadzoru	nadzor	Ncmsl
i	i	Cc
rezultatima	rezultat	Ncmpl
nadzora	nadzor	Ncmpg
te	te	Cc
poduzetim	poduzet	Agpfply
mjerama	mjera	Ncfpl
,	,	Z
predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
sastaviti	sastaviti	Vmn
izvješće	izvješće	Ncnsa
koje	koji	Pi-nsn
će	htjeti	Var3s
uložiti	uložiti	Vmn
u	u	Sl
za	za	Sa
to	taj	Pd-nsa
otvoren	otvoren	Agpmsann
spis	spis	Ncmsan
sudske	sudski	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
pri	pri	Sl
obavljanju	obavljanje	Ncnsl
nadzora	nadzor	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
na	na	Sl
upravljačkim	upravljački	Agpnply
izvješćima	izvješće	Ncnpl
suda	sud	Ncmsg
neopravdano	neopravdano	Rgp
nalaze	nalaziti	Vmr3p
pojedini	pojedini	Agpmpny
predmeti	predmet	Ncmpn
,	,	Z
poduzet	poduzeti	Vmn
će	htjeti	Var3s
mjere	mjera	Ncfsg
da	da	Cs
se	sebe	Px--sa
upravljačka	upravljački	Agpnpny
izvješća	izvješće	Ncnpn
ažuriraju	ažurirati	Vmr3p
,	,	Z
a	a	Cc
ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
,	,	Z
o	o	Sl
tome	taj	Pd-nsl
će	htjeti	Var3s
obavijestiti	obavijestiti	Vmn
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
poslove	posao	Ncmpa
pravosuđa	pravosuđe	Ncnsg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Predsjednik	predsjednik	Ncmsn
višeg	visok	Agcmsgy
suda	sud	Ncmsg
i	i	Cc
od	od	Sg
njega	on	Pp3msg
ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
i	i	Cc
obvezu	obveza	Ncfsa
uvida	uvid	Ncmsg
u	u	Sa
sve	sav	Agpmpay
podatke	podatak	Ncmpa
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn
za	za	Sa
niže	nizak	Agpmpay
sudove	sud	Ncmpa
iz	iz	Sg
područja	područje	Ncnsg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
obavljanju	obavljanje	Ncnsl
nadzora	nadzor	Ncmsg
viši	visok	Agcmsny
sud	sud	Ncmsn
pribavlja	pribavljati	Vmr3s
izvješća	izvješće	Ncnpa
i	i	Cc
druge	drugi	Mlompa
podatke	podatak	Ncmpa
o	o	Sl
radu	rad	Ncmsl
nižih	nizak	Agcmpgy
sudova	sud	Ncmpg
koristeći	koristiti	Rr
se	sebe	Px--sa
sustavom	sustav	Ncmsi
JCMS	JCMS	Npmsn
.	.	Z

Dužnosti	dužnost	Ncfpn
rješavatelja	rješavatelj	Ncmpg
kao	kao	Cs
korisnika	korisnik	Ncmpg
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Rješavatelj	rješavatelj	Ncmsn
zadužen	zadužiti	Appmsnn
za	za	Sa
predmet	predmet	Ncmsan
dužan	dužan	Agpmsann
je	biti	Var3s
nadzirati	nadzirati	Vmn
točnost	točnost	Ncfsa
unesenih	unijeti	Appmpgy
podataka	podatak	Ncmpg
u	u	Sa
sustav	sustav	Ncmsan
JCMS	jcms	Ncmsan
te	te	Cc
poduzimati	poduzimati	Vmn
mjere	mjera	Ncfpa
potrebne	potreban	Agpfpny
za	za	Sa
osiguranje	osiguranje	Ncnsa
točnosti	točnost	Ncfsg
i	i	Cc
ažurnosti	ažurnost	Ncfsg
unesenih	unijeti	Agpmpgy
podataka	podatak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rješavatelj	rješavatelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
obavljati	obavljati	Vmn
uvid	uvid	Ncmsan
u	u	Sa
upravljačka	upravljački	Agpnpay
i	i	Cc
druga	drugi	Mlonpa
izvješća	izvješće	Ncnpa
koja	koji	Pi-npa
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
njegovu	njegov	Ps3fsa
referadu	referada	Ncfsa
te	te	Cc
ako	ako	Cs
se	sebe	Px--sa
utvrde	utvrditi	Vmr3p
nepodudarnosti	nepodudarnost	Ncfsg
obavijestiti	obavijestiti	Vmn
administratora	administrator	Ncmpg
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn
u	u	Sl
sudu	sud	Ncmsl
koji	koji	Pi-msan
će	htjeti	Var3p
poduzeti	poduzeti	Vmn
potrebne	potreban	Agpfpay
mjere	mjera	Ncfpa
za	za	Sa
ispravak	ispravak	Ncmsan
greške	greška	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rješavatelj	rješavatelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
redovito	redovito	Rgp
pratiti	pratiti	Vmn
upozorenja	upozorenje	Ncnpa
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
predmete	predmet	Ncmpa
kojima	koji	Pi-mpi
je	biti	Var3s
zadužen	zadužiti	Appmsnn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rješavatelj	rješavatelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
ažurno	ažuran	Agpnsny
i	i	Cc
točno	točno	Rgp
iskazivati	iskazivati	Vmn
predmet	predmet	Ncmsan
dovršenim	dovršiti	Appmply
u	u	Sl
sustavu	sustav	Ncmsl
JCMS	JCMS	Npmsn
.	.	Z

Dužnosti	dužnost	Ncfpn
sudskog	sudski	Agpmsgy
službenika	službenik	Ncmsg
u	u	Sl
referadi	referada	Ncfsl
kao	kao	Cs
korisnika	korisnik	Ncmpg
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sudski	sudski	Agpmsny
službenik	službenik	Ncmsn
u	u	Sl
referadi	referada	Ncfsl
dužan	dužan	Agpmsnn
je	biti	Var3s
ažurno	ažuran	Agpnsny
,	,	Z
točno	točan	Agpnsny
i	i	Cc
na	na	Sl
za	za	Sa
to	taj	Pd-nsa
predviđeno	predvidjeti	Agpnsay
mjesto	mjesto	Ncnsa
upisivati	upisivati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
događajima	događaj	Ncmpl
u	u	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sudski	sudski	Agpmsny
službenik	službenik	Ncmsn
u	u	Sl
referadi	referada	Ncfsl
dužan	dužan	Agpmsnn
je	biti	Var3s
pravovremeno	pravovremen	Agpnsny
postupati	postupati	Vmn
po	po	Sl
dostavnoj	dostavni	Agpfsly
ili	ili	Cc
drugoj	drugi	Mlofsl
naredbi	naredba	Ncfsl
rješavatelja	rješavatelj	Ncmpg
predmeta	predmet	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sudski	sudski	Agpmsny
službenik	službenik	Ncmsn
u	u	Sl
referadi	referada	Ncfsl
koji	koji	Pi-msn
privremeno	privremeno	Rgp
ili	ili	Cc
povremeno	povremeno	Rgp
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
u	u	Sl
drugoj	drugi	Mlofsl
referadi	referada	Ncfsl
dužan	dužan	Agpmsnn
je	biti	Var3s
prilikom	prilikom	Sg
unosa	unos	Ncmsg
podataka	podatak	Ncmpg
u	u	Sa
sustav	sustav	Ncmsan
JCMS	JCMS	Npfsg
koristiti	koristiti	Vmn
vlastito	vlastit	Agpnsay
korisničko	korisnički	Agpnsay
ime	ime	Ncnsa
i	i	Cc
lozinku	lozinka	Ncfsa
.	.	Z

Dužnosti	dužnost	Ncfpn
službenika	službenik	Ncmpg
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
kao	kao	Cs
korisnika	korisnik	Ncmpg
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
prilikom	prilikom	Sg
osnivanja	osnivanje	Ncnsg
spisa	spis	Ncmsg
u	u	Sa
sustav	sustav	Ncmsan
JCMS	JCMS	Npmsn
ažurno	ažurno	Rgp
i	i	Cc
na	na	Sa
pravilan	pravilan	Agpmsann
način	način	Ncmsan
unositi	unositi	Vmn
točne	točan	Agpfpay
i	i	Cc
potpune	potpun	Agpmpay
podatke	podatak	Ncmpa
te	te	Cc
odgovorno	odgovorno	Rgp
postupati	postupati	Vmn
sa	sa	Si
spisom	spis	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
prilikom	prilikom	Sg
rada	rad	Ncmsg
na	na	Sl
spisu	spis	Ncmsl
u	u	Sl
sustavu	sustav	Ncmsl
JCMS	JCMS	Npmsn
postupati	postupati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
dostavnom	dostavni	Agpmsly
i	i	Cc
drugom	drugi	Mlofsi
naredbom	naredba	Ncfsi
koja	koji	Pi-fsn
je	biti	Var3s
unesena	unijeti	Appfsny
u	u	Sa
sustav	sustav	Ncmsan
JCMS	JCMS	Npmsan
.	.	Z

Dužnosti	dužnost	Ncfpn
službenika	službenik	Ncmpg
pisarnice	pisarnica	Ncfsg
sudske	sudski	Agpfsgy
uprave	uprava	Ncfsg
kao	kao	Cs
korisnika	korisnik	Ncmpg
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Službenik	službenik	Ncmsn
pisarnice	pisarnica	Ncfsg
sudske	sudski	Agpfsgy
uprave	uprava	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
prilikom	prilikom	Sg
osnivanja	osnivanje	Ncnsg
spisa	spis	Ncmsg
u	u	Sa
sustav	sustav	Ncmsan
JCMS	JCMS	Npmsn
ažurno	ažurno	Rgp
i	i	Cc
na	na	Sa
pravilan	pravilan	Agpmsann
način	način	Ncmsan
unositi	unositi	Vmn
točne	točan	Agpfpay
i	i	Cc
potpune	potpun	Agpmpay
podatke	podatak	Ncmpa
te	te	Cc
odgovorno	odgovorno	Rgp
postupati	postupati	Vmn
sa	sa	Si
spisom	spis	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Službenik	službenik	Ncmsn
pisarnice	pisarnica	Ncfsg
sudske	sudski	Agpfsgy
uprave	uprava	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
prilikom	prilikom	Sg
rada	rad	Ncmsg
na	na	Sl
spisu	spis	Ncmsl
u	u	Sl
sustavu	sustav	Ncmsl
JCMS	JCMS	Npmsn
postupati	postupati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
dostavnom	dostavni	Agpmsly
i	i	Cc
drugom	drugi	Mlofsi
naredbom	naredba	Ncfsi
koja	koji	Pi-fsn
je	biti	Var3s
unesena	unijeti	Appfsny
u	u	Sa
sustav	sustav	Ncmsan
JCMS	JCMS	Npmsan
.	.	Z

Dužnosti	dužnost	Ncfpn
i	i	Cc
ovlasti	ovlast	Ncfsl
ključnog	ključan	Agpmsgy
korisnika	korisnik	Ncmsg

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ključni	ključan	Agpmsny
korisnik	korisnik	Ncmsn
je	biti	Var3s
sudac	sudac	Ncmsn
ili	ili	Cc
sudski	sudski	Agpmsny
službenik	službenik	Ncmsn
određenog	određen	Agpmsgy
suda	sud	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
godišnjim	godišnji	Agpmsiy
rasporedom	raspored	Ncmsi
poslova	posao	Ncmpg
raspoređen	rasporediti	Appmsnn
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
ključnog	ključan	Agpmsgy
korisnika	korisnik	Ncmsg
na	na	Sl
tom	taj	Pd-msl
sudu	sud	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
