stožeru	stožer	Ncmsd
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
i	i	Cc
Upravi	uprava	Ncfsl
za	za	Sa
ljudske	ljudski	Agpmpay
resurse	resurs	Ncmpa
.	.	Z

VII	vii	Mrc
.	.	Z

LETAČKI	letački	Agpmpny
ZNACI	znak	Ncmpn
I	i	Cc
KNJIŽICE	knjižica	Ncfpn

Članak	članak	Ncmsn
35.	35.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vojnim	vojni	Agpmpiy
letačima	letač	Ncmpi
zvanja	zvanje	Ncnsg
vojnog	vojni	Agpmsgy
pilota	pilot	Ncmsg
,	,	Z
navigatora	navigator	Ncmpg
i	i	Cc
tehničara-letača	tehničara-letač	Ncmpg
uz	uz	Sa
rješenje	rješenje	Ncnsa
o	o	Sl
stečenom	steći	Agpnsly
letačkom	letački	Agpnsly
zvanju	zvanje	Ncnsl
dodjeljuje	dodjeljivati	Vmr3s
se	sebe	Px--sa
odgovarajući	odgovarajući	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
te	taj	Pd-fsg
izdaje	izdaja	Ncfsg
Knjižica	knjižica	Ncfsn
letenja	letenje	Ncnsg
i	i	Cc
Knjižica	knjižica	Ncfsn
evidencije	evidencija	Ncfsg
naleta	nalet	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Učeniku	učenik	Ncmsl
letaču	letač	Ncmsd
se	sebe	Px--sa
pri	pri	Sl
upućivanju	upućivanje	Ncnsl
na	na	Sa
letačku	letački	Agpfsay
izobrazbu	izobrazba	Ncfsa
izdaje	izdavati	Vmr3s
samo	samo	Rgp
Knjižica	knjižica	Ncfsn
evidencije	evidencija	Ncfsg
naleta	nalet	Ncmpg
.	.	Z

Letački	letački	Agpmpny
znaci	znak	Ncmpn

Članak	članak	Ncmsn
36.	36.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Letački	letački	Agpmpny
znaci	znak	Ncmpn
su	biti	Var3p
:	:	Z

–	–	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
pilota	pilot	Ncmsg

–	–	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
navigatora	navigator	Ncmsg

–	–	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
tehničara-letača	tehničara-letač	Ncmsg

–	–	Agpmsny
zlatni	zlatan	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
pilota	pilot	Ncmsg

–	–	Agpmsny
počasni	počasni	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zlatni	zlatan	Agpmsny
letački	letački	Agpmsny
znak	znak	Ncmsn
pilota	pilot	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
dodijeliti	dodijeliti	Vmn
pilotu	pilot	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
završio	završiti	Vmp-sm
treći	treći	Mlomsan
stupanj	stupanj	Ncmsan
letačke	letački	Agpfsgy
obuke	obuka	Ncfsg
