C	C	Npmsn
–	–	Z
I.	I.	Mro

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Lučka	lučki	Agpfsny
uprava	uprava	Ncfsn
može	moći	Vmr3s
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
stanju	stanje	Ncnsl
na	na	Sl
tržištu	tržište	Ncnsl
lučkih	lučki	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
konkurentnost	konkurentnost	Ncfsa
luke	luka	Ncfsg
,	,	Z
revidirati	revidirati	Vmn
visinu	visina	Ncfsa
varijabilnog	varijabilan	Agpmsgy
dijela	dio	Ncmsg
naknade	naknada	Ncfsg
za	za	Sa
koncesiju	koncesija	Ncfsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
procijenjenu	procijeniti	Ncmsl
vrijednost	vrijednost	Ncfsn
koncesije	koncesija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Promjena	promjena	Ncfsn
visine	visina	Ncfsg
naknade	naknada	Ncfsg
za	za	Sa
koncesiju	koncesija	Ncfsa
koja	koji	Pi-fsn
može	moći	Vmr3s
proisteći	proisteći	Vmn
iz	iz	Sg
postupka	postupak	Ncmsg
navedenog	navesti	Appmsgy
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
usklađena	uskladiti	Appfsny
s	sa	Si
dokumentacijom	dokumentacija	Ncfsi
za	za	Sa
nadmetanje	nadmetanje	Ncnsa
,	,	Z
odlukom	odluka	Ncfsi
o	o	Sl
davanju	davanje	Ncnsl
koncesije	koncesija	Ncfsg
te	te	Cc
predviđena	predvidjeti	Appfsny
ugovorom	ugovor	Ncmsi
o	o	Sl
koncesiji	koncesija	Ncfsl
.	.	Z

Ostali	ostali	Agpmpny
kriteriji	kriterij	Ncmpn
za	za	Sa
dodjelu	dodjela	Ncfsa
koncesija	koncesija	Ncfpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
lučkih	lučki	Agpfpgy
usluga	usluga	Ncfpg

Članak	članak	Ncmsn
8.	8.	Mdo

U	u	Sl
okviru	okvir	Ncmsl
ponude	ponuda	Ncfsg
za	za	Sa
koncesiju	koncesija	Ncfsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
lučkih	lučki	Agpfpgy
usluga	usluga	Ncfpg
u	u	Sl
javnim	javan	Agpfply
lukama	luka	Ncfpl
i	i	Cc
javnim	javan	Agpnply
pristaništima	pristanište	Ncnpl
,	,	Z
ponuditelj	ponuditelj	Ncmsn
treba	trebati	Vmr3s
dostaviti	dostaviti	Vmn
