visinu	visina	Ncfsa
teretne	teretan	Agpfsgy
vodne	vodni	Agpfsgy
linije	linija	Ncfsg
čamca	čamac	Ncmsg
za	za	Sa
gospodarske	gospodarski	Agpfpay
namjene	namjena	Ncfpa
;	;	Z
proizvođač	proizvođač	Ncmsn
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
godina	godina	Ncfpg
gradnje	gradnja	Ncfsg
,	,	Z
materijal	materijal	Ncmsn
gradnje	gradnja	Ncfsg
,	,	Z
područje	područje	Ncnsn
plovidbe	plovidba	Ncfsg
,	,	Z
najveći	velik	Agsmsayn
dopušteni	dopustiti	Agpmsayn
broj	broj	Ncmsan
osoba	osoba	Ncfpg
,	,	Z
najveći	velik	Agsmsayn
dopušteni	dopustiti	Agpmsayn
broj	broj	Ncmsan
putnika	putnik	Ncmpg
,	,	Z
namjena	namjena	Ncfsn
čamca	čamac	Ncmsg
i	i	Cc
precizna	precizan	Agpfsny
namjena	namjena	Ncfsn
kod	kod	Sg
čamaca	čamac	Ncmpg
za	za	Sa
gospodarske	gospodarski	Agpfpay
namjene	namjena	Ncfpa
,	,	Z
vrsta	vrsta	Ncfsn
pogona	pogon	Ncmpg
)	)	Z
;	;	Z

6.	6.	Mdo
podaci	podatak	Ncmpn
o	o	Sl
porivnim	porivni	Agpmply
strojevima	stroj	Ncmpl
(	(	Z
proizvođač	proizvođač	Ncmsn
,	,	Z
tip	tip	Ncmsn
,	,	Z
model	model	Ncmsn
,	,	Z
vrsta	vrsta	Ncfsn
i	i	Cc
ukupan	ukupan	Agpmsnn
broj	broj	Ncmsn
porivnih	porivni	Agpmpgy
strojeva	stroj	Ncmpg
,	,	Z
tvornički	tvornički	Agpmsny
broj	broj	Ncmsn
/	/	Z
brojevi	broj	Ncmpn
i	i	Cc
snaga	snaga	Ncfsn
pojedinih	pojedini	Agpmpgy
porivnih	porivni	Agpmpgy
strojeva	stroj	Ncmpg
)	)	Z
;	;	Z

7.	7.	Mdo
oprema	oprema	Ncfsn
čamca	čamac	Ncmsg
;	;	Z

8.	8.	Mdo
najmanji	mali	Agsmsayn
broj	broj	Ncmsan
članova	član	Ncmpg
posade	posada	Ncfsg
potreban	potreban	Agpmsnn
