biti	biti	Van
upisan	upisati	Appmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
upis	upis	Ncmsan
brodice	brodica	Ncfsg
u	u	Sa
upisnik	upisnik	Ncmsan
čamaca	čamac	Ncmpg
podnositelj	podnositelj	Ncmsn
prilaže	prilagati	Vmr3s
dozvolu	dozvola	Ncfsa
za	za	Sa
plovidbu	plovidba	Ncfsa
brodice	brodica	Ncfsg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
dozvola	dozvola	Ncfsn
za	za	Sa
plovidbu	plovidba	Ncfsa
brodice	brodica	Ncfsg
uništena	uništiti	Appfsny
ili	ili	Cc
izgubljena	izgubiti	Appfsny
,	,	Z
lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
/	/	Z
ispostava	ispostava	Ncfsn
postupiti	postupiti	Vmn
će	htjeti	Var3s
sukladno	sukladan	Agpnsny
članku	članak	Ncmsd
48.	48.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
/	/	Z
ispostava	ispostava	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
od	od	Sg
lučke	lučki	Agpfsgy
kapetanije	kapetanija	Ncfsg
/	i	Agpfsgy
ispostave	ispostava	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
brodica	brodica	Ncfsn
upisana	upisati	Appfsny
dostavu	dostava	Ncfsa
zbirke	zbirka	Ncfsg
isprava	isprava	Ncfsn
predmetne	predmetni	Agpfsgy
brodice	brodica	Ncfsg
radi	radi	Sg
upisa	upis	Ncmsg
brodice	brodica	Ncfsg
u	u	Sa
upisnik	upisnik	Ncmsan
