provode	provoditi	Vmr3p
se	sebe	Px--sa
posebni	poseban	Agpmpny
studijski	studijski	Agpmpny
programi	program	Ncmpn
za	za	Sa
potrebe	potreba	Ncfpa
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
u	u	Sa
okvire	okvir	Ncmpa
kojih	koji	Pi-mpg
je	biti	Var3s
ugrađen	ugraditi	Appmsnn
i	i	Cc
program	program	Ncmsn
obuke	obuka	Ncfsg
za	za	Sa
kadete	kadet	Ncmpa
i	i	Cc
program	program	Ncmsan
osposobljavanja	osposobljavanje	Ncnsg
za	za	Sa
časnike	časnik	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
provedbu	provedba	Ncfsa
studijskih	studijski	Agpmpgy
programa	program	Ncmpg
za	za	Sa
potrebe	potreba	Ncfpa
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
na	na	Sl
Hrvatskom	hrvatski	Agpnsly
vojnom	vojni	Agpnsly
učilištu	učilište	Ncnsl
ustrojavaju	ustrojavati	Vmr3p
se	sebe	Px--sa
suradnička	suradnički	Agpfsny
,	,	Z
znanstvena	znanstven	Agpfsny
,	,	Z
nastavna	nastavni	Agpfsny
i	i	Cc
znanstveno-nastavna	znanstveno-nastavan	Agpnpay
ustrojbena	ustrojbeni	Agpnpay
mjesta	mjesto	Ncnpa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zakonom	zakon	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
znanstvena	znanstven	Agpfsny
djelatnost	djelatnost	Ncfsn
i	i	Cc
visoko	visok	Agpnsay
obrazovanje	obrazovanje	Ncnsa
te	te	Cc
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
22.	22.	Mdo

U	u	Sl
članku	članak	Ncmsl
79.	79.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
4.	4.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
3.	3.	Mdo

U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
stavku	stavak	Ncmsl
5.	5.	Mdo
,	,	Z
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
4.	4.	Mdo
,	,	Z
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
u	u	Sl
određenom	određen	Agpnsly
funkcionalnom	funkcionalan	Agpnsly
području	područje	Ncnsl
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
6.	6.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
5.	5.	Mdo

Iza	iza	Sg
dosadašnjeg	dosadašnji	Agpmsgy
stavka	stavak	Ncmsg
7.	7.	Mdo
,	,	Z
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
6.	6.	Mdo
,	,	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
7.	7.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
7	7	Mdc
)	)	Z
Način	način	Ncmsan
provedbe	provedba	Ncfsg
te	taj	Pd-fsg
vrste	vrsta	Ncfsg
i	i	Cc
razine	razina	Ncfsg
vojne	vojni	Agpfsgy
izobrazbe	izobrazba	Ncfsg
pričuvnih	pričuvni	Agpmpgy
dočasnika	dočasnik	Ncmpg
i	i	Cc
časnika	časnik	Ncmpg
propisuju	propisivati	Vmr3p
se	sebe	Px--sa
pravilnikom	pravilnik	Ncmsi
koji	koji	Pi-msn
donosi	donositi	Vmr3s
ministar	ministar	Ncmsn
obrane	obrana	Ncfsg
na	na	Sa
prijedlog	prijedlog	Ncmsan
načelnika	načelnik	Ncmsg
Glavnog	glavni	Agpmsgy
stožera	stožer	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
23.	23.	Mdo

U	u	Sl
članku	članak	Ncmsl
82.	82.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
navršava	navršavati	Vmr3s
36	36	Mdc
godina	godina	Ncfpg
života	život	Ncmsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
navršava	navršavati	Vmr3s
33	33	Mdc
godine	godina	Ncfsg
života	život	Ncmsg
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
navršava	navršavati	Vmr3s
44	44	Mdc
godine	godina	Ncfsg
života	život	Ncmsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
navršava	navršavati	Vmr3s
41	41	Mdc
godinu	godina	Ncfsa
života	život	Ncmsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

U	u	Sl
članku	članak	Ncmsl
84.	84.	Mdo
na	na	Sl
kraju	kraj	Ncmsl
stavka	stavak	Ncmsg
3.	3.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
rečenica	rečenica	Ncfsn
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Na	na	Sa
treću	treći	Mlofsa
razinu	razina	Ncfsa
slijedno-rastuće	slijedno-rastući	Agpfsgy
časničke	časnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
uputiti	uputiti	Vmn
satnik	satnik	Ncmsn
/	/	Z
poručnik	poručnik	Ncmsn
bojnog	bojni	Agpmsgy
broda	brod	Ncmsg
,	,	Z
najkasnije	kasno	Rgs
u	u	Sl
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
navršava	navršavati	Vmr3s
45	45	Mdc
godina	godina	Ncfpg
života	život	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Na	na	Sl
kraju	kraj	Ncmsl
stavka	stavak	Ncmsg
4.	4.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
rečenica	rečenica	Ncfsn
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Na	na	Sa
četvrtu	četvrti	Mlofsa
razinu	razina	Ncfsa
slijedno-rastuće	slijedno-rastući	Agpfsgy
časničke	časnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
uputiti	uputiti	Vmn
pukovnik	pukovnik	Ncmsn
/	/	Z
kapetan	kapetan	Ncmsn
fregate	fregata	Ncfsg
,	,	Z
najkasnije	kasno	Rgs
u	u	Sl
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
navršava	navršavati	Vmr3s
47	47	Mdc
godina	godina	Ncfpg
života	život	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
6.	6.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
6	6	Mdc
)	)	Z
Časnici	časnik	Ncmpn
službi	služba	Ncfpg
i	i	Cc
struka	struka	Ncfpg
u	u	Sl
pravilu	pravilo	Ncnsl
se	sebe	Px--sa
upućuju	upućivati	Vmr3p
na	na	Sa
prvu	prvi	Mlofsa
i	i	Cc
drugu	drugi	Mlofsa
razinu	razina	Ncfsa
slijedno-rastuće	slijedno-rastući	Agpfsgy
časnike	časnik	Agpfsgy
izobrazbe	izobrazba	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

U	u	Sl
članku	članak	Ncmsl
89.	89.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
podstavak	podstavak	Ncmsn
1.	1.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
–	–	Z
za	za	Sa
kadete	kadet	Ncmpa
:	:	Z

ČIN	čin	Ncmsn
KRATICA	kratica	Ncfpg

kadet	kadet	Ncmsn
k	k	Sd

kadet	kadet	Ncmsn
skupnik	skupnik	Ncmsn
ks	ka	Ncfsg

kadet	kadet	Ncmsn
desetnik	desetnik	Ncmsn
kd	ka	Ncfsg

kadet	kadet	Ncmsn
narednik	narednik	Ncmsn
kn	KN	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmpny
podstavci	podstavak	Ncmpn
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
postaju	postati	Vmr3p
podstavci	podstavak	Ncmpn
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo

U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
podstavku	podstavak	Ncmsl
3.	3.	Mdo
,	,	Z
koji	koji	Pi-msn
postaje	postajati	Vmr3s
podstavak	podstavak	Ncmsan
4.	4.	Mdo
,	,	Z
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
stožerni	stožerni	Agpmsny
narednik	narednik	Ncmsn
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
stožerni	stožerni	Agpmsny
narednik	narednik	Ncmsn
vojni	vojni	Agpmsny
specijalist	specijalist	Ncmsn
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
podstavak	podstavak	Ncmsn
4.	4.	Mdo
postaje	postajati	Vmr3s
podstavak	podstavak	Ncmsan
5.	5.	Mdo

U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
podstavku	podstavak	Ncmsl
5.	5.	Mdo
,	,	Z
koji	koji	Pi-msn
postaje	postajati	Vmr3s
podstavak	podstavak	Ncmsan
6.	6.	Mdo
,	,	Z
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
bojnik	bojnik	Ncmsn
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
bojnik	bojnik	Ncmsn
vojni	vojni	Agpmsny
specijalist	specijalist	Ncmsn
«	«	Z
,	,	Z
a	a	Cc
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
kapetan	kapetan	Ncmsn
korvete	korveta	Ncfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
kapetan	kapetan	Ncmsn
korvete	korveta	Ncfsg
vojni	vojni	Agpmsny
specijalist	specijalist	Ncmsn
«	«	Z
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

U	u	Sl
članku	članak	Ncmsl
91.	91.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
podstavku	podstavak	Ncmsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
ako	ako	Cs
nije	biti	Var3s
kažnjena	kazniti	Appfsny
za	za	Sa
stegovni	stegovni	Agpmsayn
prijestup	prijestup	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
je	biti	Var3s
stegovna	stegovni	Agpfsny
sankcija	sankcija	Ncfsn
brisana	brisati	Appfsny
iz	iz	Sg
evidencije	evidencija	Ncfsg
i	i	Cc
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
ako	ako	Cs
u	u	Sa
zadnje	zadnji	Agpfpay
tri	tri	Mlc
godine	godina	Ncfsg
nije	biti	Var3s
kažnjena	kazniti	Appfsny
za	za	Sa
stegovni	stegovni	Agpmsayn
prijestup	prijestup	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
«	«	Z
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
92.	92.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
naslov	naslov	Ncmsn
i	i	Cc
članak	članak	Ncmsn
92.	92.	Mdo
a	a	Cc
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
Dodjela	dodjela	Ncfsn
čina	čin	Ncmsg
kadetima	kadet	Ncmpd

Članak	članak	Ncmsn
92.	92.	Mdo
a	a	Cc

(	(	Z
1	1	Mdc
)	)	Z
Sklapanjem	sklapanje	Ncnsi
ugovora	ugovor	Ncmsg
o	o	Sl
kadetskoj	kadetski	Agpfsly
službi	služba	Ncfsl
osobi	osoba	Ncfsl
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
čin	čin	Ncmsn
kadeta	kadet	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Završetkom	završetak	Ncmsi
prve	prvi	Mlofsg
godine	godina	Ncfsg
studija	studij	Ncmsg
kadetu	kadet	Ncmsd
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
čin	čin	Ncmsn
kadeta	kadet	Ncmsg
skupnika	skupnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Završetkom	završetak	Ncmsi
druge	drugi	Mlofsg
godine	godina	Ncfsg
studija	studij	Ncmsg
kadetu	kadet	Ncmsd
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
čin	čin	Ncmsn
kadeta	kadet	Ncmsg
desetnika	desetnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Završetkom	završetak	Ncmsi
treće	treći	Mlofsg
godine	godina	Ncfsg
studija	studij	Ncmsg
kadetu	kadet	Ncmsd
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
čin	čin	Ncmsn
kadeta	kadet	Ncmsg
narednika	narednik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Načelnik	načelnik	Ncmsn
Glavnog	glavni	Agpmsgy
stožera	stožer	Ncmsg
ili	ili	Cc
osoba	osoba	Ncfsn
koju	koji	Pi-fsa
on	on	Pp3msn
ovlasti	ovlast	Ncfsg
osobama	osoba	Ncfpd
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dodjeljuje	dodjeljivati	Vmr3s
čin	čin	Ncmsan
kadeta	kadet	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
28.	28.	Mdo

U	u	Sl
članku	članak	Ncmsl
97.	97.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
3.	3.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
2.	2.	Mdo

Članak	članak	Ncmsn
29.	29.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
97.	97.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
97.	97.	Mdo
a	a	Cc
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
97.	97.	Mdo
a	a	Cc

