umirovljenje	umirovljenje	Ncnsn
djelatnih	djelatan	Agpfpgy
vojnih	vojni	Agpfpgy
osoba	osoba	Ncfpg
.	.	Z

Članak	članak	Ncmsn
59.	59.	Mdo

Dočasnika	dočasnik	Ncmpg
i	i	Cc
časnika	časnik	Ncmpg
iz	iz	Sg
članaka	članak	Ncmpg
226.	226.	Mdo
i	i	Cc
227.	227.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
službi	služba	Ncfsl
u	u	Sl
Oružanim	oružan	Agpfply
snagama	snaga	Ncfpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/13.	73/13.	Mds
)	)	Z
moguće	moguć	Agpnsny
je	biti	Var3s
uputiti	uputiti	Vmn
na	na	Sa
vojnu	vojni	Agpfsay
izobrazbu	izobrazba	Ncfsa
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2015.	2015.	Mdo
,	,	Z
odnosno	odnosno	Rgp
moguće	moguć	Agpnsny
je	biti	Var3s
promaknuti	promaknuti	Vmn
jednom	jednom	Rgp
u	u	Sa
viši	visok	Agcmsayn
čin	čin	Ncmsan
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2016.	2016.	Mdo

Članak	članak	Ncmsn
60.	60.	Mdo

Dočasnici	dočasnik	Ncmpn
i	i	Cc
časnici	časnik	Ncmpn
stariji	star	Agcmsny
od	od	Sg
godina	godina	Ncfpg
života	život	Ncmsg
propisanih	propisati	Agpmpgy
odredbama	odredba	Ncmpg
Zakona	zakon	Ncmpg
o	o	Sl
službi	služba	Ncfsl
u	u	Sl
Oružanim	oružan	Agpfply
snagama	snaga	Ncfpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/13.	73/13.	Mds
)	)	Z
potrebnim	potreban	Agpmsiy
za	za	Sa
promaknuće	promaknuće	Ncnsa
u	u	Sa
viši	visok	Agcmsayn
čin	čin	Ncmsan
koji	koji	Pi-msan
su	biti	Var3p
zatečeni	zateći	Appmpny
u	u	Sl
službi	služba	Ncfsl
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mogu	moći	Vmr3p
se	sebe	Px--sa
jedanput	jedanput	Rgp
promaknuti	promaknuti	Vmn
u	u	Sa
viši	visok	Agpmsann
čin	čin	Ncmsan
ako	ako	Cs
ispunjavaju	ispunjavati	Vmr3p
ostale	ostali	Agpmpay
uvjete	uvjet	Ncmpa
za	za	Sa
promaknuće	promaknuće	Ncnsa
propisane	propisati	Appfsgy
navedenim	naveden	Agpmsiy
Zakonom	zakon	Ncmsi
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2016.	2016.	Mdo

Članak	članak	Ncmsn
61.	61.	Mdo

Djelatnim	djelatan	Agpmpiy
vojnicima	vojnik	Ncmpi
/		Agpmpiy
mornarima	mornar	Ncmpi
koji	koji	Pi-mpn
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
imaju	imati	Vmr3p
sklopljen	sklopiti	Appmsnn
prvi	prvi	Mlomsn
ugovor	ugovor	Ncmsn
o	o	Sl
vojničkoj	vojnički	Agpfsly
službi	služba	Ncfsl
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
ponudit	ponuditi	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
produljenje	produljenje	Ncnsn
ugovora	ugovor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
do	do	Sg
četiri	četiri	Mlc
godine	godina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
62.	62.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Djelatne	djelatan	Agpfpny
vojne	vojni	Agpfpny
osobe	osoba	Ncfpn
kojima	koji	Pi-fpi
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
stanovanje	stanovanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
službi	služba	Ncfsl
u	u	Sl
Oružanim	oružan	Agpfply
snagama	snaga	Ncfpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/13.	73/13.	Mds
)	)	Z
nastavljaju	nastavljati	Vmr3p
koristiti	koristiti	Vmn
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
stanovanje	stanovanje	Ncnsa
do	do	Sg
donošenja	donošenje	Ncnsg
odluka	odluka	Ncfpg
u	u	Sl
