smjeru	smjer	Ncmsd
.	.	Z

Članak	članak	Ncmsn
56.	56.	Mdo

Prvi	prvi	Mlomsn
razdjel	razdjel	Ncmsn
zapovijedi	zapovijed	Ncfsg
za	za	Sa
okret	okret	Ncmsan
čelom	čelo	Ncnsi
nazad	nazad	Rgp
u	u	Sl
kretanju	kretanje	Ncnsl
»	»	Z
Čelom	čelo	Ncnsi
–	–	Z
na	na	Sl
–		Npmsl
ZAD	ZA	Npmsl
«	«	Z
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
pod	pod	Si
lijevom	lijevi	Agpfsiy
nogom	noga	Ncfsi
.	.	Z

Okret	okret	Ncmsn
čelom	čelo	Ncnsi
nazad	nazad	Rgp
izvodi	izvoditi	Vmr3s
se	sebe	Px--sa
u	u	Sa
tri	tri	Mlc
razdjela	razdjel	Ncmsg
:	:	Z

Prvi	prvi	Mlomsn
razdjel	razdjel	Ncmsn
–	–	Z
na	na	Sa
izvršni	izvršan	Agpmsayn
dio	dio	Ncmsan
zapovijedi	zapovijed	Ncfsg
pod	pod	Si
lijevom	lijevi	Agpfsiy
nogom	noga	Ncfsi
iskorači	iskoračiti	Vmr3s
se	sebe	Px--sa
polukorak	polukorakti	Vmr3s
desnom	desni	Agpfsiy
nogom	noga	Ncfsi
s	sa	Si
osloncem	oslonac	Ncmsi
na	na	Sa
prednji	prednji	Agpmsayn
dio	dio	Ncmsan
stopala	stopalo	Ncnsg
.	.	Z

Drugi	drugi	Mlomsn
razdjel	razdjel	Ncmsn
–	–	Z
okrene	okrenuti	Vmr3s
se	sebe	Px--sa
hitro	hitro	Rgp
na	na	Sl
prstima	prst	Ncmpl
obiju	obiti	Vmr3p
nogu	noga	Ncfsa
i	i	Cc
nakon	nakon	Sg
okreta	okret	Ncmsg
se	sebe	Px--sa
težina	težina	Ncfsn
prenosi	prenositi	Vmr3s
na	na	Sa
lijevu	lijevi	Agpfsay
nogu	noga	Ncfsa
.	.	Z

Treći	treći	Mlomsn
razdjel	razdjel	Ncmsn
–	–	Z
iskorači	iskoračiti	Vmr3s
se	sebe	Px--sa
desnom	desni	Agpfsiy
nogom	noga	Ncfsi
i	i	Cc
nastavi	nastaviti	Vmr3s
kretanje	kretanje	Ncnsa
.	.	Z

Pri	pri	Sl
okretu	okret	Ncmsl
se	sebe	Px--sa
ruke	ruka	Ncfpn
prislone	prisloniti	Vmr3p
uz	uz	Sa
tijelo	tijelo	Ncnsa
.	.	Z

III	III	Mrc
.	.	Z

POZDRAVLJANJE	pozdravljanje	Ncnsn
I	i	Cc
PRILAŽENJE	prilaženje	Ncnsn
ČASNIKU	časnik	Ncmsd
I	i	Cc
DOČASNIKU	dočasnik	Ncmsl

1.	1.	Mdo
POZDRAVLJANJE	pozdravljanje	Ncnsn

Članak	članak	Ncmsn
57.	57.	Mdo

