Prostor	prostor	Ncmsn
rodne	rodan	Agpfsgy
i	i	Cc
medijske	medijski	Agpfsgy
kulture	kultura	Ncfsg
K-zona	K-zon	Npmsg
170.000,00	170.000,00	Mdc
90	90	Mdc
71.330,44	71.330,4i	Agpnsny
Poticanje	poticanje	Ncnsn
razvoja	razvoj	Ncmsg
svijesti	svijest	Ncfsg
o	o	Sl
ravnopravnosti	ravnopravnost	Ncfsl
spolova	spol	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
najviših	visok	Ncfpg
vrednota	vrednota	Ncfpg
ustavnoga	ustavan	Agpmsgy
poretka	poredak	Ncmsg
Rodna	rodan	Agpfsny
prizma	prizma	Ncfsn
za	za	Sa
ravnopravnije	ravnopravan	Agcnsay
društvo	društvo	Ncnsa
170.000,00	170.000,00	Mdc
90	90	Mdc
71.330,44	71.330,44	Mdc
Udruga	udruga	Ncfsn
Nogomet	nogomet	Ncmsn
Plus	plus	Ncmsn
170.000,00	170.000,00	Mdc
82	82	Mdc
64.989,95	64.989,95	Mdc
Ostvarivanje	ostvarivanje	Ncnsn
prava	pravo	Ncnsg
građana	građanin	Ncmpg
na	na	Sa
javno	javan	Agpnsay
informiranje	informiranje	Ncnsa
Ilegalne	ilegalan	Agpfsgy
potpore	potpora	Ncfsg
u	u	Sl
sportu	sport	Ncmsl
,	,	Z
»	»	Z
legalne	legalan	Agpfsgy
potpore	potpora	Ncfsg
«	«	Z
u	u	Sl
diskriminaciji	diskriminacija	Ncfsl
170.000,00	170.000,00	Mdc
82	82	Mdc
64.989,95	64.989,95	Mdc
Udruga	udruga	Ncfpg
za	za	Sa
nezavisnu	nezavisan	Agpfsay
medijsku	medijski	Agpfsay
kulturu	kultura	Ncfsa
170.000,00	170.000,00	Mdc
95	95	Mdc
75.293,24	75.293,2i	Agpnsny
Poticanje	poticanje	Ncnsn
razvoja	razvoj	Ncmsg
svijesti	svijest	Ncfsg
o	o	Sl
ravnopravnosti	ravnopravnost	Ncfsl
spolova	spol	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
najviših	visok	Ncfpg
vrednota	vrednota	Ncfpg
ustavnoga	ustavan	Agpmsgy
poretka	poredak	Ncmsg
Vladavina	vladavina	Ncfsn
prava	pravo	Ncnsg
170.000,00	170.000,00	Mdc
95	95	Mdc
75.293,24	75.293,24	Mdc
Udruga	udruga	Ncfpg
za	za	Sa
promicanje	promicanje	Ncnsa
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
medijske	medijski	Agpfsgy
kulture	kultura	Ncfsg
i	i	Cc
razmjene	razmjena	Ncfsg
informacija	informacija	Ncfpg
–	–	Z
TRIS	TRIS	Npmsn
170.000,00	170.000,00	Mdc
100	100	Mdc
79.256,04	79.256,04	Mdc
Ostvarivanje	ostvarivanje	Ncnsn
prava	pravo	Ncnsg
građana	građanin	Ncmpg
na	na	Sa
javno	javan	Agpnsay
informiranje	informiranje	Ncnsa
Ljudi	čovjek	Ncmpg
II	ii	Mrc
170.000,00	170.000,00	Mdc
100	100	Mdc
79.256,04	79.256,0	Aspfsny
Udruga	udruga	Ncfsn
za	za	Sa
promicanje	promicanje	Ncnsa
filmske	filmski	Agpfsgy
kulture	kultura	Ncfsg
i	i	Cc
filmskog	filmski	Agpnsgy
izdavaštva	izdavaštvo	Ncnsg
FILM	film	Ncmsan
I	i	Cc
DOBRO	dobro	Rgp
134.000,00	134.000,00	Mdc
80	80	Mdc
49.977,93	49.977,93	Mdc
Razvoj	razvoj	Ncmsn
umjetnosti	umjetnost	Ncfsg
Nova	nov	Agpfsny
autorska	autorski	Agpfsny
kritika	kritika	Ncfsn
134.000,00	134.000,00	Mdc
80	80	Mdc
49.977,93	49.977,93	Mdc
Udruga	udruga	Ncfpg
za	za	Sa
promicanje	promicanje	Ncnsa
medijske	medijski	Agpfsgy
kulture	kultura	Ncfsg
,	,	Z
umjetnosti	umjetnost	Ncfsg
i	i	Cc
tolerancije	tolerancija	Ncfsg
Lupiga	Lupi	Npmsg
–	–	Z
svijet	svijet	Ncmsan
kroz	kroz	Sa
obične	običan	Agpfpay
oči	oko	Ncfpa
170.000,00	170.000,00	Mdc
94	94	Mdc
74.500,68	74.500,6i	Agpnsny
Poticanje	poticanje	Ncnsn
razvoja	razvoj	Ncmsg
svijesti	svijest	Ncfsg
o	o	Sl
ravnopravnosti	ravnopravnost	Ncfsl
spolova	spol	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
najviših	visok	Ncfpg
vrednota	vrednota	Ncfpg
ustavnoga	ustavan	Agpmsgy
poretka	poredak	Ncmsg
Ustavne	ustavan	Agpfsgy
vrednote	vrednota	Ncfsg
u	u	Sa
doba	doba	Ncnsa
krize	kriza	Ncfsg
170.000,00	170.000,0i	Agpnsny
94	94	Mdc
74.500,68	74.500,68	Mdc
Udruga	udruga	Ncfpg
za	za	Sa
promicanje	promicanje	Ncnsa
vizualnih	vizualan	Agpfpgy
umjetnosti	umjetnost	Ncfpg
i	i	Cc
kulturnu	kulturan	Agpfsay
djelatnost	djelatnost	Ncfsa
–	–	Z
Vizkultura	Vizkultura	Npmsn
120.000,00	120.000,00	Mdc
90	90	Mdc
50.350,90	50.350,90	Mdc
Razvoj	razvoj	Ncmsn
umjetnosti	umjetnost	Ncfsg
Vizkulturiranje	vizkulturiranje	Ncnsg
društva	društvo	Ncnsg
120.000,00	120.000,00	Mdc
90	90	Mdc
50.350,90	50.350,90	Mdc
Udruga	udruga	Ncfpg
ZG	ZG	Y
–	–	Z
za	za	Sa
promicanje	promicanje	Ncnsa
proizvodnih	proizvodni	Agpfpgy
djelatnosti	djelatnost	Ncfpg
,	,	Z
turizma	turizam	Ncmsg
i	i	Cc
samozapošljavanja	samozapošljavanje	Ncnsg
28.111,29	28.111,29	Mdc
85	85	Mdc
11.139,95	11.139,95	Mdc
Razvoj	razvoj	Ncmsan
znanosti	znanost	Ncfsg
Znanost	znanost	Ncfsn
i	i	Cc
mi	mi	Pp1-pn
28.111,29	28.111,29	Mdc
85	85	Mdc
11.139,95	11.139,95	Mdc
Ukupno	ukupno	Rgp
2.372.902,65	2.372.902,65	Mdc
1.314	1.314	Mdc
972.000,84	972.000,84	Mdc

Neprofitnim	neprofitan	Agpmpiy
proizvođačima	proizvođač	Ncmpi
audiovizualnog	audiovizualan	Agpmsgy
programa	program	Ncmsg
dodijeljena	dodijeliti	Appnpny
su	biti	Var3p
sredstva	sredstvo	Ncnpn
Fonda	fond	Ncmsg
za	za	Sa
poticanje	poticanje	Ncnsa
pluralizma	pluralizam	Ncmsg
i	i	Cc
