njihova	njihov	Ps3fsn
dodatnog	dodatan	Agpnsgy
individualnog	individualan	Agpnsgy
profesionalnog	profesionalan	Agpnsgy
osiguranja	osiguranje	Ncnsg
za	za	Sa
štetu	šteta	Ncfsa
koju	koji	Pi-fsa
bi	biti	Vaa3s
obavljanjem	obavljanje	Ncnsi
poslova	posao	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
djelatnosti	djelatnost	Ncfpg
mogli	moći	Vmp-pm
učiniti	učiniti	Vmn
investitoru	investitor	Ncmsd
ili	ili	Cc
drugim	drugi	Mlofpl
osobama	osoba	Ncfpl
.	.	Z

Uvjeti	uvjet	Ncmpn
osiguranja	osiguranje	Ncnsg

Članak	članak	Ncmsn
56.	56.	Mdo

Uvjete	uvjet	Ncmpa
profesionalnog	profesionalan	Agpnsgy
osiguranja	osiguranje	Ncnsg
za	za	Sa
ovlaštene	ovlašten	Agpmpay
arhitekte	arhitekt	Ncmpa
,	,	Z
ovlaštene	ovlašten	Agpmpay
arhitekte	arhitekt	Ncmpa
urbaniste	urbanist	Ncmpa
,	,	Z
ovlaštene	ovlašten	Agpmpay
inženjere	inženjer	Ncmpa
,	,	Z
ovlaštene	ovlašten	Agpmpay
voditelje	voditelj	Ncmpa
građenja	građenje	Ncnsg
,	,	Z
ovlaštene	ovlašten	Agpmpay
voditelje	voditelj	Ncmpa
radova	rad	Ncmpg
i	i	Cc
strane	strana	Ncfsg
ovlaštene	ovlastiti	Appfpny
osobe	osoba	Ncfpn
zajedno	zajedno	Rgp
utvrđuju	utvrđivati	Vmr3p
osiguravatelji	osiguravatelj	Ncmpn
u	u	Sl
dogovoru	dogovor	Ncmsl
s	sa	Si
komorama	komora	Ncfpi
.	.	Z

Članak	članak	Ncmsn
57.	57.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmpny
arhitekti	arhitekt	Ncmpn
,	,	Z
ovlašteni	ovlašten	Agpmpny
arhitekti	arhitekt	Ncmpn
urbanisti	urbanist	Ncmpn
,	,	Z
odnosno	odnosno	Rgp
ovlašteni	ovlašten	Agpmpny
inženjeri	inženjer	Ncmpn
u	u	Sl
zajedničkom	zajednički	Agpmsly
uredu	ured	Ncmsl
solidarno	solidarno	Rgp
odgovaraju	odgovarati	Vmr3p
za	za	Sa
obveze	obveza	Ncfpa
ovlaštenih	ovlašten	Agpmpgy
arhitekata	arhitekt	Ncmpg
,	,	Z
ovlaštenih	ovlašten	Agpmpgy
arhitekata	arhitekt	Ncmpg
