propisom	propis	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
poslovi	posao	Ncmpn
i	i	Cc
djelatnosti	djelatnost	Ncfpn
prostornoga	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
i	i	Cc
gradnje	gradnja	Ncfsg
.	.	Z

Mirovanje	mirovanje	Ncnsn
članstva	članstvo	Ncnsg
u	u	Sl
Komori	komora	Ncfsl

Članak	članak	Ncmsn
32.	32.	Mdo

Ovlaštenom	ovlašten	Agpmsly
arhitektu	arhitekt	Ncmsl
,	,	Z
ovlaštenom	ovlašten	Agpmsly
arhitektu	arhitekt	Ncmsl
urbanistu	urbanist	Ncmsl
,	,	Z
ovlaštenom	ovlašten	Agpmsly
inženjeru	inženjer	Ncmsl
,	,	Z
ovlaštenom	ovlašten	Agpmsly
voditelju	voditelj	Ncmsl
građenja	građenje	Ncnsg
i	i	Cc
ovlaštenom	ovlašten	Agpmsly
voditelju	voditelj	Ncmsl
radova	rad	Ncmpg
članstvo	članstvo	Ncnsn
u	u	Sl
Komori	komora	Ncfsl
miruje	mirovati	Vmr3s
:	:	Z

–	–	Pq3n-n
ako	ako	Cs
je	biti	Var3s
u	u	Sl
pritvoru	pritvor	Ncmsl

–	–	Pq3n-n
ako	ako	Cs
mu	on	Pp3msd
je	biti	Var3s
izrečena	izreći	Appfsny
stegovna	stegovni	Agpfsny
mjera	mjera	Ncfsn
zabrane	zabrana	Ncfsg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg

–	–	Pq3n-n
ako	ako	Cs
je	biti	Var3s
izabran	izabran	Agpmsnn
ili	ili	Cc
imenovan	imenovati	Appmsnn
na	na	Sa
kakvu	kakav	Pi-fsa
plaćenu	platiti	Vmr3p
javnu	javan	Agpfsay
dužnost	dužnost	Ncfsa
ili	ili	Cc
na	na	Sa
dužnost	dužnost	Ncfsa
predsjednika	predsjednik	Ncmsg
Komore	komora	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
ugovora	ugovor	Ncmsg
o	o	Sl
radu	rad	Ncmsl

–	–	Pq3n-n
ako	ako	Cs
se	sebe	Px--sa
zaposli	zaposliti	Vmr3s
u	u	Sl
tijelima	tijelo	Ncmpl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
ili	ili	Cc
lokalne	lokalan	Agpfpny
ili	ili	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg

–	–	Pq3n-n
ako	ako	Cs
to	taj	Pd-nsa
sam	sam	Agpmsnn
zatraži	zatražiti	Vmr3s
.	.	Z

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Rješenje	rješenje	Ncnsn
o	o	Sl
mirovanju	mirovanje	Ncnsl
donosi	donositi	Vmr3s
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
Komore	komora	Ncfsg
,	,	Z
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
ili	ili	Cc
na	na	Sa
osobni	osoban	Agpmsayn
zahtjev	zahtjev	Ncmsan
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
,	,	Z
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
urbanista	urbanist	Ncmsg
,	,	Z
ovlaštenog	ovlašten	Agpmsgy
inženjera	inženjer	Ncmsg
,	,	Z
ovlaštenog	ovlašten	Agpmsgy
voditelja	voditelj	Ncmsg
građenja	građenje	Ncnsg
i	i	Cc
ovlaštenog	ovlašten	Agpmsgy
voditelja	voditelj	Ncmsg
radova	rad	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
vrijeme	vrijeme	Ncnsa
mirovanja	mirovanje	Ncnsg
ovlaštenom	ovlašten	Agpmsly
