dokumenata	dokument	Ncmpg
Strategije	strategija	Ncfsg
upravljanja	upravljanje	Ncnsg
morskim	morski	Agpmsiy
okolišem	okoliš	Ncmsi
i	i	Cc
obalnim	obalni	Agpnsiy
područjem	područje	Ncnsi
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
112/14.	112/14.	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Do	do	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
uredbe	uredba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
izmijenjen	izmijeniti	Appmsnn
člankom	članak	Ncmsi
27.	27.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nije	biti	Var3s
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
Uredba	uredba	Ncfsn
o	o	Sl
sprječavanju	sprječavanje	Ncnsl
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
koje	koji	Pi-fpn
uključuju	uključivati	Vmr3p
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
44/14.	44/14.	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
69.	69.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Do	do	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
pravilnika	pravilnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
132.	132.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
izmijenjen	izmijeniti	Appmsnn
člankom	članak	Ncmsi
37.	37.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nije	biti	Var3s
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
Pravilnik	pravilnik	Ncmsn
o	o	Sl
registru	registar	Ncmsl
postrojenja	postrojenje	Ncnsg
u	u	Sl
kojima	koji	Pi-npl
su	biti	Var3p
prisutne	prisutan	Agpfpny
opasne	opasan	Agpfpny
tvari	tvar	Ncfpn
i	i	Cc
o	o	Sl
očevidniku	očevidnik	Ncmsl
prijavljenih	prijaviti	Agpfpgy
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
139/14.	139/14.	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Do	do	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
pravilnika	pravilnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
214.	214.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
izmijenjen	izmijeniti	Appmsnn
člankom	članak	Ncmsi
48.	48.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nije	biti	Var3s
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
Pravilnik	pravilnik	Ncmsn
o	o	Sl
znaku	znak	Ncmsl
zaštite	zaštita	Ncfsg
okoliša	okoliš	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
70/08.	70/08.	Mds
i	i	Cc
81/11.	81/11.	Mds
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Do	do	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
pravilnika	pravilnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
61.	61.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
izmijenjen	izmijeniti	Appmsnn
člankom	članak	Ncmsi
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nije	biti	Var3s
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
Pravilnik	pravilnik	Ncmsn
o	o	Sl
mjerama	mjera	Ncfpl
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
emisije	emisija	Ncfsg
plinovitih	plinovit	Agpmpgy
onečišćivača	onečišćivač	Ncmpg
i	i	Cc
onečišćivača	onečišćivač	Ncmpg
u	u	Sl
obliku	oblik	Ncmsl
čestica	čestica	Ncfpg
iz	iz	Sg
motora	motor	Ncmsg
s	sa	Si
unutrašnjim	unutrašnji	Agpnsiy
izgaranjem	izgaranje	Ncnsi
koji	koji	Pi-mpn
se	sebe	Px--sa
ugrađuju	ugrađivati	Vmr3p
u	u	Sa
necestovne	necestovan	Agpmpay
pokretne	pokretan	Agpmpay
strojeve	stroj	Ncmpa
TPV	TPV	Npfsg
401	401	Mdc
(	(	Z
izdanje	izdanje	Ncnsn
01	01	Mdc
)	)	Z
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
