područja	područje	Ncnsg
postrojenja	postrojenje	Ncnsg
operatera	operater	Ncmpg
,	,	Z
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
i	i	Qo
na	na	Sa
podzemno	podzeman	Agpnsay
skladištenje	skladištenje	Ncnsa
i	i	Cc
trajno	trajan	Agpnsay
zbrinjavanje	zbrinjavanje	Ncnsa
plinova	plin	Ncmpg
u	u	Sl
geološkim	geološki	Agpfply
strukturama	struktura	Ncfpl
–	–	Z
vodonosnicima	vodonosnik	Ncmpi
i	i	Cc
slancima	slanac	Ncmpi
,	,	Z
na	na	Sl
jalovišta	jalovišta	Ncfsl
koja	koji	Pi-fsn
uključuju	uključivati	Vmr3p
akumulacije	akumulacija	Ncfpa
,	,	Z
pregrade	pregrada	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
brane	brana	Ncfpa
,	,	Z
kao	kao	Cs
i	i	Cc
objekte	objekt	Ncmpa
napravljene	napraviti	Appmpay
za	za	Sa
odlaganje	odlaganje	Ncnsa
i	i	Cc
zadržavanje	zadržavanje	Ncnsa
procesne	procesni	Agpfsgy
jalovine	jalovina	Ncfsg
sa	sa	Si
svojstvima	svojstvo	Ncmpi
opasnih	opasan	Agpfpgy
tvari	tvar	Ncfpg
sukladno	sukladno	Rgp
uredbi	uredba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
te	te	Cc
kada	kada	Cs
su	biti	Var3p
opasne	opasan	Agpfpny
tvari	tvar	Ncfpn
sukladno	sukladno	Rgp
uredbi	uredba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
vezane	vezan	Agpmpay
uz	uz	Sa
postupke	postupak	Ncmpa
kemijske	kemijski	Agpfsgy
i	i	Cc
termičke	termički	Agpfsgy
prerade	prerada	Ncfsg
i	i	Cc
skladištenja	skladištenje	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

Naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
124.	124.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Suglasnost	suglasnost	Ncfsn
na	na	Sa
Politiku	politika	Ncfsa
sprječavanja	sprječavanje	Ncnsg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
i	i	Cc
Izvješće	izvješće	Ncnsn
o	o	Sl
sigurnosti	sigurnost	Ncfsl
«	«	Z
.	.	Z

Članak	članak	Ncmsn
124.	124.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Operater	operater	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
122.	122.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
ishoditi	ishoditi	Vmn
suglasnost	suglasnost	Ncfsa
na	na	Sa
Izvješće	izvješće	Ncnsa
o	o	Sl
sigurnosti	sigurnost	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Operater	operater	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
121.	121.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
ishoditi	ishoditi	Vmn
suglasnost	suglasnost	Ncfsa
na	na	Sa
Politiku	politika	Ncfsa
