poslovnog	poslovan	Agpmsgy
događaja	događaj	Ncmsg
ili	ili	Cc
djelatnosti	djelatnost	Ncfpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
o	o	Sl
izdanim	izdan	Agpnply
obvezujućim	obvezujuć	Agpnply
mišljenjima	mišljenje	Ncnpl
vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
.	.	Z

7.	7.	Mdo
Obvezujući	obvezujuć	Agpmsayn
učinak	učinak	Ncmsan

Članak	članak	Ncmsn
11.	11.	Mdo

Obvezujuće	obvezujuć	Agpnsny
mišljenje	mišljenje	Ncnsn
ima	imati	Vmr3s
obvezujući	obvezujuć	Agpmsayn
učinak	učinak	Ncmsan
za	za	Sa
Poreznu	porezni	Agpfsay
upravu	uprava	Ncfsa
.	.	Z

8.	8.	Mdo
Vrijeme	vrijeme	Ncnsn
važenja	važenje	Ncnsg
i	i	Cc
prestanak	prestanak	Ncmsn
važenja	važenje	Ncnsg
obvezujućeg	obvezujuć	Agpnsgy
mišljenja	mišljenje	Ncnsg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obvezujuće	obvezujuć	Agpnsny
mišljenje	mišljenje	Ncnsn
je	biti	Var3s
važeće	važeći	Agpnsny
od	od	Sg
dana	dan	Ncmpg
dostave	dostava	Ncfsg
podnositelju	podnositelj	Ncmsl
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obvezujuće	obvezujuć	Agpnsny
mišljenje	mišljenje	Ncnsn
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
ako	ako	Cs
:	:	Z

1.	1.	Mdo
se	sebe	Px--sa
isto	isto	Rgp
temelji	temeljiti	Vmr3s
na	na	Sl
odredbama	odredba	Ncfpl
propisa	propis	Ncmpg
koje	koji	Pi-fpn
su	biti	Var3p
izmijenjene	izmijeniti	Appfpny
ili	ili	Cc
su	biti	Var3p
prestale	prestati	Vmp-pf
važiti	važiti	Vmn
,	,	Z
a	a	Cc
temeljem	temelj	Ncmsi
kojih	koji	Pi-mpg
je	biti	Var3s
mišljenje	mišljenje	Ncnsn
izdano	izdati	Appnsny
,	,	Z

2.	2.	Mdo
je	biti	Var3s
došlo	doći	Vmp-sn
do	do	Sg
promjena	promjena	Ncfpg
okolnosti	okolnost	Ncfsg
koje	koji	Pi-fpn
imaju	imati	Vmr3p
bitan	bitan	Agpmsann
utjecaj	utjecaj	Ncmsan
na	na	Sa
obvezujuće	obvezujuć	Agpnsay
mišljenje	mišljenje	Ncnsa
,	,	Z

3.	3.	Mdo
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
obvezujuće	obvezujuć	Agpnsny
mišljenje	mišljenje	Ncnsn
temelji	temeljiti	Vmr3s
na	na	Sl
neistinitim	neistinit	Agpfply
