proaktivnu	proaktivan	Agpfsay
objavu	objava	Ncfsa
podataka	podatak	Ncmpg
za	za	Sa
JLP	JLP	Npmsan
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	X
(	(	Z
npr.	npr.	Y
ugovora	ugovor	Ncmsg
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
,	,	Z
ugovora	ugovor	Ncmsg
o	o	Sl
bagatelnoj	bagatelan	Agpfsly
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
,	,	Z
dodijeljenih	dodijeljen	Agpnpgy
sponzorstava	sponzorstvo	Ncnpg
i	i	Cc
donacija	donacija	Ncfpg
te	te	Cc
svih	sav	Agpmpgy
ostalih	ostali	Agpmpgy
sklopljenih	sklopiti	Agpmpgy
ugovora	ugovor	Ncmpg
)	)	Z
PZI	PZI	Npmsn
MU	on	Pp3msd
,	,	Z
udruge	udruga	Ncfsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	X
,	,	Z
udruge	udruga	Ncfsg
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
IV	IV	Mrc
.	.	Z
kvartal	kvartal	Ncmsn
2015.	2015.	Mdo

Nisu	biti	Var3p
potrebna	potreban	Agpnpny
dodatna	dodatan	Agpnpny
sredstva	sredstvo	Ncnpn
–	–	Z
Izrađene	izraditi	Appfpny
smjernice	smjernica	Ncfpn
–	–	Z
Održane	održan	Agpfsgy
4	4	Mdc
regionalne	regionalan	Agpfsgy
edukacije	edukacija	Ncfsg
o	o	Sl
proaktivnoj	proaktivan	Agpfsly
objavi	objava	Ncfsl
podataka	podatak	Ncmpg
16.	16.	Mdo

Objava	objava	Ncfsn
:	:	Z
a	a	Cc
)	)	Z
Registra	registar	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
;	;	Z
b	b	X
)	)	Z
Registra	registar	Ncmsg
bagatelne	bagatelan	Agpfsgy
nabave	nabava	Ncfsg
;	;	Z
c	C	X
)	)	Z
Popisa	popis	Ncmsg
sponzorstava	sponzorstvo	Ncnpg
i	i	Cc
donacija	donacija	Ncfsn
i	i	Cc
d	d	Ncfpg
)	)	Z
Popisa	popis	Ncmsg
preostalih	preostao	Agpmpgy
sklopljenih	sklopiti	Agpmpgy
ugovora	ugovor	Ncmpg
na	na	Sl
službenim	služben	Agpfply
stranicama	stranica	Ncfpl
JLP	JLP	Npmsn
(	(	Z
R	R	X
)	)	Z
S-a	s-	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Sg
MP	M	Npmsg
I.	I.	Mro
kvartal	kvartal	Ncmsn
2016.	2016.	Mdo

Nisu	biti	Var3p
potrebna	potreban	Agpnpay
dodatna	dodatan	Agpnpay
sredstva	sredstvo	Ncnpa
Objavljeni	objaviti	Appmpny
:	:	Z
a	a	Cc
)	)	Z
Registar	registar	Ncmsn
ugovora	ugovor	Ncmsg
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
;	;	Z
b	b	X
)	)	Z
Registar	registar	Ncmsn
bagatelne	bagatelan	Agpfsgy
nabave	nabava	Ncfsg
;	;	Z
c	C	Npmsn
)	)	Z
Popis	popis	Ncmsn
sponzorstava	sponzorstvo	Ncnpg
i	i	Cc
donacija	donacija	Ncfpg
i	i	Cc
d	i	Agpnsny
)	)	Z
Popis	popis	Ncmsn
preostalih	preostao	Agpmpgy
sklopljenih	sklopiti	Agpmpgy
ugovora	ugovor	Ncmpg
u	u	Sa
2/3	2/3	Agpmsayn
JLP	JLP	Npmsan
(	(	Z
R	R	X
)	)	Z
S-a	S-	Npmsay
na	na	Sl
njihovim	njihov	Agpfply
službenim	služben	Agpfply
stranicama	stranica	Ncfpl
17.	17.	Mdo

Izrada	izrada	Ncfsn
upute	uputa	Ncfsg
za	za	Sa
donošenje	donošenje	Ncnsa
akcijskih	akcijski	Agpmpgy
planova	plan	Ncmpg
na	na	Sl
razini	razina	Ncfsl
županija	županija	Ncfpg
i	i	Cc
Grada	Grad	Npmsg
Zagreba	Zagreb	Npmsg
koji	koji	Pi-mpn
uključuju	uključivati	Vmr3p
osnivanje	osnivanje	Ncnsa
antikorupcijskih	antikorupcijski	Agpnpgy
povjerenstava	povjerenstvo	Ncnpg
Županije	županija	Ncfsg
i	i	Cc
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
,	,	Z
MP	MP	Npmsn
MU	on	Pp3msd
,	,	Z
PZI	PZ	Npmpn
,	,	Z
PZOSI	PZOSI	Npmsn
IV	IV	Mrc
.	.	Z
kvartal	kvartal	Ncmsn
2015.	2015.	Mdo

Nisu	biti	Var3p
potrebna	potreban	Agpnpny
dodatna	dodatan	Agpnpny
sredstva	sredstvo	Ncnpn
-	-	Z
Izrađena	izraditi	Appfsny
uputa	uputa	Ncfsn
–	–	Z
Osnovana	Osnovan	Npmsg
antikorupcijska	antikorupcijski	Agpnpny
povjerenstva	povjerenstvo	Ncnpn
u	u	Sl
2/3	2/	Npmsl
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Sg
Pojačane	pojačati	Agpfsgy
aktivnosti	aktivnost	Ncfsg
s	sa	Si
ciljem	cilj	Ncmsi
jačanja	jačanje	Ncnsg
transparentnosti	transparentnost	Ncfsg
na	na	Sl
razini	razina	Ncfsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
u	u	Sl
kojima	koji	Pi-fpl
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpn
imaju	imati	Vmr3p
vlasničke	vlasnički	Agpmpay
udjele	udjel	Ncmpa
18.	18.	Mdo

Izrada	izrada	Ncfsn
i	i	Cc
objava	objava	Ncfsn
popisa	popis	Ncmsg
trgovačkih	trgovački	Agpnpgy
društva	društvo	Ncnpg
u	u	Sl
većinskom	većinski	Agpnsly
vlasništvu	vlasništvo	Ncnsl
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
uz	uz	Sa
objavu	objava	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
članovima	član	Ncmpl
upravnih	upravan	Agpnpgy
i	i	Cc
nadzornih	nadzorni	Agpmpgy
odbora	odbor	Ncmpg
(	(	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
načela	načeti	Vmp-sf
otvorenih	otvoren	Agpmpgy
podataka	podatak	Ncmpg
)	)	Z
MP	MP	Npmsn
PZI	PZI	Npmsn
,	,	Z
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Sg
II	ii	Mro
.	.	Z
kvartal	kvartal	Ncmsn
2016.	2016.	Mdo

Nisu	biti	Var3p
potrebna	potreban	Agpnpny
dodatna	dodatan	Agpnpny
sredstva	sredstvo	Ncnpn
–	–	Z
Izrađen	izraditi	Appmsnn
i	i	Cc
objavljen	objaviti	Appmsnn
popis	popis	Ncmsn
trgovačkih	trgovački	Agpnpgy
društva	društvo	Ncnpg
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
na	na	Sa
internet	internet	Ncmsan
stranici	stranica	Ncfsl
MP	MP	Npmsan
–	–	Z
Objavljeni	objaviti	Appmpny
