smjese	smjesa	Ncfsg
vrsta	vrsta	Ncfsn
drveća	drveće	Ncnsg
sastojine	sastojina	Ncfsg
se	sebe	Px--sa
dijele	dijeliti	Vmr3p
na	na	Sa
:	:	Z

1.	1.	Mdo
čiste	čistiti	Vmr3p
–	–	Z
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
jedna	jedan	Mlcfsn
vrsta	vrsta	Ncfsn
drveća	drveće	Ncnsg
zastupljena	zastupiti	Appfsny
s	sa	Si
više	mnogo	Rgc
od	od	Sg
90	90	Mdc
%	%	Z
drvne	drvni	Agpfpay
zalihe	zaliha	Ncfpa
prema	prema	Sl
ukupnoj	ukupan	Agpfsly
drvnoj	drvni	Agpfsly
zalihi	zaliha	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
prvom	prvi	Mlomsl
dobnom	dobni	Agpmsly
razredu	razred	Ncmsl
prema	prema	Sl
broju	broj	Ncmsl
stabala	stablo	Ncmpg
;	;	Z

2.	2.	Mdo
mješovite	mješovit	Agpfpay
–	a	Ncfpa
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
,	,	Z
uz	uz	Sa
glavne	glavni	Agpfpay
vrste	vrsta	Ncfpa
,	,	Z
zastupljene	zastupljen	Agpfsgy
i	i	Cc
druge	drugi	Mlofsg
vrste	vrsta	Ncfsg
drveća	drveće	Ncnsg
s	sa	Si
udjelom	udjel	Ncmsi
većim	velik	Agcmsiy
od	od	Sg
10	10	Mdc
%	%	Z
od	od	Sg
ukupne	ukupan	Agpfsgy
drvne	drvni	Agpfsgy
zalihe	zaliha	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
prvom	prvi	Mlomsl
dobnom	dobni	Agpmsly
razredu	razred	Ncmsl
prema	prema	Sl
broju	broj	Ncmsl
stabala	stablo	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vrste	vrsta	Ncfpn
drveća	drveće	Ncnsg
iskazuju	iskazivati	Vmr3p
se	sebe	Px--sa
prema	prema	Sl
popisu	popis	Ncmsl
vrsta	vrsta	Ncfpg
koji	koji	Pi-msn
je	biti	Var3s
tiskan	tiskati	Appmsnn
u	u	Sl
Prilogu	Prilog	Npmsl
3	3	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

