Pojedinačne	pojedinačan	Agpfpny
frakcije	frakcija	Ncfpn
proteina	protein	Ncmsg
likvora	likvor	Ncmsg
4,27	4,27	Mdc
939,40	939,40	Mdc
LB631	LB631	Mdc
Oligoklonske	Oligoklonska	Npfsg
gama-globulinske	gama-globulinski	Agpfsgy
frakcije	frakcija	Ncfsg
(	(	Z
IgG	IgG	Npmsn
,	,	Z
IgA	ig	Ncmsg
,	,	Z
IgM	IgM	Npmsn
)	)	Z
–	–	Z
likvor	likvor	Ncmsn
4,64	4,64	Mdc
1.020,80	1.020,80	Mdc
LB632	lb632	Agpmsny
Oligoklonski	oligoklonski	Agpmsny
imunoglobulin	imunoglobulin	Ncmsn
G	g	Y
–	–	Z
likvor	likvor	Ncmsan
4,93	4,93	Mdc
1.084,60	1.084,60	Mdc
LB633	lb633	Agpmsny
Izgled	izgled	Ncmsn
želučanog	želučan	Agpmsgy
soka	sok	Ncmsg
(	(	Z
Izgled	izgled	Ncmsn
)	)	Z
0,12	0,12	Mdc
26,40	26,40	Mdc
LB634	LB634	Mdc
Broj	broj	Ncmsn
stanica	stanica	Ncfpg
želučanog	želučan	Agpmsgy
soka	sok	Ncmsg
(	(	Z
Stanice	stanica	Ncfpn
)	)	Z
0,70	0,70	Mdc
154,00	154,00	Mdc
LB635	LB635	Mdc
Morfološko	morfološki	Agpnsny
diferenciranje	diferenciranje	Ncnsn
stanica	stanica	Ncfpg
želučanog	želučan	Agpmsgy
soka	sok	Ncmsg
(	(	Z
Stanice	stanica	Ncfpn
)	)	Z
0,72	0,72	Mdc
158,40	158,40	Mdc
LB636	lb636	Agpmsny
Amonijak	amonijak	Ncmsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,51	0,51	Mdc
112,20	112,20	Mdc
LB637	lb637	Agpmsny
Mucin	mucin	Ncmsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,19	0,19	Mdc
41,80	41,80	Mdc
LB638	lb638	Agpmsny
Pepsin	pepsin	Ncmsn
I-II	i-ii	Agpmsny
–	–	Agpmsny
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,19	0,19	Mdc
41,80	41,80	Mdc
LB639	LB639	Mdc
Bazalna	bazalni	Agpfsny
sekrecija	sekrecija	Ncfsn
kiseline	kiselina	Ncfsg
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,19	0,19	Mdc
41,80	41,80	Mdc
LB640	LB640	Mdc
Test	test	Ncmsn
stimulacije	stimulacija	Ncfsg
lučenja	lučenje	Ncnsg
želučanog	želučan	Agpmsgy
soka	sok	Ncmsg
(	(	Z
Test	test	Ncmsn
stimulacije	stimulacija	Ncfsg
)	)	Z
0,38	0,38	Mdc
83,60	83,60	Mdc
LB641	LB641	Mdc
Slobodna	slobodan	Agpfsny
solna	solni	Agpfsny
kiselina	kiselina	Ncfsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
(	(	Z
Slobodna	slobodan	Agpfsny
HCl	hcl	Ncfsn
)	)	Z
0,23	0,23	Mdc
50,60	50,60	Mdc
LB642	lb642	Agpmsny
Kalij	kalij	Ncmsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,20	0,20	Mdc
44,00	44,00	Mdc
LB643	lb643	Agpmsny
Natrij	natrij	Ncmsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,20	0,20	Mdc
44,00	44,00	Mdc
LB644	lb644	Agpmpny
Kloridi	klorid	Ncmpn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,19	0,19	Mdc
41,80	41,80	Mdc
LB645	lb645	Agpmsny
Kalcij	kalcij	Ncmsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,18	0,18	Mdc
39,60	39,60	Mdc
LB646	LB646	Mdc
Anorganski	anorganski	Agpmpny
fosfati	fosfat	Ncmpn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,18	0,18	Mdc
39,60	39,60	Mdc
LB647	lb647	Agpmsny
Magnezij	magnezij	Ncmsn
–	–	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
0,55	0,55	Mdc
121,00	121,00	Mdc
LB648	lb648	Agpmsny
Izgled	izgled	Ncmsn
duodenalnog	duodenalni	Agpmsgy
soka	sok	Ncmsg
0,12	0,12	Mdc
26,40	26,40	Mdc
LB649	lb649	Agpmsny
Ukupni	ukupan	Agpmsny
kolesterol	kolesterol	Ncmsn
–	–	Z
duodenalni	duodenalni	Agpmsny
sok	sok	Ncmsn
0,45	0,45	Mdc
99,00	99,00	Mdc
LB650	lb650	Agpmsny
Ukupni	ukupan	Agpmsny
bilirubin	bilirubin	Ncmsn
–	–	Z
duodenalni	duodenalni	Agpmsny
sok	sok	Ncmsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LB651	lb651	Agpmpny
Bikarbonati	bikarbonat	Ncmpn
–	–	Z
duodenalni	duodenalni	Agpmsny
sok	sok	Ncmsn
0,48	0,48	Mdc
105,60	105,60	Mdc
LB652	LB652	Mdc
Alfa-amilaza	alfa-amilaz	Ncmpg
–	–	Z
duodenalni	duodenalni	Agpmsny
sok	sok	Ncmsn
0,27	0,27	Mdc
59,40	59,40	Mdc
LB653	LB653	Mdo
Lipaza	lipaza	Ncfsn
–	–	Z
duodenalni	duodenalni	Agpmsny
sok	sok	Ncmsn
0,34	0,34	Mdc
74,80	74,80	Mdc
LB654	lb654	Agpmsny
Albumin	albumin	Ncmsn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,46	0,46	Mdc
101,20	101,20	Mdc
LB655	LB655	Mdo
Lipaza	lipaza	Ncfsn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
(	(	Z
LPS	LPS	Npmsn
)	)	Z
0,56	0,56	Mdc
123,20	123,20	Mdc
LB656	LB656	Mdc
Alfa-amilaza	alfa-amilaz	Ncmpg
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,27	0,27	Mdc
59,40	59,40	Mdc
LB657	lb657	Agpmpny
Eritrociti	eritrocit	Ncmpn
–	–	Z
broj	broj	Ncmsn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,31	0,31	Mdc
68,20	68,20	Mdc
LB658	LB658	Mdo
Glukoza	glukoza	Ncfsn
–	–	Z
preuralni	preuralan	Agpmsny
izljev	izljev	Ncmsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LB659	lb659	Agpmsny
Izgled	izgled	Ncmsn
pleuralnog	pleuralni	Agpmsgy
izljeva	izljev	Ncmsg
0,12	0,12	Mdc
26,40	26,40	Mdc
LB660	LB660	Mdc
Broj	broj	Ncmsn
stanica	stanica	Ncfpg
pleuralnog	pleuralni	Agpmsgy
izljeva	izljev	Ncmsg
(	(	Z
Stanice	stanica	Ncfpn
)	)	Z
0,70	0,70	Mdc
154,00	154,00	Mdc
LB661	LB661	Mdc
Morfološko	morfološki	Agpnsny
diferenciranje	diferenciranje	Ncnsn
stanica	stanica	Ncfpg
pleuralnog	pleuralni	Agpmsgy
izljeva	izljev	Ncmsg
(	(	Z
Stanice	stanica	Ncfpn
)	)	Z
0,72	0,72	Mdc
158,40	158,40	Mdc
LB662	lb662	Agpmsny
Bilirubin	bilirubin	Ncmsn
–	–	Z
ukupni	ukupan	Agpmsayn
–	–	Agpmsayn
pleuralni	pleuralni	Agpmsayn
izljev	izljev	Ncmsan
(	(	Z
Bilirubin	bilirubin	Ncmsn
)	)	Z
0,37	0,37	Mdc
81,40	81,40	Mdc
LB663	lb663	Agpmsny
Kalcij	kalcij	Ncmsn
–	–	Z
ukupni	ukupan	Agpmsayn
–	–	Agpmsayn
pleuralni	pleuralni	Agpmsayn
izljev	izljev	Ncmsan
(	(	Z
Kalcij	kalcij	Ncmsn
)	)	Z
0,28	0,28	Mdc
61,60	61,60	Mdc
LB664	lb664	Agpmsny
Laktat	laktat	Ncmsn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
(	(	Z
Laktat	laktat	Ncmsn
)	)	Z
0,71	0,71	Mdc
156,20	156,20	Mdc
LB665	lb665	Agpmsny
Ukupni	ukupan	Agpmsny
kolesterol	kolesterol	Ncmsn
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,33	0,33	Mdc
72,60	72,60	Mdc
LB666	LB666	Mdc
pH	PH	Y
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,26	0,26	Mdc
57,20	57,20	Mdc
LB667	lb667	Agpmsny
Kreatinin	kreatinin	Ncmsn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LB668	LB668	Mdc
Laktat-dehidrogenaza	laktat-dehidrogenaz	Ncmpg
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LB669	LB669	Mdc
Ukupni	ukupan	Agpmpny
proteini	protein	Ncmpn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,26	0,26	Mdc
57,20	57,20	Mdc
LB670	lb670	Agpmpny
Trigliceridi	triglicerid	Ncmpn
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
0,29	0,29	Mdc
63,80	63,80	Mdc
LB671	LB671	Mdc
Adenozin-deaminaza	adenozin-deaminaz	Ncmpg
–	–	Z
pleuralni	pleuralni	Agpmsny
izljev	izljev	Ncmsn
1,28	1,28	Mdc
281,60	281,60	Mdc
LB672	lb672	Agpmsny
Adenozin	adenozin	Ncmsn
deaminaza	deaminaz	Ncmpg
–	–	Z
ADA	ada	Ncfsn
0,97	0,97	Mdc
213,40	213,40	Mdc
LB673	lb673	Agpmsny
Kalij	kalij	Ncmsn
–	–	Z
znoj	znoj	Ncmsn
0,32	0,32	Mdc
70,40	70,40	Mdc
LB674	lb674	Agpmpny
Kloridi	klorid	Ncmpn
–	–	Z
znoj	znoj	Ncmsn
(	(	Z
11	11	Mdc
)	)	Z
Ne	ne	Qz
uključuje	uključivati	Vmr3s
jednokratnu	jednokratan	Agpfsay
elektrodu	elektroda	Ncfsa
za	za	Sa
mjerenje	mjerenje	Ncnsa
provodljivosti	provodljivost	Ncfsg
1,02	1,02	Mdc
224,40	224,40	Mdc
LB675	lb675	Agpmsny
Natrij	natrij	Ncmsn
–	–	Z
znoj	znoj	Ncmsn
0,32	0,32	Mdc
70,40	70,40	Mdc
LB676	LB676	Mdc
Izgled	izgled	Ncmsn
i	i	Cc
boja	boja	Ncfsn
zglobne	zglobni	Agpfsgy
tekućine	tekućina	Ncfsg
0,12	0,12	Mdc
26,40	26,40	Mdc
LB677	lb677	Agpmsny
Mucin	mucin	Ncmsn
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,27	0,27	Mdc
59,40	59,40	Mdc
LB678	lb678	Agpmpny
Kristali	kristal	Ncmpn
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,51	0,51	Mdc
112,20	112,20	Mdc
LB679	lb679	Agpmsny
Laktat	laktat	Ncmsn
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,34	0,34	Mdc
74,80	74,80	Mdc
LB680	LB680	Mdc
Laktat-dehidrogenaza	laktat-dehidrogenaz	Ncmpg
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LB681	LB681	Mdc
Ukupni	ukupan	Agpmpny
proteini	protein	Ncmpn
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,26	0,26	Mdc
57,20	57,20	Mdc
LB682	lb682	Agpmsny
Imunoglobulin	imunoglobulin	Ncmsn
A	a	Cc
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
3,00	3,00	Mdc
660,00	660,00	Mdc
LB683	lb683	Agpmsny
Imunoglobulin	imunoglobulin	Ncmsn
G	g	Y
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
2,08	2,08	Mdc
457,60	457,60	Mdc
LB684	lb684	Agpmsny
Imunoglobulin	imunoglobulin	Ncmsn
M	m	Y
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
3,11	3,11	Mdc
684,20	684,20	Mdc
LB685	lb685	Agpmsny
Reumatoidni	reumatoidni	Agpmsny
faktor	faktor	Ncmsn
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,41	0,41	Mdc
90,20	90,20	Mdc
LB686	lb686	Agpmsny
Komplement	komplement	Ncmsn
C3	C3	Xf
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,42	0,42	Mdc
92,40	92,40	Mdc
LB687	lb687	Agpmsny
Komplement	komplement	Ncmsn
C4	C4	Xf
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,42	0,42	Mdc
92,40	92,40	Mdc
LB688	LB688	Mdc
Broj	broj	Ncmsn
stanica	stanica	Ncfpg
zglobne	zglobni	Agpfsgy
tekućine	tekućina	Ncfsg
0,80	0,80	Mdc
176,00	176,00	Mdc
LB689	LB689	Mdc
Morfološko	morfološki	Agpnsny
diferenciranje	diferenciranje	Ncnsn
stanica	stanica	Ncfpg
zglobne	zglobni	Agpfsgy
tekućine	tekućina	Ncfsg
(	(	Z
Neutrofilni	neutrofilan	Agpmpny
granulociti	granulocit	Ncmpn
,	,	Z
Limfociti	limfocit	Ncmpn
,	,	Z
Monociti	Monocita	Npfsl
,	,	Z
Stanice	stanica	Ncfpn
sinovije	sinovija	Ncfsg
)	)	Z
0,72	0,72	Mdc
158,40	158,40	Mdc
LB690	LB690	Mdo
Glukoza	glukoza	Ncfsn
–	–	Z
zglobna	zglobni	Agpfsny
tekućina	tekućina	Ncfsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LB691	lb691	Agpmsny
Ukupni	ukupan	Agpmsny
bilirubin	bilirubin	Ncmsn
–	–	Z
spektralna	spektralan	Agpfsny
fotometrija	fotometrija	Ncfsn
–	–	Sg
plodova	plod	Ncmpg
voda	voda	Ncfsn
0,42	0,42	Mdc
92,40	92,40	Mdc
LB692	lb692	Agpmsny
Ukupni	ukupan	Agpmsny
bilirubin	bilirubin	Ncmsn
–	–	Z
fotometrija	fotometrija	Ncfpg
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
0,29	0,29	Mdc
63,80	63,80	Mdc
LB693	LB693	Mdc
Alfa-1-fetoprotein	alfa-1-fetoprotein	Ncfpg
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
1,16	1,16	Mdc
255,20	255,20	Mdc
LB694	lb694	Agpmsny
Lecitin	lecitin	Ncmsn
/	/	Z
sfingomijelin	sfingomijelin	Ncmsn
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
3,18	3,18	Mdc
699,60	699,60	Mdc
LB695	LB695	Mdc
Lamelarna	lamelarni	Agpnsgy
tjelešca	tjelešce	Ncnsg
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
0,33	0,33	Mdc
72,60	72,60	Mdc
LB696	LB696	Mdc
Fosfatidil-glicerol	fosfatidil-glicerol	Ncfpg
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
3,21	3,21	Mdc
706,20	706,20	Mdc
LB697	LB697	Mdc
17-hidroksiprogesteron	17-hidroksiprogesteron	Ncfpg
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
3,17	3,17	Mdc
697,40	697,40	Mdc
LB698	LB698	Mdc
Glukoza	glukoza	Ncfpg
–	–	Z
plodova	plod	Ncmpg
voda	voda	Ncfsn
0,29	0,29	Mdc
63,80	63,80	Mdc
LB699	lb699	Agpmsny
Cink	cink	Ncmsn
–	–	Z
sjemena	sjemeni	Agpfsny
tekućina	tekućina	Ncfsn
0,42	0,42	Mdc
92,40	92,40	Mdc
LB700	LB700	Mdo
Fruktoza	fruktoza	Ncfsn
–	–	Z
sjemena	sjemeni	Agpfsny
tekućina	tekućina	Ncfsn
0,53	0,53	Mdc
116,60	116,60	Mdc
LB701	LB701	Mdc
Kisela	kiseo	Agpfsny
fosfataza	fosfataza	Ncfsn
–	–	Z
sjemena	sjemeni	Agpfsny
tekućina	tekućina	Ncfsn
0,56	0,56	Mdc
123,20	123,20	Mdc
LB702	LB702	Mdc
Limunska	limunski	Agpfsny
kiselina	kiselina	Ncfsn
–	–	Z
sjemena	sjemeni	Agpfsny
tekućina	tekućina	Ncfsn
0,53	0,53	Mdc

