neuromuskularnim	neuromuskularan	Agpfpiy
bolestima	bolest	Ncfpi
(	(	Z
11	11	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
orijentacijski	orijentacijski	Agpmsayn
pregled	pregled	Ncmsan
.	.	Z

Samo	samo	Rgp
u	u	Sl
referalnom	referalni	Agpmsly
centru	centar	Ncmsl
za	za	Sa
odrasle	odrastao	Agpfpay
osobe	osoba	Ncfpa
.	.	Z

Uključuje	uključivati	Vmr3s
PE012	pe012	Ncnsa
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
trošak	trošak	Ncmsan
jednokratnih	jednokratan	Agpfpgy
iglenih	iglen	Agpfpgy
elektroda	elektroda	Ncfpg
.	.	Z
7,41	7,41	Mdc
1.630,20	1.630,20	Mdc
PE013	PE013	Mdc
EMNG	emn	Ncmpg
kranijalnih	kranijalni	Agpmpgy
živaca	živac	Ncmpg
djeteta	dijete	Ncnsg
Samo	samo	Rgp
u	u	Sl
klinici	klinika	Ncfsl
2,49	2,49	Mdc
547,80	547,80	Mdc
PE014	PE014	Mdc
EMG	ei	Agpmsgy
sfinktera	sfinkter	Ncmsg
–	–	Z
anusa	anus	Ncmpg
kod	kod	Sg
djeteta	dijete	Ncnsg
2,91	2,91	Mdc
640,20	640,20	Mdc
PE015	PE015	Mdc
EMG	ei	Agpmsgy
sfinktera	sfinkter	Ncmsg
–	–	Z
uretre	uretra	Ncfsg
kod	kod	Sg
djeteta	dijete	Ncnsg
3,62	3,62	Mdc
796,40	796,40	Mdc
PE016	PE016	Mdc
SFEMG	sfei	Agpnsgy
djeteta	dijete	Ncnsg
8,96	8,96	Mdc
1.971,20	1.971,20	Mdc
PE017	PE017	Mdc
VEP	VEP	Y
–	–	Z
ERG	ERG	Npmsn
djelomičan	djelomičan	Agpmsnn
djeteta	dijete	Ncnsg
Registriranje	registriranje	Ncnsa
maksimalnog	maksimalan	Agpmsgy
odgovora	odgovor	Ncmsg
.	.	Z

Isključuje	isključivati	Vmr3s
VEP	VEP	Npmsan
–	–	Z
ERG	ERG	Npmsn
kompletan	kompletan	Agpmsnn
djeteta	dijete	Ncnsg
3,75	3,75	Mdc
825,00	825,00	Mdc
PE018	PE018	Mdc
VEP	VEP	Y
–	–	Z
ERG	ERG	Npmsn
kompletan	kompletan	Agpmsnn
djeteta	dijete	Ncnsg
Registriranje	registriranje	Ncnsa
svih	sav	Agpmpgy
odgovora	odgovor	Ncmpg
.	.	Z

Isključuje	isključivati	Vmr3s
VEP	VEP	Npmsan
–	–	Z
ERG	ERG	Npmsn
djelomičan	djelomičan	Agpmsnn
djeteta	dijete	Ncnsg
4,74	4,74	Mdc
1.042,80	1.042,80	Mdc
PE019	PE019	Mdc
VEP	VEP	Y
–	–	Z
flash	flash	Ncfsn
djeteta	dijete	Ncnsg
4,49	4,49	Mdc
987,80	987,80	Mdc
