prava	prav	Agpfsny

Dobrovoljno	dobrovoljan	Agpnsny
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa

Članak	članak	Ncmsn
315.	315.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Založni	založni	Agpmsny
vjerovnik	vjerovnik	Ncmsn
može	moći	Vmr3s
založenu	založiti	Appfsay
mu	on	Pp3msd
pokretnu	pokretan	Agpfsay
stvar	stvar	Ncfsa
koju	koji	Pi-fsa
posjeduje	posjedovati	Vmr3s
dalje	daleko	Rgc
založiti	založiti	Vmn
u	u	Sl
granicama	granica	Ncfpl
svojega	svoj	Agpnpay
prava	pravo	Ncnpa
na	na	Sa
namirenje	namirenje	Ncnsa
iz	iz	Sg
nje	on	Ncfsg
,	,	Z
a	a	Cc
na	na	Sl
pravnom	pravni	Agpmsly
temelju	temelj	Ncmsl
i	i	Cc
na	na	Sa
način	način	Ncmsan
određen	određen	Agpmsann
za	za	Sa
osnivanje	osnivanje	Ncnsa
dobrovoljnoga	dobrovoljan	Agpnsgy
založnoga	založni	Agpnsgy
prava	pravo	Ncnsg
;	;	Z
založi	založiti	Vmr3s
li	li	Cs
je	biti	Var3s
,	,	Z
osnovano	osnovati	Appnsny
je	biti	Var3s
na	na	Sl
zalogu	zalog	Ncmsl
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa
podzaložnoga	podzaložan	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vjerovnik	vjerovnik	Ncmsn
tražbine	tražbina	Ncfsg
osigurane	osigurati	Appfpny
založnim	založni	Agpnsiy
pravom	pravo	Ncnsi
na	na	Sl
nekretnini	nekretnina	Ncfsl
može	moći	Vmr3s
,	,	Z
u	u	Sl
granicama	granica	Ncfpl
svojega	svoj	Agpnpay
prava	pravo	Ncnpa
na	na	Sa
namirenje	namirenje	Ncnsa
iz	iz	Sg
te	taj	Pd-fsg
nekretnine	nekretnina	Ncfsg
,	,	Z
osnovati	osnovati	Vmn
na	na	Sl
postojećem	postojeći	Agpnsly
založnom	založni	Agpnsly
pravu	pravo	Ncnsl
(	(	Z
hipoteci	hipoteka	Ncfsl
)	)	Z
hipoteku	hipoteka	Ncfsa
u	u	Sa
korist	korist	Ncfsa
treće	treći	Mlofsg
osobe	osoba	Ncfsg
(	(	Z
nadhipoteku	nadhipotek	Ncmsl
)	)	Z
i	i	Cc
bez	bez	Sg
pristanka	pristanak	Ncmsg
založnoga	založni	Agpmsgy
dužnika	dužnik	Ncmsg
,	,	Z
a	a	Cc
na	na	Sl
pravnom	pravni	Agpmsly
temelju	temelj	Ncmsl
i	i	Cc
na	na	Sa
način	način	Ncmsan
određen	određen	Agpmsann
za	za	Sa
osnivanje	osnivanje	Ncnsa
dobrovoljnoga	dobrovoljan	Agpnsgy
založnoga	založni	Agpnsgy
prava	pravo	Ncnsg
na	na	Sl
nekretninama	nekretnina	Ncfpl
;	;	Z
učini	učiniti	Vmr3s
li	li	Qq
to	taj	Pd-nsa
,	,	Z
osnovana	osnovati	Appfsny
je	biti	Var3s
na	na	Sl
hipoteci	hipoteka	Ncfsl
nadhipoteka	nadhipotek	Ncmsg
kao	kao	Cs
podzaložno	podzaložan	Agpnsny
pravo	pravo	Ncnsn
podzaložnoga	podzaložan	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Bude	biti	Var3s
li	li	Qq
založni	založni	Agpmsny
dužnik	dužnik	Ncmsn
obaviješten	obavijestiti	Appmsnn
da	da	Cs
je	biti	Var3s
zalog	zalog	Ncmsn
dalje	daleko	Rgc
založen	založiti	Appmsnn
podzaložnom	podzaložnom	Ncmsn
vjerovniku	vjerovnik	Ncmsd
,	,	Z
može	moći	Vmr3s
podmiriti	podmiriti	Vmn
dug	dug	Ncmsan
svomu	svoj	Ncmsd
vjerovniku	vjerovnik	Ncmsd
samo	samo	Rgp
ako	ako	Cs
na	na	Sa
to	taj	Pd-nsa
pristane	pristati	Vmr3s
onaj	onaj	Pd-msn
koji	koji	Pi-msn
ima	imati	Vmr3s
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
ili	ili	Cc
tako	tako	Cs
da	da	Cs
položi	položiti	Vmr3s
dug	dug	Ncmsan
u	u	Sa
sud	sud	Ncmsan
;	;	Z
inače	inače	Rgp
zalog	zalog	Ncmsn
ostaje	ostajati	Vmr3s
založen	založiti	Appmsnn
za	za	Sa
podzaložnoga	podzaložnogo	Ncmpa
vjerovnika	vjerovnik	Ncmpg
.	.	Z

Sudsko	sudski	Agpnsny
i	i	Cc
zakonsko	zakonski	Agpnsay
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa

Članak	članak	Ncmsn
316.	316.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
zalogu	zalog	Ncmsl
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
tražbinu	tražbina	Ncfsa
založnoga	založni	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
osniva	osnivati	Vmr3s
se	sebe	Px--sa
prisilno	prisilan	Agpnsny
sudsko	sudski	Agpnsny
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
a	a	Cc
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
se	sebe	Px--sa
osniva	osnivati	Vmr3s
sudsko	sudski	Agpnsny
založno	založni	Agpnsay
pravo	pravo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
zalogu	zalog	Ncmsl
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
tražbinu	tražbina	Ncfsa
založnoga	založni	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
osniva	osnivati	Vmr3s
se	sebe	Px--sa
dobrovoljno	dobrovoljno	Rgp
sudsko	sudski	Agpnsny
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
založnoga	založni	Agpmsgy
ugovora	ugovor	Ncmsg
,	,	Z
oblikovanoga	oblikovati	Appmsgy
u	u	Sa
sudski	sudski	Agpmsayn
zapisnik	zapisnik	Ncmsan
o	o	Sl
sporazumu	sporazum	Ncmsl
stranaka	stranka	Ncfpg
da	da	Cs
založnim	založni	Agpnsiy
pravom	pravo	Ncnsi
osiguraju	osigurati	Vmr3p
određenu	određen	Agpfsay
tražbinu	tražbina	Ncfsa
u	u	Sl
postupku	postupak	Ncmsl
osiguranja	osiguranje	Ncnsg
novčane	novčan	Agpfsgy
tražbine	tražbina	Ncfsg
,	,	Z
a	a	Cc
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
se	sebe	Px--sa
osniva	osnivati	Vmr3s
sudsko	sudski	Agpnsny
založno	založni	Agpnsay
pravo	pravo	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sl
zalogu	zalog	Ncmsl
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
tražbinu	tražbina	Ncfsa
založnoga	založni	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
osniva	osnivati	Vmr3s
se	sebe	Px--sa
zakonsko	zakonski	Agpnsny
podzaložno	podzaložan	Agpnsny
pravo	pravo	Ncnsn
ispunjenjem	ispunjenje	Ncnsi
pretpostavaka	pretpostavka	Ncfpg
koje	koji	Pi-fpn
za	za	Sa
osnivanje	osnivanje	Ncnsa
zakonskoga	zakonski	Agpnsgy
založnoga	založni	Agpnsgy
prava	pravo	Ncnsg
odredi	odrediti	Vmr3s
posebni	poseban	Agpmsayn
zakon	zakon	Ncmsan
.	.	Z

Pošto	pošto	Cs
bude	biti	Var3s
osnovano	osnovati	Appnsny
,	,	Z
zakonsko	zakonski	Agpnsny
podzaložno	podzaložan	Agpnsay
pravo	pravo	Ncnsa
na	na	Sl
nekretnini	nekretnina	Ncfsl
upisat	upisati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sa
zemljišnu	zemljišni	Agpfsay
knjigu	knjiga	Ncfsa
na	na	Sa
zahtjev	zahtjev	Ncmsan
založnoga	založni	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
.	.	Z

d	d	I
/	/	Z
Zaštita	zaštita	Ncfsn
povjerenja	povjerenje	Ncnsg

Stjecanje	stjecanje	Ncnsn
od	od	Sg
nevlasnika	nevlasnik	Ncmpg

Članak	članak	Ncmsn
317.	317.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
koji	koji	Pi-msn
ima	imati	Vmr3s
pravni	pravni	Agpmsayn
temelj	temelj	Ncmsan
za	za	Sa
stjecanje	stjecanje	Ncnsa
dobrovoljnoga	dobrovoljan	Agpnsgy
založnoga	založni	Agpnsgy
prava	pravo	Ncnsg
dobio	dobiti	Vmp-sm
u	u	Sa
zalog	zalog	Ncmsan
tuđu	tuđ	Agpfsay
pokretnu	pokretan	Agpfsay
stvar	stvar	Ncfsa
bez	bez	Sg
pristanka	pristanak	Ncmsg
njezina	njezin	Ps3msg
vlasnika	vlasnik	Ncmsg
,	,	Z
stekao	steći	Vmp-sm
je	biti	Var3s
time	taj	Pd-nsi
založno	založni	Agpnsny
pravo	pravo	Ncnsn
ako	ako	Cs
su	biti	Var3p
ispunjene	ispunjen	Agpfpny
pretpostavke	pretpostavka	Ncfpn
pod	pod	Si
kojima	koji	Pi-mpi
bi	biti	Vaa3s
mogao	moći	Vmp-sm
steći	steći	Vmn
i	i	Cc
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
na	na	Sl
toj	taj	Pd-fsl
stvari	stvar	Ncfsl
od	od	Sg
nevlasnika	nevlasnik	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
od	od	Sg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
nije	biti	Var3s
ovlaštena	ovlastiti	Appfsny
tako	tako	Rgp
pravno	pravno	Rgp
raspolagati	raspolagati	Vmn
stvarju	stvar	Ncfsi
;	;	Z
to	taj	Pd-nsa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
vrijedi	vrijediti	Vmr3s
i	i	Cc
ako	ako	Cs
je	biti	Var3s
dobio	dobiti	Vmp-sm
u	u	Sa
zalog	zalog	Ncmsan
vrijednosni	vrijednosan	Agpmsayn
papir	papir	Ncmsan
na	na	Sa
donositelja	donositelj	Ncmsay
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sa
stjecanje	stjecanje	Ncnsa
dobrovoljnoga	dobrovoljan	Agpnsgy
podzaložnoga	podzaložan	Agpnsgy
prava	pravo	Ncnsg
kad	kad	Cs
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
dobio	dobiti	Vmp-sm
tu	taj	Pd-fsa
stvar	stvar	Ncfsa
u	u	Sa
zalog	zalog	Ncmsan
bez	bez	Sg
pristanka	pristanak	Ncmsg
založnoga	založni	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
čija	čiji	Pi-fsn
tražbina	tražbina	Ncfsn
osigurava	osiguravati	Vmr3s
taj	taj	Pd-msan
zalog	zalog	Ncmsan
,	,	Z
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsn
primjenjuje	primjenjivati	Vmr3s
odredba	odredba	Ncfsn
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Zaštita	zaštita	Ncfsn
povjerenja	povjerenje	Ncnsg
u	u	Sa
zemljišne	zemljišni	Agpfpay
knjige	knjiga	Ncfpa

Članak	članak	Ncmsn
318.	318.	Mdo

Na	na	Sa
zaštitu	zaštita	Ncfsa
povjerenja	povjerenje	Ncnsg
u	u	Sa
zemljišne	zemljišni	Agpfpay
knjige	knjiga	Ncfpa
glede	glede	Sg
založnih	založni	Agpnpgy
prava	pravo	Ncnpg
na	na	Sl
nekretninama	nekretnina	Ncfpl
(	(	Z
hipoteka	hipoteka	Ncfsn
)	)	Z
,	,	Z
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članka	članak	Ncmsg
122.	122.	Mdo
do	do	Sg
125.	125.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ako	ako	Cs
nisu	biti	Var3p
suprotne	suprotan	Agpfpny
pravnoj	pravni	Agpfsdy
naravi	narav	Ncfsd
tih	tih	Agpnpgy
prava	pravo	Ncnpg
.	.	Z

Odjeljak	odjeljak	Ncmsn
2.	2.	Mdo
Stjecanje	stjecanje	Ncnsn
nečijega	nečiji	Pi-nsg
založnoga	založni	Agpnsgy
prava	pravo	Ncnsg

Prijenos	prijenos	Ncmsn

Članak	članak	Ncmsn
319.	319.	Mdo

Prijeđe	prijeći	Vmr3s
li	li	Qq
na	na	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
pravnom	pravni	Agpmsly
temelju	temelj	Ncmsl
tražbina	tražbina	Ncfpg
osigurana	osigurati	Appfsny
založnim	založni	Agpnsiy
pravom	pravo	Ncnsi
na	na	Sa
drugu	drugi	Mlofsa
osobu	osoba	Ncfsa
,	,	Z
na	na	Sa
nju	on	Pp3fsa
je	biti	Var3s
time	taj	Pd-nsi
ujedno	ujedno	Rgp
prešlo	prijeći	Vmp-sn
i	i	Qo
to	to	Qo
založno	založni	Agpnsay
pravo	pravo	Ncnsa
bez	bez	Sg
posebnoga	poseban	Ncmsg
pravnoga	pravni	Agpmsgy
temelja	temelj	Ncmsg
za	za	Sa
to	taj	Pd-nsa
i	i	Cc
bez	bez	Sg
posebnoga	poseban	Agpmsgy
načina	način	Ncmsg
stjecanja	stjecanje	Ncnsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
je	biti	Var3s
što	što	Pi3n-n
drugo	drugi	Mlonsa
bilo	biti	Vap-sn
određeno	određen	Agpnsny
.	.	Z

Posjed	posjed	Ncmsn
i	i	Cc
upis	upis	Ncmsn

Članak	članak	Ncmsn
320.	320.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
založni	založni	Agpmsny
dužnik	dužnik	Ncmsn
nije	biti	Var3s
pristao	pristati	Vmp-sm
da	da	Cs
pokretna	pokretan	Agpfsny
stvar	stvar	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
zalog	zalog	Ncmsan
bude	biti	Var3s
predana	predati	Appfsny
u	u	Sa
neposredan	neposredan	Agpmsayn
posjed	posjed	Ncmsan
novom	nov	Agpmsly
vjerovniku	vjerovnik	Ncmsl
zalogom	zalog	Sg
osigurane	osigurati	Agpfsgy
tražbine	tražbina	Ncfsg
,	,	Z
zalog	zalog	Ncmsn
ostaje	ostajati	Vmr3s
u	u	Sl
posjedu	posjed	Ncmsl
prenositelja	prenositelj	Ncmsg
tražbine	tražbina	Ncfsg
da	da	Cs
ga	on	Pp3msa
čuva	čuvati	Vmr3s
za	za	Sa
založnoga	založni	Agpmsayn
vjerovnika	vjerovnik	Ncmsay
kao	kao	Cs
posrednoga	posredan	Agpmsgy
posjednika	posjednik	Ncmsg
;	;	Z
vrijedi	vrijediti	Vmr3s
i	i	Qo
za	za	Sa
predaju	predaja	Ncfsa
vrijednosnoga	vrijednosan	Agpmsgy
papira	papir	Ncmsg
na	na	Sa
donositelja	donositelj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Novi	nov	Agpmsny
će	htjeti	Var3s
vjerovnik	vjerovnik	Ncmsn
moći	moći	Vmn
izvršavati	izvršavati	Vmn
ovlasti	ovlast	Ncfpa
koje	koji	Pi-fpa
ima	imati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
hipoteke	hipoteka	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
prešla	prijeći	Vmp-sf
na	na	Sa
njega	on	Pp3msa
zajedno	zajedno	Rgp
s	sa	Si
tražbinom	tražbina	Ncfsi
koju	koji	Pi-fsa
osigurava	osiguravati	Vmr3s
pošto	pošto	Cs
ona	on	Pp3fsn
bude	biti	Var3s
upisana	upisati	Appfsny
u	u	Sl
zemljišnim	zemljišni	Agpfply
knjigama	knjiga	Ncfpl
kao	kao	Cs
njegovo	njegov	Ps3nsn
pravo	pravo	Ncnsn
.	.	Z

Glava	glava	Ncfsn
3.	3.	Mdo
VJEROVNIKOVA	vjerovnikov	Ncmpg
OVLAŠTENJA	ovlaštenje	Ncnsg
DO	do	Sg
NAMIRENJA	namirenje	Ncnsg

Odjeljak	odjeljak	Ncmsn
1.	1.	Mdo
Ovlaštenja	ovlaštenje	Ncnsg
glede	glede	Sg
založenih	založiti	Agpfpgy
pokretnina	pokretnina	Ncfpg

Pravo	pravo	Ncnsn
na	na	Sa
posjed	posjed	Ncmsan

Članak	članak	Ncmsn
321.	321.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Založni	založni	Agpmsny
vjerovnik	vjerovnik	Ncmsn
ima	imati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
svoga	svoj	Px-msg
dobrovoljnoga	dobrovoljan	Ncmsg
založnoga	založni	Agpnsgy
prava	pravo	Ncnsg
na	na	Sl
pokretnoj	pokretan	Agpfsly
stvari	stvar	Ncfsl
