dovoljan	dovoljan	Agpmsann
dio	dio	Ncmsan
cijene	cijena	Ncfsg
položi	položiti	Vmr3s
kod	kod	Sg
suda	sud	Ncmsg
radi	radi	Sg
osiguranja	osiguranje	Ncnsg
vjerovnikove	vjerovnikov	Agpfsgy
tražbine	tražbina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravo	pravo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ima	imati	Vmr3s
i	i	Qo
založni	založni	Agpmsny
vjerovnik	vjerovnik	Ncmsn
;	;	Z
ali	ali	Cc
,	,	Z
zatraži	zatražiti	Vmr3s
li	li	Qq
nužnu	nužan	Agpfsay
prodaju	prodaja	Ncfsa
zaloga	zalog	Ncmsg
,	,	Z
založni	založni	Agpmsny
dužnik	dužnik	Ncmsn
može	moći	Vmr3s
prodaju	prodaja	Ncfsa
izbjeći	izbjeći	Vmn
dade	dada	Ncfpa
li	li	Cs
u	u	Sa
zamjenu	zamjena	Ncfsa
neki	neki	Pi-msan
drugi	drugi	Mlomsan
zalog	zalog	Ncmsan
kojemu	koji	Pi-msd
vrijednost	vrijednost	Ncfsn
nije	biti	Var3s
manja	mali	Agcfsny
,	,	Z
a	a	Cc
njegovo	njegov	Ps3nsn
čuvanje	čuvanje	Ncnsn
ne	ne	Qz
zahtijeva	zahtijevati	Vmr3s
veći	velik	Agcmsayn
trud	trud	Ncmsan
,	,	Z
troškove	trošak	Ncmpa
i	i	Cc
brigu	briga	Ncfsa
od	od	Sg
čuvanja	čuvanje	Ncnsg
prvobitno	prvobitno	Rgp
založene	založiti	Appfpny
stvari	stvar	Ncfpn
.	.	Z

Zaštita	zaštita	Ncfsn
zaloga	zalog	Ncmsg

Članak	članak	Ncmsn
328.	328.	Mdo

Založni	založni	Agpmsny
vjerovnik	vjerovnik	Ncmsn
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
svakomu	svatko	Pi3m-d
,	,	Z
pa	pa	Cc
i	i	Qo
vlasniku	vlasnik	Ncmsl
založene	založiti	Appfpny
stvari	stvar	Ncfpn
,	,	Z
postavljati	postavljati	Vmn
sve	sav	Agpmpay
zahtjeve	zahtjev	Ncmpa
potrebne	potreban	Agpfpny
radi	radi	Sg
zaštite	zaštita	Ncfsg
svojega	svoj	Agpnpgy
prava	pravo	Ncnpg
na	na	Sl
zalogu	zalog	Ncmsl
,	,	Z
a	a	Cc
osobito	osobito	Rgp
ima	imati	Vmr3s
pravo	pravo	Ncnsa
:	:	Z

–	–	Z
zahtijevati	zahtijevati	Vmn
od	od	Sg
onoga	onaj	Pd-nsg
koji	koji	Pi-msn
bespravno	bespravno	Rgp
posjeduje	posjedovati	Vmr3s
založenu	založiti	Agpfsay
stvar	stvar	Ncfsa
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
preda	predati	Vmr3s
;	;	Z
na	na	Sa
to	taj	Pd-nsa
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
pravila	pravilo	Ncnpg
za	za	Sa
vlasnika	vlasnik	Ncmsay
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
predmnjevanoga	predmnjevanog	Ncmsay
vlasnika	vlasnik	Ncmsay
koji	koji	Pi-msn
štiti	štititi	Vmr3s
svoje	svoj	Px-nsa
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
,	,	Z

–	–	Z
zahtijevati	zahtijevati	Vmn
od	od	Sg
onoga	onaj	Pd-msg
koji	koji	Pi-msn
ga	on	Pp3msa
u	u	Sl
njegovu	njegov	Ps3nsl
pravu	pravo	Ncnsl
glede	glede	Sg
založene	založiti	Agpfsgy
stvari	stvar	Ncfsg
bespravno	bespravno	Rgp
uznemirava	uznemiravati	Vmr3s
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
a	a	Cc
ne	ne	Qz
oduzimanjem	oduzimanje	Ncnsi
te	taj	Pd-fpa
stvari	stvar	Ncfpa
da	da	Cs
ga	on	Pp3msa
prestane	prestati	Vmr3s
uznemiravati	uznemiravati	Vmn
;	;	Z
na	na	Sa
to	taj	Pd-nsa
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
pravila	pravilo	Ncnpg
za	za	Sa
vlasnika	vlasnik	Ncmsay
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
predmnjevanoga	predmnjevanog	Ncmsay
vlasnika	vlasnik	Ncmsay
koji	koji	Pi-msn
štiti	štititi	Vmr3s
svoje	svoj	Px-nsa
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
,	,	Z

–	–	Z
zahtijevati	zahtijevati	Vmn
od	od	Sg
zalogodavca	zalogodavac	Ncmsg
drugi	drugi	Mlomsan
primjereni	primjeren	Agpmsayn
zalog	zalog	Ncmsan
umjesto	umjesto	Sg
zaloga	zalog	Ncmsg
sa	sa	Si
skrivenim	skriti	Agpmpiy
nedostacima	nedostatak	Ncmpi
;	;	Z
na	na	Sa
to	taj	Pd-nsa
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
pravila	praviti	Vmp-sf
o	o	Sl
odgovornosti	odgovornost	Ncfsl
za	za	Sa
stvarne	stvaran	Agpmpay
i	i	Cc
pravne	pravni	Agpmpay
nedostatke	nedostatak	Ncmpa
,	,	Z

–	ti	Vmm2s
zahtijevati	zahtijevati	Vmn
nužnu	nužan	Agpfsay
prodaju	prodaja	Ncfsa
zaloga	zalog	Ncmsg
.	.	Z

Odjeljak	odjeljak	Ncmsn
2.	2.	Mdo
Ovlaštenja	ovlaštenje	Ncnsg
glede	glede	Sg
založenih	založiti	Agpfpgy
nekretnina	nekretnina	Ncfpg

Založno	založni	Agpnsny
pravo	pravo	Ncnsn
bez	bez	Sg
posjeda	posjed	Ncmsg

Članak	članak	Ncmsn
329.	329.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vjerovnik	vjerovnik	Ncmsn
tražbine	tražbina	Ncfsg
osigurane	osigurati	Appfpny
založnim	založni	Agpnsiy
pravom	pravo	Ncnsi
na	na	Sl
nekretnini	nekretnina	Ncfsl
(	(	Z
hipotekarni	hipotekarni	Agpmsny
vjerovnik	vjerovnik	Ncmsn
)	)	Z
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
posjed	posjed	Ncmsan
založene	založiti	Agpfsgy
nekretnine	nekretnina	Ncfsg
,	,	Z
niti	niti	Cc
ima	imati	Vmr3s
pravo	pravo	Ncnsa
ubirati	ubirati	Vmn
i	i	Cc
prisvajati	prisvajati	Vmn
njezine	njezin	Ps3mpa
plodove	plod	Ncmpa
i	i	Cc
druge	drugi	Mlofpn
koristi	korist	Ncfsg
od	od	Sg
nje	on	Ncfsg
,	,	Z
ili	ili	Cc
bilo	bilo	Qo
kako	kako	Cs
upotrebljavati	upotrebljavati	Vmn
tu	taj	Pd-fsa
nekretninu	nekretnina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odredba	odredba	Ncfsn
ugovora	ugovor	Ncmsg
ili	ili	Cc
drugoga	drugi	Mlomsg
pravnoga	pravni	Agpmsgy
posla	posao	Ncmsg
suprotna	suprotan	Agpfsny
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
ništava	ništav	Agpfsny
,	,	Z
ako	ako	Cs
nije	biti	Var3s
što	što	Pi3n-n
drugo	drugi	Rgp
određeno	odrediti	Appnsny
zakonom	zakon	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Što	što	Pi3n-n
je	biti	Var3s
određeno	odrediti	Appnsny
o	o	Sl
pravnom	pravni	Agpmsly
položaju	položaj	Ncmsl
vjerovnika	vjerovnik	Ncmpg
čija	čiji	Pi-fsn
je	biti	Var3s
tražbina	tražbina	Ncfsn
osigurana	osigurati	Appfsny
založnim	založni	Agpnsiy
pravom	pravo	Ncnsi
na	na	Sl
nekretnini	nekretnina	Ncfsl
,	,	Z
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuje	primjenjivati	Vmr3s
i	i	Cc
na	na	Sa
vjerovnika	vjerovnik	Ncmsay
čija	čiji	Pi-fsn
je	biti	Var3s
tražbina	tražbina	Ncfsn
osigurana	osigurati	Appfsny
sudskim	sudski	Agpfpiy
ili	ili	Cc
zakonskim	zakonski	Agpnsiy
založnim	založni	Agpnsiy
pravom	pravo	Ncnsi
na	na	Sl
pokretnoj	pokretan	Agpfsly
stvari	stvar	Ncfsl
,	,	Z
ili	ili	Cc
koji	koji	Pi-msn
ima	imati	Vmr3s
registarsko	registarski	Agpnsay
založno	založni	Agpnsay
pravo	pravo	Ncnsa
.	.	Z

Održanje	održanje	Ncnsn
vrijednosti	vrijednost	Ncfsg
zaloga	zalog	Ncmsg

Članak	članak	Ncmsn
330.	330.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
hipotekarni	hipotekarni	Agpmsny
dužnik	dužnik	Ncmsn
čini	činiti	Vmr3s
nešto	nešto	Pi3n-n
što	što	Pi3n-n
dovodi	dovoditi	Vmr3s
u	u	Sa
opasnost	opasnost	Ncfsa
ili	ili	Cc
smanjuje	smanjivati	Vmr3s
vrijednost	vrijednost	Ncfsn
nekretnine	nekretnina	Ncfsg
opterećene	opteretiti	Appfsgy
hipotekom	hipoteka	Ncfsi
,	,	Z
hipotekarni	hipotekarni	Agpmsny
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
ovlašten	ovlastiti	Appmsnn
