potreba	potreba	Ncfsn
novog	nov	Agpnsgy
zapošljavanja	zapošljavanje	Ncnsg
radnika	radnik	Ncmpg
na	na	Sa
neodređeno	neodređen	Agpnsay
vrijeme	vrijeme	Ncnsa
,	,	Z
iste	isti	Agpfsgy
stručne	stručan	Agpfsgy
spreme	sprema	Ncfsg
.	.	Z

Navedeno	navesti	Appnsny
se	sebe	Px--sa
ne	ne	Qz
odnosi	odnositi	Vmr3s
na	na	Sa
ugovore	ugovor	Ncmpa
o	o	Sl
radu	rad	Ncmsl
na	na	Sa
određeno	određen	Agpnsay
vrijeme	vrijeme	Ncnsa
za	za	Sa
sezonske	sezonski	Agpmpay
poslove	posao	Ncmpa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ugovor	ugovor	Ncmsn
o	o	Sl
radu	rad	Ncmsl
na	na	Sa
određeno	određen	Agpnsay
vrijeme	vrijeme	Ncnsa
prestaje	prestajati	Vmr3s
istekom	istek	Ncmsi
vremena	vrijeme	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
prestankom	prestanak	Ncmsi
postojanja	postojanje	Ncnsg
razloga	razlog	Ncmpg
radi	radi	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
sklopljen	sklopiti	Appmsnn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
može	moći	Vmr3s
sklopiti	sklopiti	Vmn
sporazum	sporazum	Ncmsan
s	sa	Si
agencijom	agencija	Ncfsi
za	za	Sa
privremeno	privremen	Agpnsay
zapošljavanje	zapošljavanje	Ncnsa
o	o	Sl
ustupanju	ustupanje	Ncnsl
radnika	radnik	Ncmpg
agencije	agencija	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
privremenih	privremen	Agpmpgy
poslova	posao	Ncmpg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
ugovoru	ugovor	Ncmsl
o	o	Sl
radu	rad	Ncmsl
,	,	Z
kod	kod	Sg
radnika	radnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
prvi	prvi	Mlomsan
put	put	Rgp
zapošljava	zapošljavati	Vmr3s
u	u	Sl
Društvu	društvo	Ncnsl
kao	kao	Cs
i	i	Qo
kod	kod	Sg
radnika	radnik	Ncmsg
koji	koji	Pi-msn
mijenja	mijenjati	Vmr3s
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
u	u	Sl
Društvu	društvo	Ncnsl
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
ugovoriti	ugovoriti	Vmn
probni	probni	Agpmsayn
rad	rad	Ncmsan
.	.	Z

Kod	kod	Sg
radnika	radnik	Ncmpg
koji	koji	Pi-msn
mijenja	mijenjati	Vmr3s
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
u	u	Sl
Društvu	društvo	Ncnsl
putem	put	Sg
internih	interni	Agpmpgy
natječaja	natječaj	Ncmpg
,	,	Z
ukoliko	ukoliko	Cs
ne	ne	Qz
zadovolji	zadovoljiti	Vmr3s
na	na	Sl
probnom	probni	Agpmsly
radu	rad	Ncmsl
,	,	Z
vraća	vraćati	Vmr3s
se	sebe	Px--sa
na	na	Sa
staro	star	Agpnsay
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
ili	ili	Cc
na	na	Sa
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
s	sa	Si
istim	isti	Agpmsiy
koeficijentom	koeficijent	Ncmsi
složenosti	složenost	Ncfsg
tog	taj	Pd-nsg
radnog	radni	Agpnsgy
mjesta	mjesto	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
utvrđuje	utvrđivati	Vmr3s
trajanje	trajanje	Ncnsa
probnog	probni	Agpmsgy
rada	rad	Ncmsg
ovisno	ovisno	Rgp
o	o	Sl
stručnoj	stručan	Agpfsly
spremi	sprema	Ncfsl
i	i	Cc
posebnostima	posebnost	Ncfpl
radnog	radni	Agpnsgy
mjesta	mjesto	Ncnsg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
radnik	radnik	Ncmsn
raspoređuje	raspoređivati	Vmr3s
,	,	Z
a	a	Cc
za	za	Sa
pojedini	pojedini	Agpmsayn
