koji	koji	Pi-msn
se	sebe	Px--sa
upućuje	upućivati	Vmr3s
na	na	Sa
službeno	služben	Agpnsay
putovanje	putovanje	Ncnsa
u	u	Sa
drugo	drugi	Mlonsa
mjesto	mjesto	Ncnsa
(	(	Z
osim	osim	Cs
u	u	Sa
mjesto	mjesto	Ncnsa
u	u	Sl
kojem	koji	Pi-nsl
ima	imati	Vmr3s
prebivalište	prebivalište	Ncnsa
ili	ili	Cc
uobičajeno	uobičajen	Agpnsny
boravište	boravište	Ncnsn
)	)	Z
,	,	Z
a	a	Cc
udaljenosti	udaljenost	Ncfsl
najmanje	malo	Rgs
30	30	Mdc
kilometara	kilometar	Ncmpg
.	.	Z

Službeno	služben	Agpnsny
putovanje	putovanje	Ncnsn
za	za	Sa
koje	koji	Pi-mpa
radniku	radnik	Ncmsl
pripada	pripadati	Vmr3s
dnevnica	dnevnica	Ncfsn
može	moći	Vmr3s
trajati	trajati	Vmn
najduže	dugo	Rgs
do	do	Sg
tjedan	tjedan	Ncmsan
dana	dan	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Radniku	radnik	Ncmsd
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
cijela	cijel	Agpfsny
dnevnica	dnevnica	Ncfsn
za	za	Sa
svaka	svaki	Pi-fsn
24	24	Mdc
sata	sat	Ncmsg
provedena	provesti	Appfsny
na	na	Sl
službenom	služben	Agpmsly
putu	put	Ncmsl
i	i	Cc
za	za	Sa
ostatak	ostatak	Ncmsan
vremena	vrijeme	Ncnsg
duži	dug	Agcmsny
od	od	Sg
12	12	Mdc
sati	sat	Ncmpg
.	.	Z

Radniku	radnik	Ncmsd
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
jedna	jedan	Mlcfsn
cijela	cijel	Agpfsny
dnevnica	dnevnica	Ncfsn
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
službeno	služben	Agpnsny
putovanje	putovanje	Ncnsn
traje	trajati	Vmr3s
manje	malo	Rgc
od	od	Sg
24	24	Mdc
sata	sat	Ncmpg
,	,	Z
ali	ali	Cc
duže	dugo	Rgc
od	od	Sg
12	12	Mdc
sati	sat	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
službeno	služben	Agpnsny
putovanje	putovanje	Ncnsn
traje	trajati	Vmr3s
duže	dugo	Rgc
od	od	Sg
8	8	Mdc
sati	sat	Ncmpg
,	,	Z
ali	ali	Cc
ne	ne	Qz
duže	dugo	Rgc
od	od	Sg
12	12	Mdc
sati	sat	Ncmpg
,	,	Z
radniku	radnik	Ncmsl
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
pola	polo	Rgp
dnevnice	dnevnica	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Također	također	Rgp
,	,	Z
radniku	radnik	Ncmsd
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
pola	polo	Rgp
dnevnice	dnevnica	Ncfsg
za	za	Sa
ostatak	ostatak	Ncmsan
vremena	vrijeme	Ncnsg
duži	dug	Agcmsny
od	od	Sg
8	8	Mdc
,	,	Z
ali	ali	Cc
ne	ne	Qz
duži	dug	Agcmsny
od	od	Sg
12	12	Mdc
sati	sat	Ncmpg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
kad	kad	Cs
službeno	služben	Agpnsny
putovanje	putovanje	Ncnsn
traje	trajati	Vmr3s
duže	dugo	Rgc
od	od	Sg
24	24	Mdc
sata	sat	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Vrijeme	vrijeme	Ncnsn
provedeno	provesti	Appnsny
na	na	Sl
službenom	služben	Agpmsly
putu	put	Ncmsl
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
prekovremenim	prekovremeni	Agpmsiy
radom	rad	Ncmsi
.	.	Z

Terenski	terenski	Agpmsny
dodatak	dodatak	Ncmsn

Članak	članak	Ncmsn
81.	81.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Cs
Poslodavac	poslodavac	Ncmsn
ima	imati	Vmr3s
poslovnu	poslovan	Agpfsay
potrebu	potreba	Ncfsa
uputiti	uputiti	Vmn
radnika	radnik	Ncmsay
raditi	raditi	Vmn
izvan	izvan	Sg
sjedišta	sjedište	Ncnsg
ugovorenog	ugovoriti	Agpnsgy
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
–	–	Z
rad	rad	Ncmsn
na	na	Sl
terenu	teren	Ncmsl
,	,	Z
a	a	Cc
radi	radi	Sg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
vezanih	vezan	Agpmpgy
uz	uz	Sa
realizaciju	realizacija	Ncfsa
ugovora	ugovor	Ncmsg
o	o	Sl
građenju	građenje	Ncnsl
,	,	Z
