način	način	Ncmsn
provedbe	provedba	Ncfsg
kontrole	kontrola	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Odgovornost	odgovornost	Ncfsa
za	za	Sa
štetu	šteta	Ncfsa

Članak	članak	Ncmsn
25.	25.	Mdo

Zaposlenici	zaposlenik	Ncmpn
Agencije	agencija	Ncfsg
ili	ili	Cc
bilo	bilo	Qo
koja	koji	Pi-fsn
osoba	osoba	Ncfsn
koju	koji	Pi-fsa
Agencija	agencija	Ncfsn
ovlasti	ovlast	Ncfsg
ne	ne	Qz
odgovara	odgovarati	Vmr3s
za	za	Sa
štetu	šteta	Ncfsa
koja	koji	Pi-fsn
nastane	nastati	Vmr3s
tijekom	tijekom	Sg
obavljanja	obavljanje	Ncnsg
dužnosti	dužnost	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
dokaže	dokazati	Vmr3s
da	da	Cs
su	biti	Var3p
određenu	određen	Agpfsay
radnju	radnja	Ncfsa
učinili	učiniti	Vmp-pm
ili	ili	Cc
propustili	propustiti	Vmp-pm
učiniti	učiniti	Vmn
namjerno	namjerno	Rgp
ili	ili	Cc
krajnjom	krajnji	Agpfsiy
nepažnjom	nepažnja	Ncfsi
.	.	Z

IV	IV	Mrc
.	.	Z

PREKRŠAJNE	prekršajni	Agpfpny
ODREDBE	odredba	Ncfpn

Prekršaji	prekršaj	Ncmpn
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg

Članak	članak	Ncmsn
26.	26.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
obveze	obveza	Ncfpa
koje	koji	Pi-fpn
za	za	Sa
nju	on	Pp3fsa
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
odredbi	odredba	Ncfpg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
podnijeti	podnijeti	Vmn
optužni	optužni	Agpmsayn
prijedlog	prijedlog	Ncmsan
za	za	Sa
počinjenje	počinjenje	Ncnsa
prekršaja	prekršaj	Ncmsg
nadležnom	nadležan	Agpmsly
prekršajnom	prekršajni	Agpmsly
sudu	sud	Ncmsl
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Hrvatsku	hrvatski	Agpfsay
narodnu	narodni	Agpfsay
banku	banka	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
prekršaj	prekršaj	Ncmsan
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
500.000,00	500.000,00	Mdc
do	do	Sg
1.000.000,00	1.000.000,00	Mdc
kuna	kuna	Ncfpg
u	u	Sl
slučajevima	slučaj	Ncmpl
ako	ako	Cs
:	:	Z

1.	1.	Mdo
ne	ne	Qz
plati	platiti	Vmr3s
premiju	premija	Ncfsa
osiguranja	osiguranje	Ncnsg
depozita	depozit	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
21.	21.	Mdo
stavkom	stavak	Ncmsi
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
Agenciji	agencija	Ncfsl
ne	ne	Qz
omogući	omogućiti	Vmr3s
kontrolu	kontrola	Ncfsa
nad	nad	Si
kreditnom	kreditan	Agpfsiy
institucijom	institucija	Ncfsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
24.	24.	Mdo
stavkom	stavak	Ncmsi
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
deponentu	deponent	Ncmsl
ne	ne	Qz
stavi	staviti	Vmr3s
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
ne	ne	Qz
dostavi	dostaviti	Vmr3s
informacije	informacija	Ncfpa
o	o	Sl
sustavu	sustav	Ncmsl
osiguranja	osiguranje	Ncnsg
depozita	depozit	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
17.	17.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
deponentima	deponent	Ncmpi
naplati	naplatiti	Vmr3s
informacije	informacija	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
17.	17.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

5.	5.	Mdo
Agenciji	agencija	Ncfsl
ne	ne	Qz
dostavi	dostaviti	Vmr3s
traženi	tražen	Agpmsayn
izvještaj	izvještaj	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
tražene	tražen	Agpfpay
informacije	informacija	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
tražena	tražiti	Appnpny
izvješća	izvješće	Ncnpn
u	u	Sl
rokovima	rok	Ncmpl
predviđenim	predvidjeti	Appmply
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
traženo	tražen	Agpnsny
izvješće	izvješće	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
21.	21.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
te	te	Cc
tražene	tražen	Agpfpay
informacije	informacija	Ncfpa
i	i	Cc
podatke	podatak	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
23.	23.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
prekršaj	prekršaj	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Cc
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
uprave	uprava	Ncfsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
5000,00	5000,00	Mdc
do	do	Sg
15.000,00	15.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

V.	V.	Y
