njega	njega	Ncfsn
,	,	Z
na	na	Sl
području	područje	Ncnsl
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
koji	koji	Pi-msn
je	biti	Var3s
priznat	priznati	Appmsnn
u	u	Sl
toj	taj	Pd-fsl
državi	država	Ncfsl
članici	članica	Ncfsl
kao	kao	Cs
istovjetna	istovjetan	Agpfsny
razina	razina	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
priznat	priznati	Vmn
će	htjeti	Var3s
istu	isti	Agpfsay
razinu	razina	Ncfsa
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
ta	taj	Pd-fsn
kvalifikacija	kvalifikacija	Ncfsn
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
uvjete	uvjet	Ncmpa
sadržane	sadržan	Agpmpay
u	u	Sl
propisima	propis	Ncmpl
koji	koji	Pi-mpn
su	biti	Var3p
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
matičnoj	matičan	Agpfsly
državi	država	Ncfsl
članici	članica	Ncfsl
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
tim	taj	Pd-mpi
propisima	propis	Ncmpi
države	država	Ncfsg
članice	članica	Ncfpn
kandidatu	kandidat	Ncmsl
jamče	jamčiti	Vmr3p
stečena	steći	Agpnpay
prava	pravo	Ncnpa
za	za	Sa
bavljenje	bavljenje	Ncnsa
i	i	Cc
mogućnost	mogućnost	Ncfsa
bavljenja	bavljenje	Ncnsg
profesijom	profesija	Ncfsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Stavak	stavak	Ncmsn
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
matična	matičan	Agpfsny
država	država	Ncfsn
članica	članica	Ncfsn
povisi	povisiti	Vmr3s
razinu	razina	Ncfsa
potrebnu	potreban	Agpfsay
za	za	Sa
pristup	pristup	Ncmsan
profesiji	profesija	Ncfsl
i	i	Cc
bavljenje	bavljenje	Ncnsn
tom	taj	Pd-fsi
profesijom	profesija	Ncfsi
te	te	Cc
ako	ako	Cs
se	sebe	Px--sa
kandidat	kandidat	Ncmsn
koristi	koristiti	Vmr3s
stečenim	steći	Appnply
pravima	pravo	Ncnpl
nakon	nakon	Sg
završetka	završetak	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
koje	koji	Pi-nsn
ne	ne	Qz
udovoljava	udovoljavati	Vmr3s
uvjetima	uvjet	Ncmpi
nove	nov	Agpfsgy
razine	razina	Ncfsg
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
propisa	propis	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
matičnoj	matičan	Agpfsly
državi	država	Ncfsl
članici	članica	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
priznat	priznati	Vmn
će	htjeti	Var3s
prethodno	prethodan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
kao	kao	Cs
da	da	Cs
odgovara	odgovarati	Vmr3s
razini	razina	Ncfsl
novog	nov	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
pristup	pristup	Ncmsan
reguliranoj	regulirati	Appfsly
profesiji	profesija	Ncfsl
ili	ili	Cc
bavljenje	bavljenje	Ncnsn
tom	taj	Pd-fsi
profesijom	profesija	Ncfsi
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
uvjetovani	uvjetovati	Appmpny
određenim	određen	Agpmpiy
posebnim	poseban	Agpfply
stručnim	stručan	Agpfply
kvalifikacijama	kvalifikacija	Ncfpl
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dopustiti	dopustiti	Vmn
pristup	pristup	Ncmsan
toj	taj	Pd-fsd
profesiji	profesija	Ncfsd
i	i	Cc
bavljenje	bavljenje	Ncnsn
tom	taj	Pd-fsi
profesijom	profesija	Ncfsi
pod	pod	Si
istim	isti	Agpmpiy
uvjetima	uvjet	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
državljane	državljanin	Ncmpa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
to	to	Qo
kandidatu	kandidat	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
:	:	Z

a	a	Cc
)	)	Z
stekao	steći	Vmp-sm
stručnu	stručan	Agpfsay
kvalifikaciju	kvalifikacija	Ncfsa
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
posjeduje	posjedovati	Vmr3s
potvrdu	potvrda	Ncfsa
kompetentnosti	kompetentnost	Ncfsg
ili	ili	Cc
dokaz	dokaz	Ncmsn
o	o	Sl
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
ovoga	ovaj	Ncmsg
Zakona	zakon	Ncmsg
koji	koji	Pi-msn
zahtijeva	zahtijevati	Vmr3s
država	država	Ncfsn
članica	članica	Ncfpg
za	za	Sa
pristup	pristup	Ncmsan
i	i	Cc
obavljanje	obavljanje	Ncnsa
regulirane	regulirati	Appfsgy
profesije	profesija	Ncfsg
na	na	Sl
njezinu	njezin	Agpnsly
području	područje	Ncnsl
ili	ili	Cc

b	b	Npmsn
)	)	Z
obavljao	obavljati	Vmp-sm
tu	taj	Pd-fsa
profesiju	profesija	Ncfsa
u	u	Sl
punom	pun	Agpmsly
ili	ili	Cc
nepunom	nepun	Agpmsly
radnom	radni	Agpmsly
vremenom	vrijeme	Ncnsi
istovjetnog	istovjetan	Agpnsgy
ukupnog	ukupan	Agpnsgy
trajanja	trajanje	Ncnsg
najmanje	malo	Rgs
godinu	godina	Ncfsa
dana	dan	Ncmpg
u	u	Sa
zadnjih	zadnji	Agpfpgy
deset	deset	Mlc
godina	godina	Ncfpg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
ta	taj	Pd-fsn
profesija	profesija	Ncfsn
nije	biti	Var3s
regulirana	regulirati	Appfsny
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
kandidat	kandidat	Ncmsn
posjeduje	posjedovati	Vmr3s
jednu	jedan	Mlcfsa
ili	ili	Cc
više	mnogo	Rgc
potvrda	potvrda	Ncfpg
kompetentnosti	kompetentnost	Ncfsg
ili	ili	Cc
dokaza	dokaz	Ncmpg
o	o	Sl
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
koje	koji	Pi-mpa
je	biti	Var3s
izdalo	izdati	Vmp-sn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
ta	taj	Pd-fsn
profesija	profesija	Ncfsn
nije	biti	Var3s
regulirana	regulirati	Appfsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Potvrde	potvrda	Ncfpn
kompetentnosti	kompetentnost	Ncfsg
ili	ili	Cc
dokazi	dokaz	Ncmpn
o	o	Sl
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
moraju	morati	Vmr3p
ispunjavati	ispunjavati	Vmn
sljedeće	sljedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
da	da	Cs
su	biti	Var3p
ih	oni	Pp3-pa
izdala	izdati	Vmp-pn
nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
nacionalnim	nacionalan	Agpmpiy
pravnim	pravni	Agpmpiy
propisima	propis	Ncmpi

b	b	Npmsn
)	)	Z
da	da	Cs
potvrđuju	potvrđivati	Vmr3p
da	da	Cs
je	biti	Var3s
kandidat	kandidat	Ncmsn
osposobljen	osposobiti	Appmsnn
za	za	Sa
bavljenje	bavljenje	Ncnsa
tom	taj	Pd-fsi
profesijom	profesija	Ncfsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
ne	ne	Qz
smije	smjeti	Vmr3s
zahtijevati	zahtijevati	Vmn
jednogodišnje	jednogodišnji	Agpnsay
stručno	stručan	Agpnsny
iskustvo	iskustvo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
dokaz	dokaz	Ncmsn
o	o	Sl
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
koji	koji	Pi-msn
