zvjezdicama	zvjezdica	Ncfpl
ili	ili	Cc
u	u	Sl
sklopu	sklop	Ncmsl
ugostiteljskog	ugostiteljski	Agpmsgy
objekta	objekt	Ncmsg
iz	iz	Sg
skupine	skupina	Ncfsg
»	»	Z
Kampovi	kamp	Ncmpn
«	«	Z
koji	koji	Pi-mpn
se	sebe	Px--sa
kategoriziraju	kategorizirati	Vmr3p
te	te	Cc
ako	ako	Cs
takvo	takav	Pd-nsn
određivanje	određivanje	Ncnsn
ne	ne	Qz
podliježe	podlijegati	Vmr3s
primjeni	primjena	Ncfsd
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
.	.	Z

III	III	Mrc
.	.	Z

MINIMALNI	minimalan	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
VRSTU	vrsta	Ncfsa
I	i	Cc
UVJETI	uvjet	Ncmpn
ZA	za	Sa
KATEGORIJU	kategorija	Ncfsa

Minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
obavljanje	obavljanje	Ncnsa
ugostiteljske	ugostiteljski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
u	u	Sl
ugostiteljskim	ugostiteljski	Agpmply
objektima	objekt	Ncmpl
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
vrstu	vrsta	Ncfsa
glede	glede	Sg
uređenja	uređenje	Ncnsg
i	i	Cc
opreme	oprema	Ncfsg
ugostiteljskih	ugostiteljski	Agpmpgy
objekata	objekt	Ncmpg
,	,	Z
usluga	usluga	Ncfpg
,	,	Z
kao	kao	Cs
i	i	Qo
drugi	drugi	Mlompn
uvjeti	uvjet	Ncmpn
propisani	propisati	Appmpny
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
i	i	Cc
propisima	propis	Ncmpi
donesenim	donesen	Agpmpiy
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministar	ministar	Ncmsn
pravilnikom	pravilnik	Ncmsi
propisuje	propisivati	Vmr3s
minimalne	minimalan	Agpmpay
uvjete	uvjet	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
uz	uz	Sa
prethodno	prethodan	Agpnsay
mišljenje	mišljenje	Ncnsa
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
područje	područje	Ncnsa
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
,	,	Z
te	te	Cc
sastav	sastav	Ncmsn
povjerenstva	povjerenstvo	Ncnsg
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
očevid	očevid	Ncmsan
u	u	Sl
ugostiteljskom	ugostiteljski	Agpmsly
objektu	objekt	Ncmsl
.	.	Z

Kategorije	kategorija	Ncfpn

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pojedine	pojedini	Agpfpny
vrste	vrsta	Ncfpn
ugostiteljskih	ugostiteljski	Agpmpgy
objekata	objekt	Ncmpg
iz	iz	Sg
skupina	skupina	Ncfpg
»	»	Z
Hoteli	hotel	Ncmpn
«	«	Z
,	,	Z
»	»	Z
Kampovi	kamp	Ncmpn
«	«	Z
i	i	Cc
»	»	Z
Ostali	ostali	Agpmpny
ugostiteljski	ugostiteljski	Agpmpny
objekti	objekt	Ncmpn
za	za	Sa
smještaj	smještaj	Ncmsan
«	«	Z
kategoriziraju	kategorizirati	Vmr3p
se	sebe	Px--sa
u	u	Sa
kategorije	kategorija	Ncfpa
ovisno	ovisno	Rgp
o	o	Sl
uređenju	uređenje	Ncnsl
,	,	Z
opremi	oprema	Ncfsl
,	,	Z
uređajima	uređaj	Ncmpi
,	,	Z
uslugama	usluga	Ncfpl
,	,	Z
održavanju	održavanje	Ncnsl
i	i	Cc
ostalim	ostali	Agpmpiy
propisanim	propisati	Agpmpiy
elementima	element	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministar	ministar	Ncmsn
pravilnikom	pravilnik	Ncmsi
propisuje	propisivati	Vmr3s
koje	koji	Pi-fpn
se	sebe	Px--sa
vrste	vrsta	Ncfsg
ugostiteljskih	ugostiteljski	Agpmpgy
objekta	objekt	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kategoriziraju	kategorizirati	Vmr3p
,	,	Z
kategorije	kategorija	Ncfpa
,	,	Z
uvjete	uvjet	Ncmpa
za	za	Sa
kategorije	kategorija	Ncfpa
,	,	Z
oznake	oznaka	Ncfsg
za	za	Sa
vrste	vrsta	Ncfpa
i	i	Cc
kategorije	kategorija	Ncfpa
