otklanjanje	otklanjanje	Ncnsn
nedostataka	nedostatak	Ncmpg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
6.	6.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

Članak	članak	Ncmsn
61.	61.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
5000,00	5000,00	Mdc
do	do	Sg
20.000,00	20.000,00	Mdc
kuna	kuna	Ncfpg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
prekršaj	prekršaj	Ncmsan
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
tijelu	tijelo	Ncnsl
javne	javan	Agpfsgy
vlasti	vlast	Ncfsg
koja	koji	Pi-fsn
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odlukom	odluka	Ncfsi
Povjerenika	povjerenik	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
25.	25.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
roku	rok	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
određen	odrediti	Appmsnn
odlukom	odluka	Ncfsi
Povjerenika	povjerenik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
od	od	Sg
5000,00	5000,00	Mdc
do	do	Sg
50.000,00	50.000,00	Mdc
kuna	kuna	Ncfpg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
prekršaj	prekršaj	Ncmsan
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
ošteti	oštetiti	Vmr3s
,	,	Z
uništi	uništiti	Vmr3s
,	,	Z
sakrije	sakriti	Vmr3s
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
učini	učiniti	Vmr3s
nedostupnim	nedostupan	Agpmsiy
dokument	dokument	Ncmsan
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
informaciju	informacija	Ncfsa
u	u	Sl
namjeri	namjera	Ncfsl
da	da	Cs
onemogući	onemogućiti	Vmr3s
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
1000,00	1000,00	Mdc
do	do	Sg
50.000,00	50.000,00	Mdc
kuna	kuna	Ncfpg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
od	od	Sg
2000,00	2000,00	Mdc
do	do	Sg
100.000,00	100.000,00	Mdc
kuna	kuna	Ncfpg
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
upotrijebi	upotrijebiti	Vmr3s
informacije	informacija	Ncfpa
protivno	protivno	Rgp
objavljenim	objavljen	Agpmpiy
uvjetima	uvjet	Ncmpi
za	za	Sa
ponovnu	ponovan	Agpfsay
uporabu	uporaba	Ncfsa
informacija	informacija	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
31.	31.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

Članak	članak	Ncmsn
62.	62.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
2000,00	2000,00	Mdc
do	do	Sg
10.000,00	10.000,00	Mdc
kuna	kuna	Ncfpg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
prekršaj	prekršaj	Ncmsan
