humanitarni	humanitaran	Agpmsayn
rad	rad	Ncmsan
i	i	Cc
volonterstvo	volonterstvo	Ncnsa
8	8	Mdc
3.3.	3.3.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
i	i	Cc
Europsku	europski	Agpfsay
uniju	unija	Ncfsa
1	1	Mdc
3.3.1.	3.3.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
8	8	Mdc
3.3.2.	3.3.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
fondove	fond	Ncmpa
Europske	europski	Agpfsgy
unije	unija	Ncfsg
1	1	Mdc
3.3.2.1.	3.3.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
programa	program	Ncmpg
iz	iz	Sg
fondova	fond	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
4	4	Mdc
3.3.2.2.	3.3.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
programa	program	Ncmpg
iz	iz	Sg
fondova	fond	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
7	7	Mdc
3.3.2.3.	3.3.2.3.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
praćenje	praćenje	Ncnsa
programa	program	Ncmpg
iz	iz	Sg
fondova	fond	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
4	4	Mdc
3.3.2.4.	3.3.2.4.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
vrednovanje	vrednovanje	Ncnsa
projekata	projekat	Ncmpg
iz	iz	Sg
fondova	fond	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
4	4	Mdc
3.3.3.	3.3.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
u	u	Sl
području	područje	Ncnsl
zaštite	zaštita	Ncfsg
djece	dijete	Ncnpg
i	i	Cc
koordinaciju	koordinacija	Ncfsa
sustava	sustav	Ncmsg
socijalne	socijalan	Agpfsgy
sigurnosti	sigurnost	Ncfsg
10	10	Mdc
Uprava	uprava	Ncfpg
za	za	Sa
socijalnu	socijalan	Agpfsay
politiku	politika	Ncfsa
,	,	Z
strategiju	strategija	Ncfsa
i	i	Cc
mlade	mlad	Agpmpay
–	–	Z
ukupno	ukupno	Rgp
89	89	Mdc
4.	4.	Mdo
Uprava	uprava	Ncfsn
za	za	Sa
provedbu	provedba	Ncfsa
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
,	,	Z
organizaciju	organizacija	Ncfsa
i	i	Cc
nadzor	nadzor	Ncmsan
ustanova	ustanova	Ncfpg
4.1.	4.1.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
podršku	podrška	Ncfsa
ustanovama	ustanova	Ncfpi
i	i	Cc
drugim	drugi	Mlompl
pružateljima	pružatelj	Ncmpl
socijalnih	socijalan	Agpfpgy
usluga	usluga	Ncfpg
1	1	Mdc
4.1.1.	4.1.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
podršku	podrška	Ncfsa
centrima	centar	Ncmpi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
1	1	Mdc
4.1.1.1.	4.1.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
stručnu	stručan	Agpfsay
podršku	podrška	Ncfsa
centrima	centar	Ncmpi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
8	8	Mdc
4.1.1.2.	4.1.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
organizacijsku	organizacijski	Agpfsay
,	,	Z
informatičku	informatički	Agpfsay
i	i	Cc
infrastrukturnu	infrastrukturni	Agpfsay
podršku	podrška	Ncfsa
5	5	Mdc
4.1.1.3.	4.1.1.3.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
analitiku	analitika	Ncfsa
i	i	Cc
statistiku	statistika	Ncfsa
5	5	Mdc
4.1.2.	4.1.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
podršku	podrška	Ncfsa
domovima	dom	Ncmpi
i	i	Cc
drugim	drugi	Mlompl
pružateljima	pružatelj	Ncmpl
socijalnih	socijalan	Agpfpgy
usluga	usluga	Ncfpg
1	1	Mdc
4.1.2.1.	4.1.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
transformaciju	transformacija	Ncfsa
domova	dom	Ncmpg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
5	5	Mdc
4.1.2.2.	4.1.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
stručnu	stručan	Agpfsay
i	i	Cc
infrastrukturnu	infrastrukturni	Agpfsay
podršku	podrška	Ncfsa
domovima	dom	Ncmpi
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
5	5	Mdc
4.1.3.	4.1.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
kvalitetom	kvaliteta	Ncfsi
i	i	Cc
stručno	stručan	Agpnsny
usavršavanje	usavršavanje	Ncnsn
8	8	Mdc
4.2.	4.2.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
nadzor	nadzor	Ncmsan
i	i	Cc
predstavke	predstavka	Ncfpa
1	1	Mdc
4.2.1.	4.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
upravni	upravan	Agpmsayn
i	i	Cc
inspekcijski	inspekcijski	Agpmsayn
nadzor	nadzor	Ncmsan
1	1	Mdc
4.2.1.1.	4.2.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
upravni	upravan	Agpmsayn
nadzor	nadzor	Ncmsan
8	8	Mdc
4.2.1.2.	4.2.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
inspekcijski	inspekcijski	Agpmsayn
nadzor	nadzor	Ncmsan
10	10	Mdc
4.2.2.	4.2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
predstavke	predstavka	Ncfpa
i	i	Cc
pritužbe	pritužba	Ncfsg
8	8	Mdc
Uprava	uprava	Ncfpg
za	za	Sa
provedbu	provedba	Ncfsa
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
,	,	Z
organizaciju	organizacija	Ncfsa
i	i	Cc
nadzor	nadzor	Ncmsan
ustanova	ustanova	Ncfpg
–	–	Z
ukupno	ukupno	Rgp
67	67	Mdc
5.	5.	Mdo
Uprava	uprava	Ncfsn
za	za	Sa
financije	financije	Ncfpa
,	,	Z
proračun	proračun	Ncmsan
i	i	Cc
ugovaranje	ugovaranje	Ncnsa
s	sa	Si
pružateljima	pružatelj	Ncmpi
usluga	usluga	Ncfpg
5.1.	5.1.	Mdo

Sektor	sektor	Ncmsn
za	za	Sa
proračun	proračun	Ncmsan
i	i	Cc
financije	financije	Ncfpa
1	1	Mdc
5.1.1.	5.1.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
,	,	Z
financijsko	financijski	Agpnsny
planiranje	planiranje	Ncnsn
i	i	Cc
decentralizirane	decentraliziran	Agpfsgy
funkcije	funkcija	Ncfsg
1	1	Mdc
5.1.1.1.	5.1.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
financijsko	financijski	Agpnsny
planiranje	planiranje	Ncnsn
i	i	Cc
decentralizirane	decentraliziran	Agpfsgy
funkcije	funkcija	Ncfsg
7	7	Mdc
5.1.1.2.	5.1.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
izvršavanje	izvršavanje	Ncnsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
financijskih	financijski	Agpmpgy
planova	plan	Ncmpg
ustanova	ustanova	Ncfpg
i	i	Cc
kontrolu	kontrola	Ncfsa
novčanih	novčan	Agpfpgy
naknada	naknada	Ncfpg
12	12	Mdc
5.1.2.	5.1.2.	Y

Služba	služba	Ncfsn
za	za	Sa
računovodstvo	računovodstvo	Ncnsa
i	i	Cc
financije	financije	Ncfpa
1	1	Mdc
5.1.2.1.	5.1.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
računovodstvo	računovodstvo	Ncnsa
1	1	Mdc
5.1.2.1.1.	5.1.2.1.1.	Y

Pododsjek	pododsjek	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
međunarodnih	međunarodni	Agpfpgy
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
3	3	Mdc
5.1.2.1.2.	5.1.2.1.2.	Mdo

Pododsjek	pododsjek	Ncmsn
za	za	Sa
nefinancijsku	nefinancijski	Agpfsay
imovinu	imovina	Ncfsa
3	3	Mdc
5.1.2.2.	5.1.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
platni	platni	Agpmsayn
promet	promet	Ncmsan
i	i	Cc
likvidaturu	likvidatura	Ncfsa
1	1	Mdc
5.1.2.2.1.	5.1.2.2.1.	Mdo

Pododsjek	pododsjek	Ncmsn
za	za	Sa
platni	platni	Agpmsayn
promet	promet	Ncmsan
3	3	Mdc
5.1.2.2.2.	5.1.2.2.2.	Mdo

Pododsjek	pododsjek	Ncmsn
za	za	Sa
likvidaturu	likvidatura	Ncfsa
4	4	Mdc
5.1.2.3.	5.1.2.3.	Y

Odjel	odjel	Ncmsn
za	za	Sa
financijsko	financijski	Agpnsay
upravljanje	upravljanje	Ncnsa
i	i	Cc
kontrole	kontrola	Ncfsg
5	5	Mdc
5.1.3.	5.1.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
investicije	investicija	Ncfpa
i	i	Cc
upravljanje	upravljanje	Ncnsa
imovinom	imovina	Ncfsi
9	9	Mdc
5.2.	5.2.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
socijalnih	socijalan	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
programe	program	Ncmpa
i	i	Cc
projekte	projekt	Ncmpa
1	1	Mdc
5.2.1.	5.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
usluga	usluga	Ncfpg
u	u	Sl
mreži	mreža	Ncfsl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
8	8	Mdc
5.2.2.	5.2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
programa	program	Ncmpg
i	i	Cc
projekata	projekat	Ncmpg
udruga	udruga	Ncfsn
8	8	Mdc
5.2.3.	5.2.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
praćenje	praćenje	Ncnsa
programa	program	Ncmpg
i	i	Cc
projekata	projekat	Ncmpg
udruga	udruga	Ncfsn
8	8	Mdc
Uprava	uprava	Ncfsn
za	za	Sa
financije	financije	Ncfpa
,	,	Z
proračun	proračun	Ncmsan
i	i	Cc
ugovaranja	ugovaranje	Ncnsg
s	sa	Si
pružateljima	pružatelj	Ncmpi
usluga	usluga	Ncfpg
–	–	Z
ukupno	ukupno	Rgp
76	76	Mdc
6.	6.	Mdo
Samostalni	samostalan	Agpmsayn
sektor	sektor	Ncmsan
za	za	Sa
pravne	pravni	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
6.1.	6.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
drugostupanjski	drugostupanjski	Agpmsayn
postupak	postupak	Ncmsan
9	9	Mdc
6.2.	6.2.	Mds

Služba	služba	Ncfsn
za	za	Sa
statusno	statusni	Agpnsay
pravne	pravni	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
7	7	Mdc
Samostalni	samostalan	Agpmsny
sektor	sektor	Ncmsn
za	za	Sa
pravne	pravni	Agpmpay
poslove	posao	Ncmpa
–	–	Z
ukupno	ukupno	Rgp
17	17	Mdc
7.	7.	Mdo
Samostalna	samostalan	Agpfsny
služba	služba	Ncfsn
za	za	Sa
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
5	5	Mdc
Ministarstvo	ministarstvo	Ncnsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
–	–	Z
UKUPNO	ukupno	Rgp
313	313	Mdc

