osigurao	osigurati	Vmp-sm
zaštitu	zaštita	Ncfsa
svojih	svoj	Px-mpg
postrojenja	postrojenje	Ncnsg
i	i	Cc
instalacija	instalacija	Ncfsn
od	od	Sg
posljedica	posljedica	Ncfpg
prekida	prekid	Ncmsg
napajanja	napajanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Operator	operator	Ncmsn
sustava	sustav	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
nakon	nakon	Sg
saznanja	saznanje	Ncnsg
o	o	Sl
prekidu	prekid	Ncmsl
napajanja	napajanje	Ncnsg
u	u	Sl
najkraćem	kratak	Agsmsly
mogućem	moguć	Agpmsly
roku	rok	Ncmsl
ponovno	ponovno	Rgp
uspostaviti	uspostaviti	Vmn
napajanje	napajanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
operator	operator	Ncmsn
sustava	sustav	Ncmsg
procijeni	procijeniti	Vmr3s
da	da	Cs
će	htjeti	Var3s
prekid	prekid	Ncmsan
napajanja	napajanje	Ncnsg
trajati	trajati	Vmn
dulje	dugo	Rgc
od	od	Sg
dva	dva	Mlc
sata	sat	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
putem	put	Sg
medija	medij	Ncmpg
i	i	Cc
svoje	svoj	Px-fpa
internetske	internetski	Agpfpay
stranice	stranica	Ncfpa
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
obavijestiti	obavijestiti	Vmn
korisnike	korisnik	Ncmpa
mreže	mreža	Ncfsg
i	i	Cc
korisnike	korisnik	Ncmpa
mjernih	mjerni	Agpmpgy
podataka	podatak	Ncmpg
o	o	Sl
procijenjenom	procijeniti	Agpnsly
trajanju	trajanje	Ncnsl
prekida	prekid	Ncmsg
napajanja	napajanje	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
prekid	prekid	Ncmsan
napajanja	napajanje	Ncnsg
u	u	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
prijenosnog	prijenosni	Agpmsgy
sustava	sustav	Ncmsg
uzrokuje	uzrokovati	Vmr3s
prekid	prekid	Ncmsan
napajanja	napajanje	Ncnsg
u	u	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
operator	operator	Ncmsn
prijenosnog	prijenosni	Agpmsgy
sustava	sustav	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
obavijestiti	obavijestiti	Vmn
operatora	operator	Ncmsg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
o	o	Sl
procijenjenom	procijeniti	Agpnsly
trajanju	trajanje	Ncnsl
prekida	prekid	Ncmsg
napajanja	napajanje	Ncnsg
te	te	Cc
mu	on	Pp3msd
u	u	Sl
najkraćem	kratak	Agsmsly
roku	rok	Ncmsl
dostaviti	dostaviti	Vmn
pisano	pisan	Agpnsay
izvješće	izvješće	Ncnsa
s	sa	Si
analizom	analiza	Ncfsi
uzroka	uzrok	Ncmsg
prekida	prekid	Ncmsg
napajanja	napajanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Operator	operator	Ncmsn
sustava	sustav	Ncmsg
može	moći	Vmr3s
