obavljanju	obavljanje	Ncnsl
djelatnosti	djelatnost	Ncfpg
u	u	Sl
području	područje	Ncnsl
elektroničkih	elektronički	Agpfpgy
komunikacija	komunikacija	Ncfpg
uređeno	urediti	Appnsny
je	biti	Var3s
Glavom	glava	Ncfsi
VIII	viii	Mrc
.	.	Z

ZEK-a	ZEK	Npmsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
,	,	Z
između	između	Sg
ostalog	ostali	Agpmsgy
,	,	Z
propisan	propisan	Agpmsann
postupak	postupak	Ncmsan
analize	analiza	Ncfsg
tržišta	tržište	Ncnsg
,	,	Z
utvrđivanja	utvrđivanje	Ncnsg
tržišta	tržište	Ncnsg
podložnih	podložan	Agpmpgy
prethodnoj	prethodan	Agpfsly
regulaciji	regulacija	Ncfsl
,	,	Z
određivanja	određivanje	Ncnsg
mjerodavnih	mjerodavan	Agpnpgy
tržišta	tržište	Ncnpg
i	i	Cc
operatora	operator	Ncmpg
sa	sa	Si
značajnom	značajan	Agpfsiy
tržišnom	tržišni	Agpfsiy
snagom	snaga	Ncfsi
te	te	Cc
određivanja	određivanje	Ncnsg
regulatornih	regulatoran	Agpfpgy
obveza	obveza	Ncfpg
.	.	Z

Člankom	članak	Ncmsi
55.	55.	Mdo
stavkom	stavka	Ncfsi
5.	5.	Mdo
ZEK-a	zek-	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
jedan	jedan	Mlcmsn
od	od	Sg
operatora	operator	Ncmpg
ima	imati	Vmr3s
značajnu	značajan	Agpfsay
tržišnu	tržišni	Agpfsay
snagu	snaga	Ncfsa
na	na	Sl
određenom	određen	Agpnsly
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
može	moći	Vmr3s
odrediti	odrediti	Vmn
operatorom	operator	Ncmsi
sa	sa	Si
značajnom	značajan	Agpfsiy
tržišnom	tržišni	Agpfsiy
snagom	snaga	Ncfsi
i	i	Cc
na	na	Sl
usko	usko	Rgp
povezanom	povezan	Agpnsly
tržištu	tržište	Ncnsl
ako	ako	Cs
su	biti	Var3p
veze	veza	Ncfpn
između	između	Sg
ta	taj	Ncmpg
dva	dva	Mlc
tržišta	tržište	Ncnsg
takve	takav	Pd-fsg
da	da	Cs
dopuštaju	dopuštati	Vmr3p
prijenos	prijenos	Ncmsan
tržišne	tržišni	Agpfsgy
snage	snaga	Ncfsg
s	sa	Sg
jednog	jedan	Agpnsgy
tržišta	tržište	Ncnsg
na	na	Sa
drugo	drugi	Ncnsa
,	,	Z
povećavajući	povećavati	Rr
pritom	pritom	Rgp
tržišnu	tržišni	Agpfsay
snagu	snaga	Ncfsa
tog	taj	Pd-msg
operatora	operator	Ncmsg
.	.	Z

U	u	Sl
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
prethodio	prethoditi	Vmp-sm
ovom	ovaj	Pd-msl
upravnom	upravan	Agpmsly
sporu	spor	Ncmsl
tuženik	tuženik	Ncmsn
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
tržište	tržište	Ncnsn
maloprodaje	maloprodaja	Ncfsg
širokopojasnog	širokopojasni	Agpmsgy
pristupa	pristup	Ncmsg
Internetu	internet	Ncmsd
tržište	tržište	Ncnsa
podložno	podložno	Rgp
prethodnoj	prethodan	Agpfsly
regulaciji	regulacija	Ncfsl
jer	jer	Cs
