različitih	različit	Agpfpgy
procjena	procjena	Ncfpg
unutar	unutar	Sg
raspona	raspon	Ncmsg
mogu	moći	Vmr3p
razumno	razumno	Rgp
procijeniti	procijeniti	Vmn
i	i	Cc
koristiti	koristiti	Vmn
u	u	Sl
procjeni	procjena	Ncfsl
fer	fer	Agpfsly
vrijednosti	vrijednost	Ncfsl
.	.	Z

Ako	ako	Cs
poduzetnik	poduzetnik	Ncmsn
može	moći	Vmr3s
pouzdano	pouzdano	Rgp
utvrditi	utvrditi	Vmn
fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
primljene	primljen	Agpfsgy
imovine	imovina	Ncfsg
ili	ili	Cc
fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
dane	dan	Agpfsgy
imovine	imovina	Ncfsg
tada	tada	Rgp
se	sebe	Px--sa
fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
dane	dan	Agpfsgy
imovine	imovina	Ncfsg
koristi	koristiti	Vmr3s
za	za	Sa
mjerenje	mjerenje	Ncnsa
troška	trošak	Ncmsg
primljene	primljen	Agpfsgy
imovine	imovina	Ncfsg
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
ako	ako	Cs
se	sebe	Px--sa
fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
primljene	primljen	Agpfsgy
imovine	imovina	Ncfsg
može	moći	Vmr3s
pouzdanije	pouzdano	Rgc
procijeniti	procijeniti	Vmn
.	.	Z

6.56.	6.56.	Mdo

Ako	ako	Cs
nema	nemati	Vmr3s
razloga	razlog	Ncmsg
vjerovati	vjerovati	Vmn
da	da	Cs
vrijednost	vrijednost	Ncfsn
imovine	imovina	Ncfsg
u	u	Sl
upotrebi	upotreba	Ncfsl
značajno	značajno	Rgp
premašuje	premašivati	Vmr3s
njezinu	njezin	Ps3fsa
fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
minus	minus	Ncmsn
troškovi	trošak	Ncmpn
prodaje	prodaja	Ncfsg
,	,	Z
nadoknadivi	nadoknadiv	Agpmsny
iznos	iznos	Ncmsn
imovine	imovina	Ncfsg
može	moći	Vmr3s
biti	biti	Van
njegova	njegov	Pd-nsn
fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
minus	minus	Ncmsn
troškovi	trošak	Ncmpn
prodaje	prodaja	Ncfsg
.	.	Z

To	taj	Pd-nsn
će	htjeti	Var3s
biti	biti	Van
često	često	Rgp
slučaj	slučaj	Ncmsn
kod	kod	Sg
imovine	imovina	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
drži	držati	Vmr3s
za	za	Sa
otpis	otpis	Ncmsan
ili	ili	Cc
prodaju	prodaja	Ncfsa
.	.	Z

To	taj	Pd-nsn
je	biti	Var3s
zato	zato	Cs
jer	jer	Cs
će	htjeti	Var3s
se	sebe	Px--sa
vrijednost	vrijednost	Ncfsn
imovine	imovina	Ncfsg
u	u	Sl
upotrebi	upotreba	Ncfsl
koje	koji	Pi-nsn
se	sebe	Px--sa
drži	držati	Vmr3s
za	za	Sa
otpis	otpis	Ncmsan
ili	ili	Cc
prodaju	prodaja	Ncfsa
uglavnom	uglavnom	Rgp
sastojati	sastojati	Vmn
od	od	Sg
neto	neto	Agpfsgy
primitka	primitak	Ncmsg
od	od	Sg
prodaje	prodaja	Ncfsg
,	,	Z
budući	budući	Cs
da	da	Cs
su	biti	Var3p
novčani	novčan	Agpmpny
tokovi	tok	Ncmpn
od	od	Sg
neprekinute	neprekinut	Agpfsgy
upotrebe	upotreba	Ncfsg
imovine	imovina	Ncfsg
sve	sav	Agpnsny
do	do	Sg
prodaje	prodaja	Ncfsg
,	,	Z
vjerojatno	vjerojatno	Rgp
zanemarivi	zanemariv	Agpmpny
.	.	Z

6.57.	6.57.	Mdo

Nadoknadivi	nadoknadiv	Agpmsny
iznos	iznos	Ncmsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
za	za	Sa
svaku	svaki	Pi-fsa
pojedinačnu	pojedinačan	Agpfsay
imovinu	imovina	Ncfsa
,	,	Z
osim	osim	Cs
ako	ako	Cs
imovina	imovina	Ncfsn
ne	ne	Qz
stvara	stvarati	Vmr3s
novčane	novčan	Agpmpay
priljeve	priljev	Ncmpa
od	od	Sg
neprekinute	neprekinut	Agpfsgy
upotrebe	upotreba	Ncfsg
,	,	Z
koji	koji	Pi-msn
značajno	značajno	Rgp
ovisi	ovisiti	Vmr3s
o	o	Sl
drugoj	drugi	Mlofsl
imovini	imovina	Ncfsl
ili	ili	Cc
skupinama	skupina	Ncfpl
imovine	imovina	Ncfsg
.	.	Z

U	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
,	,	Z
nadoknadivi	nadoknadiv	Agpmsny
iznos	iznos	Ncmsn
za	za	Sa
jedinicu	jedinica	Ncfsa
stvaranja	stvaranje	Ncnsg
novca	novac	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
jedinici	jedinica	Ncfsl
imovine	imovina	Ncfsg
gdje	gdje	Cs
ta	taj	Pd-fsn
imovina	imovina	Ncfsn
pripada	pripadati	Vmr3s
.	.	Z

6.58.	6.58.	Mdo

Utvrđivanje	utvrđivanje	Ncnsn
vrijednosti	vrijednost	Ncfsg
u	u	Sl
upotrebi	upotreba	Ncfsl
odrazit	odraziti	Vmn
