b	b	Npmsn
)	)	Z
ugovor	ugovor	Ncmsan
koji	koji	Pi-msn
će	htjeti	Var3s
se	sebe	Px--sa
podmirivati	podmirivati	Vmn
ili	ili	Cc
se	sebe	Px--sa
može	moći	Vmr3s
podmiriti	podmiriti	Vmn
vlastitim	vlastit	Agpmpiy
vlasničkim	vlasnički	Agpmpiy
instrumentima	instrument	Ncmpi
poduzetnika	poduzetnik	Ncmpg

13.13.	13.13.	Mds

Rezerviranje	rezerviranje	Ncnsn
je	biti	Var3s
obveza	obveza	Ncfsn
čija	čiji	Pi-fsn
je	biti	Var3s
priroda	priroda	Ncfsn
jasno	jasno	Rgp
određena	odrediti	Appfsny
i	i	Cc
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
na	na	Sa
datum	datum	Ncmsan
bilance	bilanca	Ncfsg
vjerojatno	vjerojatno	Rgp
ili	ili	Cc
sigurno	siguran	Agpnsny
da	da	Cs
će	htjeti	Var3s
nastati	nastati	Vmn
ali	ali	Cc
postoji	postojati	Vmr3s
neizvjesnost	neizvjesnost	Ncfsn
u	u	Sl
pogledu	pogled	Ncmsl
iznosa	iznos	Ncmsg
ili	ili	Cc
datuma	datum	Ncmsg
kada	kada	Cs
će	htjeti	Var3s
nastati	nastati	Vmn
.	.	Z

Rezerviranje	rezerviranje	Ncnsn
se	sebe	Px--sa
ne	ne	Qz
koristi	koristiti	Vmr3s
za	za	Sa
usklađivanje	usklađivanje	Ncnsa
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
.	.	Z

13.14.	13.14.	Mds

Zakonska	zakonski	Agpfsny
obveza	obveza	Ncfsn
je	biti	Var3s
obveza	obveza	Ncfsn
koja	koji	Pi-fsn
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
:	:	Z

–	–	Sg
ugovora	ugovor	Ncmsg
,	,	Z

–	–	Sg
zakona	zakon	Ncmsg
,	,	Z

–	–	Sg
drugog	drugi	Agpnsgy
djelovanja	djelovanje	Ncnsg
zakona	zakon	Ncmsg
.	.	Z

13.15.	13.15.	Mds

Izvedena	izvesti	Appfsny
obveza	obveza	Ncfsn
je	biti	Var3s
obveza	obveza	Ncfsn
koja	koji	Pi-fsn
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
djelovanja	djelovanje	Ncnsg
poduzetnika	poduzetnik	Ncmpg
gdje	gdje	Cs
:	:	Z

–	–	Z
putem	put	Sg
prakse	praksa	Ncfsg
,	,	Z
publiciranih	publicirati	Agpfpgy
politika	politika	Ncfpg
ili	ili	Cc
dovoljno	dovoljno	Rgp
određenih	određen	Agpfpgy
izjava	izjava	Ncfpg
,	,	Z
poduzetnik	poduzetnik	Ncmsn
pokazuje	pokazivati	Vmr3s
drugim	drugi	Mlofpl
stranama	strana	Ncfpl
da	da	Cs
će	htjeti	Var3s
prihvatiti	prihvatiti	Vmn
odgovornosti	odgovornost	Ncfpa
i	i	Cc

–	–	Pq3n-n
kao	kao	Cs
rezultat	rezultat	Ncmsn
toga	taj	Pd-nsg
,	,	Z
poduzetnik	poduzetnik	Ncmsn
je	biti	Var3s
stvorio	stvoriti	Vmp-sm
opravdana	opravdati	Agpnpay
očekivanja	očekivanje	Ncnpa
drugih	drugi	Mlompg
stranaka	stranka	Ncfpg
da	da	Cs
će	htjeti	Var3s
odgovornost	odgovornost	Ncfsn
biti	biti	Van
realizirana	realizirati	Appfsny
.	.	Z

13.16.	13.16.	Mds

Nepredviđena	nepredviđen	Agpfsny
obveza	obveza	Ncfsn
je	biti	Var3s
:	:	Z

–	–	Z
moguća	moguć	Agpfsny
obveza	obveza	Ncfsn
proizašla	proizaći	Vmp-sf
iz	iz	Sg
prošlih	prošli	Agpnpgy
događanja	događanje	Ncnpg
čije	čiji	Pi-nsn
će	htjeti	Var3s
ostvarenje	ostvarenje	Ncnsa
biti	biti	Van
potvrđeno	potvrditi	Appnsny
nastankom	nastanak	Ncmsi
ili	ili	Cc
ne	ne	Qz
nastankom	nastanak	Ncmsi
budućih	budući	Agpnpgy
poslovnih	poslovan	Agpnpgy
događanja	događanje	Ncnpg
koji	koji	Pi-mpn
nisu	biti	Var3p
pod	pod	Si
kontrolom	kontrola	Ncfsi
poduzetnika	poduzetnik	Ncmpg
,	,	Z

–	i	Agpfsny
sadašnja	sadašnji	Agpfsny
obveza	obveza	Ncfsn
koja	koji	Pi-fsn
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
prošlih	prošli	Agpnpgy
događanja	događanje	Ncnpg
koja	koji	Pi-npn
nije	biti	Var3s
priznata	priznati	Agpfsny
s	sa	Si
obvezom	obveza	Ncfsi
da	da	Cs
nije	biti	Var3s
vjerojatno	vjerojatan	Agpnsny
da	da	Cs
će	htjeti	Var3s
podmirivanje	podmirivanje	Ncnsn
ove	ovaj	Pd-fsg
obveze	obveza	Ncfsg
zahtijevati	zahtijevati	Vmn
odljev	odljev	Ncmsan
resursa	resurs	Ncmpg
.	.	Z

SADRŽAJ	sadržaj	Ncmsn

13.17.	13.17.	Mds

Ovaj	ovaj	Pd-msn
Standard	standard	Ncmsn
sadrži	sadržati	Vmr3s
načela	načelo	Ncnpa
,	,	Z
pravila	pravilo	Ncnpa
,	,	Z
postupke	postupak	Ncmpa
i	i	Cc
metode	metoda	Ncfpa
mjerenja	mjerenje	Ncnsg
i	i	Cc
evidentiranja	evidentiranje	Ncnsg
,	,	Z
priznavanja	priznavanje	Ncnsg
