promijenjene	promijeniti	Appfpny
,	,	Z
i	i	Cc
b.	bi	Agpnsay
priznavanje	priznavanje	Ncnsa
učinaka	učinak	Ncmpg
promjena	promjena	Ncfpg
računovodstvenih	računovodstveni	Agpfpgy
procjena	procjena	Ncfpg
u	u	Sl
tekućem	tekući	Agpmsly
i	i	Cc
budućim	budući	Agpnply
razdobljima	razdoblje	Ncnpl
uvjetovanih	uvjetovati	Appmpgy
tom	taj	Pd-fsi
promjenom	promjena	Ncfsi
.	.	Z

Čvrsta	čvrst	Agpfsny
obveza	obveza	Ncfsn
za	za	Sa
kupnju	kupnja	Ncfsa
je	biti	Var3s
dogovor	dogovor	Ncmsan
s	sa	Si
nepovezanom	nepovezan	Agpfsiy
stranom	strana	Ncfsi
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
obvezujući	obvezujuć	Agpmsny
za	za	Sa
obje	oba	Ncfpa
strane	strana	Ncfsg
i	i	Cc
uglavnom	uglavnom	Rgp
sa	sa	Si
zakonski	zakonski	Rgp
prinudnim	prinudan	Agpnsiy
izvršenjem	izvršenje	Ncnsi
.	.	Z

Dogovor	dogovor	Ncmsn
definira	definirati	Vmr3s
sljedeće	sljedeći	Agpnsay
:	:	Z
a.	ai	Agpfpay
sve	sav	Agpfpay
značajne	značajan	Agpfpay
stavke	stavka	Ncfpa
,	,	Z
uključujući	uključivati	Rr
cijenu	cijena	Ncfsa
i	i	Cc
vrijeme	vrijeme	Ncnsa
nastanka	nastanak	Ncmsg
transakcije	transakcija	Ncfsg
,	,	Z
b.	b.	Y
kaznu	kazna	Ncfsa
za	za	Sa
neaktivnost	neaktivnost	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
dovoljno	dovoljno	Rgp
velika	velik	Agpfsny
da	da	Cs
učini	učiniti	Vmr3s
provođenje	provođenje	Ncnsa
vrlo	vrlo	Rgp
vjerojatnim	vjerojatan	Agpmsiy
.	.	Z

Datum	datum	Ncmsn
odobravanja	odobravanje	Ncnsg
je	biti	Var3s
datum	datum	Ncmsn
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
poduzetnik	poduzetnik	Ncmsn
odobrio	odobriti	Vmp-sm
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
odnosno	odnosno	Rgp
konsolidirane	konsolidirati	Agpmpay
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
zajedno	zajedno	Rgp
s	sa	Si
pripadajućim	pripadajući	Agpnsiy
izvješćem	izvješće	Ncnsi
poslovodstva	poslovodstvo	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
poduzetnika	poduzetnik	Ncmpg
.	.	Z

Datum	datum	Ncmsn
razmjene	razmjena	Ncfsg
je	biti	Var3s
jednak	jednak	Agpmsnn
datumu	datum	Ncmsd
stjecanja	stjecanje	Ncnsg
kad	kad	Cs
je	biti	Var3s
poslovno	poslovan	Agpnsny
spajanje	spajanje	Ncnsn
postignuto	postignuti	Appnsny
u	u	Sl
jednoj	jedan	Agpfsly
transakciji	transakcija	Ncfsl
razmjene	razmjena	Ncfsg
.	.	Z

Kad	kad	Cs
poslovno	poslovan	Agpnsny
spajanje	spajanje	Ncnsn
uključuje	uključivati	Vmr3s
više	mnogo	Rgc
od	od	Sg
jedne	jedan	Agpfsgy
transakcije	transakcija	Ncfsg
razmjene	razmjena	Ncfsg
datum	datum	Ncmsn
razmjene	razmjena	Ncfsg
je	biti	Var3s
datum	datum	Ncmsn
kad	kad	Cs
je	biti	Var3s
svako	svaki	Pi-nsn
