ili	ili	Cc
III	III	Mrc
.	.	Z

A	a	Cc
Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1013/2006	1013/2006	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
u	u	Sa
određene	određen	Agpfpay
zemlje	zemlja	Ncfpa
na	na	Sa
koje	koji	Pi-fpa
se	sebe	Px--sa
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
Odluka	odluka	Ncfsn
OECD-a	OECD	Npmsg
o	o	Sl
kontroli	kontrola	Ncfsl
prekograničnog	prekogranični	Agpnsgy
kretanja	kretanje	Ncnsg
otpada	otpad	Ncmsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
316	316	Mdc
,	,	Z
4.	4.	Mdo
12.	12.	Mdo
2007.	2007.	Mdo
)	)	Z

–	an	Mlcfsi
Uredbom	uredba	Ncfsi
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1272/2008	1272/2008	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
16.	16.	Mdo
prosinca	prosinac	Ncmsg
2008.	2008.	Mdo
o	o	Sl
razvrstavanju	razvrstavanje	Ncnsl
,	,	Z
označivanju	označivanje	Ncnsl
i	i	Cc
pakiranju	pakiranje	Ncnsl
tvari	tvar	Ncfsg
i	i	Cc
smjesa	smjesa	Ncfsn
,	,	Z
o	o	Sl
izmjeni	izmjena	Ncfsl
i	i	Cc
stavljanju	stavljanje	Ncnsl
izvan	izvan	Sg
snage	snaga	Ncfsg
Direktive	direktiva	Ncfsg
67/548	67/548	Mdc
/	/	Z
EEZ	EEZ	Y
i	i	Cc
Direktive	direktiva	Ncfpn
1999/45	1999/45	Mdc
/	/	Z
EZ	EZ	Npmsn
i	i	Cc
o	o	Sl
izmjeni	izmjena	Ncfsl
Uredbe	uredba	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1907/2006	1907/2006	Mdc
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
353	353	Mdc
,	,	Z
31.	31.	Mdo
12.	12.	Mdo
2008.	2008.	Mdo
)	)	Z

(	(	Z
3	3	Mdc
)	)	Z
Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
sljedećim	sljedeći	Agpfpiy
Odlukama	odluka	Ncfpi
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Komisija	komisija	Ncfsn
)	)	Z
izdanima	izdan	Agpmpdy
u	u	Sl
svezi	sveza	Ncfsl
provedbe	provedba	Ncfsg
Direktive	direktiva	Ncfsg
94/62	94/62	Mdc
/	/	Z
EZ	EZ	Npmsn
:	:	Z

–	an	Mlcfsi
Odlukom	odluka	Ncfsi
Komisije	komisija	Ncfsg
2005/270	2005/270	Mdc
/	/	Z
EZ	EZ	Npmsn
od	od	Sg
22.	22.	Mdo
ožujka	ožujak	Ncmsg
2005.	2005.	Mdo
kojom	koji	Pi-fsi
se	sebe	Px--sa
utvrđuju	utvrđivati	Vmr3p
formati	format	Ncmpn
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
sustavom	sustav	Ncmsi
podataka	podatak	Ncmpg
na	na	Sl
temelju	temelj	Ncmsl
Direktive	direktiva	Ncfsg
94/62	94/62	Mdc
/	/	Z
EZ	EZ	Sg
Europskoga	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
o	o	Sl
ambalaži	ambalaža	Ncfsl
i	i	Cc
ambalažnom	ambalažni	Agpmsly
otpadu	otpad	Ncmsl
(	(	Z
SL	SL	Npmsn
L	l	Y
86	86	Mdc
,	,	Z
5.	5.	Mdo
4.	4.	Mdo
2005.	2005.	Mdo
;	;	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Odluka	odluka	Ncfsn
2005/270	2005/270	Mdc
/	/	Z
EZ	EZ	Npmsn
)	)	Z
,	,	Z

