okolnostima	okolnost	Ncfpi
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
maloljetnik	maloljetnik	Ncmsn
smije	smjeti	Vmr3s
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
s	sa	Si
posebnim	poseban	Agpmpiy
uvjetima	uvjet	Ncmpi
rada	rad	Ncmsg
isključivo	isključivo	Rgp
pod	pod	Si
nadzorom	nadzor	Ncmsi
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
poslodavca	poslodavac	Ncmsg
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Radi	radi	Sg
zaštite	zaštita	Ncfsg
ćudoređa	ćudoređe	Ncnsg
,	,	Z
maloljetnik	maloljetnik	Ncmsn
se	sebe	Px--sa
ne	ne	Qz
smije	smjeti	Vmr3s
zaposliti	zaposliti	Vmn
na	na	Sl
poslovima	posao	Ncmpl
u	u	Sl
kockarnicama	kockarnica	Ncfpl
,	,	Z
salonima	salon	Ncmpl
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
,	,	Z
disko	disko	Ncmsan
klubovima	klub	Ncmpi
,	,	Agpmpiy
noćnim	noćni	Agpmpiy
barovima	bar	Ncmpi
i	i	Cc
noćnim	noćni	Agpmpiy
klubovima	klub	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Qo
na	na	Sl
drugim	drugi	Agpmply
poslovima	posao	Ncmpl
koji	koji	Pi-mpn
bi	biti	Vaa3p
mogli	moći	Vmp-pm
ugroziti	ugroziti	Vmn
njegovo	njegov	Agpnsay
ćudoređe	ćudoređe	Ncnsa
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
poslovima	posao	Ncmpl
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
ne	ne	Qz
smije	smjeti	Vmr3s
zaposliti	zaposliti	Vmn
maloljetnik	maloljetnik	Ncmsn
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
62/10	62/10	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
